"population","phos","well.ID","µ"
"25",0.5,"B02_1",0.850775070373213
"6",0.5,"C02_1",0.598794574424144
"24",0.5,"D02_1",0.462954483218234
"1",0.5,"E02_1",0.434327743743961
"25",0.5,"F02_1",0.578693262584167
"11",0.5,"G02_1",0.551219069072356
"25",4,"B02_10",1.31349063480304
"6",4,"C02_10",1.29475316783658
"24",4,"D02_10",1.61740743065745
"1",4,"E02_10",1.28198172559983
"25",4,"F02_10",1.2024427460678
"11",4,"G02_10",1.22326640798003
"28",4,"B02_11",1.47843032911509
"21",4,"C02_11",1.35358443844317
"18",4,"D02_11",1.18067374477692
"26",4,"E02_11",1.1145921125583
"28",4,"F02_11",1.2286970079251
"27",4,"G02_11",1.06123484746867
"15",4,"B02_12",1.43179471634139
"10",4,"C02_12",1.21467571258389
"29",4,"D02_12",1.47350523888452
"anc4",4,"E02_12",1.15780643067004
"15",4,"F02_12",1.25221061148416
"25",6,"B02_13",1.46026600024434
"6",6,"C02_13",1.34372584149677
"24",6,"D02_13",1.39779848569107
"1",6,"E02_13",1.37084745856921
"25",6,"F02_13",1.31432575604786
"11",6,"G02_13",1.42669050892289
"28",6,"B02_14",1.78271654417136
"21",6,"C02_14",1.40405043513174
"18",6,"D02_14",1.25018512211956
"26",6,"E02_14",1.32742003593715
"28",6,"F02_14",1.69165018295329
"27",6,"G02_14",1.31737774010749
"15",6,"B02_15",1.57065083467324
"10",6,"C02_15",1.44036718665287
"29",6,"D02_15",1.27221741309237
"anc4",6,"E02_15",1.15878864650439
"15",6,"F02_15",1.12540698855185
"25",8,"B02_16",1.28177519993764
"6",8,"C02_16",1.39369177412467
"24",8,"D02_16",1.63509354621145
"1",8,"E02_16",1.45752511888663
"25",8,"F02_16",1.38265253393807
"11",8,"G02_16",1.349207085717
"28",8,"B02_17",1.30865883272005
"21",8,"C02_17",1.38120199277459
"18",8,"D02_17",1.39074444635001
"26",8,"E02_17",1.54394806338228
"28",8,"F02_17",1.29566216973477
"27",8,"G02_17",1.1908592857196
"15",8,"B02_18",1.35290228787416
"10",8,"C02_18",1.31226179109686
"29",8,"D02_18",1.24981527302994
"anc4",8,"E02_18",1.36403979993096
"15",8,"F02_18",1.23529342341054
"25",10,"B02_19",1.42630317313301
"6",10,"C02_19",1.41261988091504
"24",10,"D02_19",1.38929994807475
"1",10,"E02_19",1.38655158313102
"25",10,"F02_19",1.36884528548276
"11",10,"G02_19",1.56081376491344
"28",0.5,"B02_2",0.923185743555872
"21",0.5,"C02_2",0.754487142084845
"18",0.5,"D02_2",0.239946776253259
"26",0.5,"E02_2",0.196888709091165
"28",0.5,"F02_2",0.6297296177844
"27",0.5,"G02_2",0.0499147094628943
"28",10,"B02_20",1.51556406529268
"21",10,"C02_20",1.46929006952705
"18",10,"D02_20",1.62048499032278
"26",10,"E02_20",1.27830456891514
"28",10,"F02_20",1.40751828900091
"27",10,"G02_20",1.44567167923851
"15",10,"B02_21",1.47704272046046
"10",10,"C02_21",1.18757523178836
"29",10,"D02_21",1.31604166295071
"anc4",10,"E02_21",1.19855614838336
"15",10,"F02_21",1.34433121105478
"25",20,"B02_22",1.52541648246003
"6",20,"C02_22",1.4916355547686
"24",20,"D02_22",1.59301784470518
"1",20,"E02_22",1.34412868439151
"25",20,"F02_22",1.6446448432274
"11",20,"G02_22",1.43393054908036
"28",20,"B02_23",1.21838999973673
"21",20,"C02_23",1.33260068238219
"18",20,"D02_23",1.29489637229109
"26",20,"E02_23",1.37872750987525
"28",20,"F02_23",1.30084756105091
"27",20,"G02_23",1.32496017921087
"15",20,"B02_24",1.28267523592889
"10",20,"C02_24",1.3129146054682
"29",20,"D02_24",1.24541130067515
"anc4",20,"E02_24",1.23014964791731
"15",20,"F02_24",1.22859725741415
"25",35,"B02_25",1.48843697216307
"6",35,"C02_25",1.5625441710579
"24",35,"D02_25",1.62472900312691
"1",35,"E02_25",1.50388892445795
"25",35,"F02_25",1.52859696790503
"11",35,"G02_25",1.46758178678533
"28",35,"B02_26",1.42367093841882
"21",35,"C02_26",1.36947891757654
"18",35,"D02_26",1.17608966747849
"26",35,"E02_26",1.34969780314221
"28",35,"F02_26",1.29516843593343
"27",35,"G02_26",1.52783240638144
"15",35,"B02_27",1.29995012036396
"10",35,"C02_27",1.2614052244934
"29",35,"D02_27",1.40339491743755
"anc4",35,"E02_27",1.4831132667376
"15",35,"F02_27",1.22785018198397
"25",50,"B02_28",1.4440690534321
"6",50,"C02_28",1.55283397839539
"24",50,"D02_28",1.54162424042589
"1",50,"E02_28",1.36381150230051
"25",50,"F02_28",1.36141421651137
"11",50,"G02_28",1.28893225132014
"28",50,"B02_29",1.58549355967286
"21",50,"C02_29",1.49092215462018
"18",50,"D02_29",1.24089213877882
"26",50,"E02_29",1.50303873004287
"28",50,"F02_29",1.35798743023097
"27",50,"G02_29",1.10290388873431
"15",0.5,"B02_3",-0.0985574872885488
"10",0.5,"C02_3",0.0651659945927948
"29",0.5,"D02_3",0.748216305053651
"anc4",0.5,"E02_3",0.378706120652575
"15",0.5,"F02_3",0.127083026105954
"15",50,"B02_30",1.60305974359665
"10",50,"C02_30",1.25893926255925
"29",50,"D02_30",1.33124711942185
"anc4",50,"E02_30",1.31893772270809
"15",50,"F02_30",1.54175320323559
"25",1,"B02_4",0.911256580518361
"6",1,"C02_4",0.770544435619825
"24",1,"D02_4",0.70151421333807
"1",1,"E02_4",0.648438887304552
"25",1,"F02_4",1.03775425100339
"11",1,"G02_4",0.986125428865955
"28",1,"B02_5",0.49567810666738
"21",1,"C02_5",1.11296654079667
"18",1,"D02_5",0.578611458157095
"26",1,"E02_5",0.537566578026583
"28",1,"F02_5",0.865849968285898
"27",1,"G02_5",0.429595582084288
"15",1,"B02_6",0.424678248951778
"10",1,"C02_6",0.724749431440569
"29",1,"D02_6",0.856463951781244
"anc4",1,"E02_6",0.510629870324489
"15",1,"F02_6",0.123850926379064
"25",2,"B02_7",1.00083194403628
"6",2,"C02_7",1.0536124972034
"24",2,"D02_7",1.11351836255842
"1",2,"E02_7",0.918946893339995
"25",2,"F02_7",1.02893206793861
"11",2,"G02_7",0.895153861600988
"28",2,"B02_8",1.41447633684666
"21",2,"C02_8",0.983053630970694
"18",2,"D02_8",0.892531404223514
"26",2,"E02_8",0.796713944540175
"28",2,"F02_8",0.94706438864892
"27",2,"G02_8",0.714921702587114
"15",2,"B02_9",1.06239263927345
"10",2,"C02_9",0.916671400579031
"29",2,"D02_9",1.19639327716055
"anc4",2,"E02_9",0.918024060301304
"15",2,"F02_9",0.855942194239514
"19",0.5,"B03_1",0.328066207231099
"33",0.5,"C03_1",0.202568596143437
"8",0.5,"D03_1",0.702600500708104
"25",0.5,"E03_1",0.466238658866457
"19",0.5,"F03_1",0.298144341565844
"33",0.5,"G03_1",0.362473506941037
"19",4,"B03_10",1.08417681580395
"33",4,"C03_10",1.07099594901787
"8",4,"D03_10",1.11696666147089
"25",4,"E03_10",1.10557540766498
"19",4,"F03_10",1.20553531508193
"33",4,"G03_10",1.29053919690028
"4",4,"B03_11",1.20989234129039
"9",4,"C03_11",1.2222878598488
"22",4,"D03_11",-0.127695091593055
"28",4,"E03_11",1.29740776357391
"4",4,"F03_11",1.30757624893239
"9",4,"G03_11",1.23918763228096
"3",4,"B03_12",1.46307527233656
"30",4,"C03_12",1.42044744309038
"20",4,"D03_12",0.981346060922522
"30",4,"E03_12",1.26913219591203
"7",4,"F03_12",1.42946629484732
"19",6,"B03_13",1.75445392142608
"33",6,"C03_13",1.30628502636568
"8",6,"D03_13",1.29918652602439
"25",6,"E03_13",1.4357733509593
"19",6,"F03_13",1.30414353983482
"33",6,"G03_13",1.41727657875474
"4",6,"B03_14",1.36324892073348
"9",6,"C03_14",1.43180441938059
"22",6,"D03_14",-0.15065504321746
"28",6,"E03_14",1.42867113869973
"4",6,"F03_14",1.21902900489939
"9",6,"G03_14",1.4973045716734
"3",6,"B03_15",1.50471917946341
"30",6,"C03_15",1.5031875169898
"20",6,"D03_15",1.15220961302411
"30",6,"E03_15",1.29080697706148
"7",6,"F03_15",1.04634125359342
"19",8,"B03_16",1.39355187965967
"33",8,"C03_16",1.27039345488344
"8",8,"D03_16",1.38640257400497
"25",8,"E03_16",1.41516080839146
"19",8,"F03_16",1.50692822352919
"33",8,"G03_16",1.30291469064452
"4",8,"B03_17",1.3247578120674
"9",8,"C03_17",1.13860679697633
"22",8,"D03_17",1.28154444981811
"28",8,"E03_17",1.47137899267813
"4",8,"F03_17",1.43618072596102
"9",8,"G03_17",1.03902237768439
"3",8,"B03_18",1.40227726730413
"30",8,"C03_18",1.37156111556372
"20",8,"D03_18",1.20484682794529
"30",8,"E03_18",1.23005376185251
"7",8,"F03_18",1.28584978721035
"19",10,"B03_19",1.51119341366934
"33",10,"C03_19",1.41981451646067
"8",10,"D03_19",1.34793254783426
"25",10,"E03_19",1.45588823165711
"19",10,"F03_19",1.51878305281961
"33",10,"G03_19",1.64860837825154
"4",0.5,"B03_2",0.214155120252584
"9",0.5,"C03_2",-0.038126450829971
"22",0.5,"D03_2",-0.0835998730132207
"28",0.5,"E03_2",0.565157728431579
"4",0.5,"F03_2",0.244202668306227
"9",0.5,"G03_2",0.0255380084946991
"4",10,"B03_20",1.55023363366638
"9",10,"C03_20",1.45941431260115
"22",10,"D03_20",1.37918761486686
"28",10,"E03_20",1.29583020052251
"4",10,"F03_20",1.28047242250146
"9",10,"G03_20",1.36717135697802
"3",10,"B03_21",1.43728972836526
"30",10,"C03_21",1.30720921257845
"20",10,"D03_21",1.29409742792559
"30",10,"E03_21",1.36373270294964
"7",10,"F03_21",1.07675825644856
"19",20,"B03_22",1.36134438698977
"33",20,"C03_22",1.47501028454742
"8",20,"D03_22",1.46960431712908
"25",20,"E03_22",1.5629018171526
"19",20,"F03_22",1.63467195818942
"33",20,"G03_22",1.51576790851805
"4",20,"B03_23",1.143978646315
"9",20,"C03_23",1.3933407477852
"anc2",20,"D03_23",1.56722489482343
"28",20,"E03_23",1.29115681951142
"4",20,"F03_23",1.46194305309308
"9",20,"G03_23",1.44051436990075
"3",20,"B03_24",1.38108711581864
"30",20,"C03_24",1.25288172607892
"20",20,"D03_24",1.28109723460348
"30",20,"E03_24",1.40917999267993
"7",20,"F03_24",1.32105242492985
"19",35,"B03_25",1.53815738422693
"33",35,"C03_25",1.64694668836908
"8",35,"D03_25",1.60476496207284
"25",35,"E03_25",1.54592713179905
"19",35,"F03_25",1.27131663597918
"33",35,"G03_25",1.77939809618546
"4",35,"B03_26",1.33045326313109
"9",35,"C03_26",1.41579434436097
"22",35,"D03_26",1.29331309372927
"28",35,"E03_26",1.48808776384196
"4",35,"F03_26",1.3526632407809
"9",35,"G03_26",1.48208905399485
