"well_plate","slope","n_pts","phos","population","well","rep"
"B02_1",0.936848621362954,5,0.5,"25","B02",1
"B02_10",1.47223285228624,7,4,"25","B02",1
"B02_11",1.64428431545004,7,4,"28","B02",1
"B02_12",1.65612274918278,5,4,"15","B02",1
"B02_13",1.51195726889694,6,6,"25","B02",1
"B02_14",1.92631451392884,6,6,"28","B02",1
"B02_15",1.64547156002282,5,6,"15","B02",1
"B02_16",1.39350826814625,7,8,"25","B02",1
"B02_17",1.34726907073142,6,8,"28","B02",1
"B02_18",1.54102574018856,5,8,"15","B02",1
"B02_19",1.58631512490016,5,10,"25","B02",1
"B02_2",0.982107644040949,5,0.5,"28","B02",1
"B02_20",1.53787052611764,5,10,"28","B02",1
"B02_21",1.66090693594177,5,10,"15","B02",1
"B02_22",1.57675018336667,4,20,"25","B02",1
"B02_23",1.41450489806207,7,20,"28","B02",1
"B02_24",1.40489608946657,6,20,"15","B02",1
"B02_25",1.68174731836114,6,35,"25","B02",1
"B02_26",1.5801083606015,7,35,"28","B02",1
"B02_27",1.46252523387523,6,35,"15","B02",1
"B02_28",1.52740066635007,4,50,"25","B02",1
"B02_29",1.75331801984251,6,50,"28","B02",1
"B02_3",0.0191048626858368,7,0.5,"15","B02",1
"B02_30",1.79605088521552,5,50,"15","B02",1
"B02_4",0.97059032870267,5,1,"25","B02",1
"B02_5",0.89791215788492,5,1,"28","B02",1
"B02_6",0.592476668336807,5,1,"15","B02",1
"B02_7",1.08872010672766,7,2,"25","B02",1
"B02_8",1.42799237321345,4,2,"28","B02",1
"B02_9",1.18965220292023,5,2,"15","B02",1
"B03_1",0.43206709659848,5,0.5,"19","B03",1
"B03_10",1.24826742812341,6,4,"19","B03",1
"B03_11",1.38691934736093,6,4,"4","B03",1
"B03_12",1.54885869282806,5,4,"3","B03",1
"B03_13",1.92654165687283,5,6,"19","B03",1
"B03_14",1.46918674636935,6,6,"4","B03",1
"B03_15",1.57770947323872,7,6,"3","B03",1
"B03_16",1.54393707670916,7,8,"19","B03",1
"B03_17",1.40124215396912,6,8,"4","B03",1
"B03_18",1.51922661944251,6,8,"3","B03",1
"B03_19",1.61833000971438,5,10,"19","B03",1
"B03_2",0.36980859172876,5,0.5,"4","B03",1
"B03_20",1.6454192898768,5,10,"4","B03",1
"B03_21",1.53730874219522,6,10,"3","B03",1
"B03_22",1.49646994136817,5,20,"19","B03",1
"B03_23",1.35521252251573,6,20,"4","B03",1
"B03_24",1.48299849793637,6,20,"3","B03",1
"B03_25",1.72492445184668,6,35,"19","B03",1
"B03_26",1.41195812225747,6,35,"4","B03",1
"B03_27",1.51944243653687,6,35,"3","B03",1
"B03_28",1.52621096306763,6,50,"19","B03",1
"B03_29",1.81570219258958,5,50,"4","B03",1
"B03_3",0.505499923730424,6,0.5,"3","B03",1
"B03_30",1.51612793838238,7,50,"3","B03",1
"B03_4",0.594146237184258,4,1,"19","B03",1
"B03_5",0.942483660700961,5,1,"4","B03",1
"B03_6",0.978022265380421,5,1,"3","B03",1
"B03_7",0.925870908252415,5,2,"19","B03",1
"B03_8",1.08071787207862,5,2,"4","B03",1
"B03_9",1.22911233171482,5,2,"3","B03",1
"B04_1",0.507733501825024,5,0.5,"14","B04",1
"B04_10",1.48367160181654,5,4,"14","B04",1
"B04_11",1.2700253521129,4,4,"31","B04",1
"B04_12",1.53257053322522,6,4,"cc1690","B04",1
"B04_13",1.46072497072417,6,6,"14","B04",1
"B04_14",1.57633883645774,5,6,"31","B04",1
"B04_15",1.26084471992162,7,6,"cc1690","B04",1
"B04_16",1.55435734425378,7,8,"14","B04",1
"B04_17",1.33899713592495,6,8,"31","B04",1
"B04_18",1.38403863584455,6,8,"cc1690","B04",1
"B04_19",1.84505289547355,5,10,"14","B04",1
"B04_2",0.258736306077801,5,0.5,"31","B04",1
"B04_20",1.48525732198734,5,10,"31","B04",1
"B04_21",1.32429082913719,6,10,"cc1690","B04",1
"B04_22",1.49390960682425,6,20,"14","B04",1
"B04_23",1.6000098825425,5,20,"31","B04",1
"B04_24",1.52855195658871,6,20,"cc1690","B04",1
"B04_25",1.56072109057955,6,35,"14","B04",1
"B04_26",1.52500898230112,6,35,"31","B04",1
