"","Sp.id","nit","temp","id","r.exp"
"1","Synechococcus",1,15,"2.1",-0.156084471537526
"2","Synechococcus",1,15,"2.2",0.0403489310102268
"3","Synechococcus",1,20,"1.1",0.00144201052112194
"4","Synechococcus",1,20,"1.2",-0.069959770304727
"5","Synechococcus",1,20,"2.3",-0.0290116572582643
"6","Synechococcus",1,20,"2.4",0.0554151274721899
"7","Synechococcus",1,25,"1.1",-0.00825757238076007
"8","Synechococcus",1,25,"1.2",-0.00311436102899624
"9","Synechococcus",1,30,"2.1",0.0157019086562796
"10","Synechococcus",1,30,"2.2",0.0882834816617969
"11","Synechococcus",1,35,"2.1",-0.0128588224389346
"12","Synechococcus",1,35,"2.2",-0.142958760906692
"13","Synechococcus",2,15,"2.1",-0.00267191554887521
"14","Synechococcus",2,15,"2.2",-0.118831296698936
"15","Synechococcus",2,20,"1.1",0.0537239929992284
"16","Synechococcus",2,20,"1.2",0.0441506417681798
"17","Synechococcus",2,20,"2.3",-0.171747717808101
"18","Synechococcus",2,20,"2.4",-0.0948767179451819
"19","Synechococcus",2,25,"1.1",-0.194914659442612
"20","Synechococcus",2,25,"1.2",0.0103114604112487
"21","Synechococcus",2,30,"2.1",-0.119292964772278
"22","Synechococcus",2,30,"2.2",-0.0435936623723538
"23","Synechococcus",2,35,"2.1",-0.157763155340793
"24","Synechococcus",2,35,"2.2",0.252370657757195
"25","Synechococcus",4,15,"2.1",-0.0662637625735672
"26","Synechococcus",4,15,"2.2",0.368037947580666
"27","Synechococcus",4,20,"1.1",-0.0750072050078496
"28","Synechococcus",4,20,"1.2",-0.0195116356906908
"29","Synechococcus",4,20,"2.3",0.0901884617178897
"30","Synechococcus",4,20,"2.4",0.046707573724132
"31","Synechococcus",4,25,"1.1",-0.0287274422183818
"32","Synechococcus",4,25,"1.2",0.214791512605243
"33","Synechococcus",4,30,"2.1",-0.0088498287561588
"34","Synechococcus",4,30,"2.2",0.271862776078043
"35","Synechococcus",4,35,"2.1",NA
"36","Synechococcus",4,35,"2.2",0.484382722028379
"37","Synechococcus",10,15,"2.1",0.071602864052707
"38","Synechococcus",10,15,"2.2",0.0829691195705919
"39","Synechococcus",10,20,"1.1",0.0545473100435806
"40","Synechococcus",10,20,"1.2",0.151276928303699
"41","Synechococcus",10,20,"2.3",0.280515827781692
"42","Synechococcus",10,20,"2.4",0.622112487977176
"43","Synechococcus",10,25,"1.1",0.0750444783184926
"44","Synechococcus",10,25,"1.2",-0.0793641341205447
"45","Synechococcus",10,30,"2.1",-0.245682450165239
"46","Synechococcus",10,30,"2.2",0.10147987069721
"47","Synechococcus",10,35,"2.1",-0.099918884291592
"48","Synechococcus",10,35,"2.2",-0.0371061848120908
"49","Synechococcus",20,15,"2.1",NA
"50","Synechococcus",20,15,"2.2",0.108532983806127
"51","Synechococcus",20,20,"1.1",-0.0336557605900612
"52","Synechococcus",20,20,"1.2",0.055597143159061
"53","Synechococcus",20,20,"2.3",NA
"54","Synechococcus",20,20,"2.4",0.123422860110881
"55","Synechococcus",20,25,"1.1",0.314946906143583
"56","Synechococcus",20,25,"1.2",-0.0738001383692845
"57","Synechococcus",20,30,"2.1",NA
"58","Synechococcus",20,30,"2.2",0.00915191039189729
"59","Synechococcus",20,35,"2.1",-0.0249263231003975
"60","Synechococcus",20,35,"2.2",0.0404533253060856
"61","Synechococcus",40,15,"2.1",0.0710782341482594
"62","Synechococcus",40,15,"2.2",0.113946745709531
"63","Synechococcus",40,20,"1.1",0.0334336156254914
"64","Synechococcus",40,20,"1.2",-0.0633766777145427
"65","Synechococcus",40,20,"2.3",0.157702214151407
"66","Synechococcus",40,20,"2.4",-0.0413980671702375
"67","Synechococcus",40,25,"1.1",0.275647028551253
"68","Synechococcus",40,25,"1.2",-0.120916022531983
"69","Synechococcus",40,30,"2.1",0.580748779307515
"70","Synechococcus",40,30,"2.2",0.032836978199679
"71","Synechococcus",40,35,"2.1",0.701976660492553
"72","Synechococcus",40,35,"2.2",0.451575545451567
"73","Synechococcus",60,15,"2.1",0.0454487568546089
"74","Synechococcus",60,15,"2.2",-0.31510566985584
"75","Synechococcus",60,20,"1.1",-0.0553202705408887
"76","Synechococcus",60,20,"1.2",-0.129508973877213
"77","Synechococcus",60,20,"2.3",0.18282243995285
"78","Synechococcus",60,20,"2.4",0.00254502084168505
"79","Synechococcus",60,25,"1.1",0.0808657556835186
"80","Synechococcus",60,25,"1.2",-0.0229251627067924
"81","Synechococcus",60,30,"2.1",-0.0239018813639917
"82","Synechococcus",60,30,"2.2",NA
"83","Synechococcus",60,35,"2.1",-0.174035571059322
"84","Synechococcus",60,35,"2.2",0.0688025948418076
"85","Synechococcus",200,15,"2.1",-0.426333868499066
"86","Synechococcus",200,15,"2.2",NA
"87","Synechococcus",200,20,"1.1",-0.0529863574952927
"88","Synechococcus",200,20,"1.2",0.0467073203002011
"89","Synechococcus",200,20,"2.3",-0.105314704337762
"90","Synechococcus",200,20,"2.4",0.580748777111961
"91","Synechococcus",200,25,"1.1",-0.0288628644628198
"92","Synechococcus",200,25,"1.2",-0.0491134586076623
"93","Synechococcus",200,30,"2.1",0.0843923035678735
"94","Synechococcus",200,30,"2.2",0.36060840910408
"95","Synechococcus",200,35,"2.1",-0.122322110991348
"96","Synechococcus",200,35,"2.2",-0.109262361140532
"97","Synechococcus",500,15,"2.1",-0.0502403120984682
"98","Synechococcus",500,15,"2.2",0.136308867745435
"99","Synechococcus",500,20,"1.1",0.210718099611881
"100","Synechococcus",500,20,"1.2",0.0985868224620026
"101","Synechococcus",500,20,"2.3",0.050987908128449
"102","Synechococcus",500,20,"2.4",0.555128503397841
"103","Synechococcus",500,25,"1.1",-0.13407869725628
"104","Synechococcus",500,25,"1.2",0.0922425273809096
"105","Synechococcus",500,30,"2.1",-0.122051759686546
"106","Synechococcus",500,30,"2.2",0.162232013929478
"107","Synechococcus",500,35,"2.1",0.430093490976533
"108","Synechococcus",500,35,"2.2",-0.019580881045245
"109","Synechococcus",1000,15,"2.1",0.283718837612918
"110","Synechococcus",1000,15,"2.2",0.309565861764292
"111","Synechococcus",1000,20,"1.1",0.550872342734655
"112","Synechococcus",1000,20,"1.2",0.426009160669991
"113","Synechococcus",1000,20,"2.3",0.446074437341528
"114","Synechococcus",1000,20,"2.4",0.918438647166291
"115","Synechococcus",1000,25,"1.1",0.560866670539233
"116","Synechococcus",1000,25,"1.2",0.573248776927794
"117","Synechococcus",1000,30,"2.1",0.119831447862881
"118","Synechococcus",1000,30,"2.2",-0.029160806973481
"119","Synechococcus",1000,35,"2.1",NA
"120","Synechococcus",1000,35,"2.2",-0.125803480381223
"121","Kirchneriella_subcapitata",1,15,"2.1",-0.283672290232332
"122","Kirchneriella_subcapitata",1,15,"2.2",0.0873873521554936
"123","Kirchneriella_subcapitata",1,20,"1.1",0.222397118211936
