population,population.number,temperature,well.ID,r.log,r.log.cln,r.exp.ln,r.exp.log,r.40.ln.early,r.40.ln.full
1,1,10,B09_1,0.6156629411582993,0.6156629410907019,0.31873078746417816,0.3684385981897477,NA,0.41809266074206897
1,1,10,C06_1,0.5426633209050975,0.5426633210046288,0.27538385077752325,0.35806756921722155,NA,0.3741272431880738
1,1,10,E02_1,0.5553811872821048,0.5601723022965794,0.29512932338863374,0.38297036441897747,NA,0.39226236344597404
1,1,10,F11_1,0.5285716159284408,0.5319010064131818,0.3854030224667502,0.457032914766159,NA,0.4439124797620857
1,1,16,B09_16,1.5515774416935628,1.551577413101107,0.8084393934950707,0.9056985123031956,NA,0.6024307165473989
1,1,16,C06_16,1.6858169831770111,1.68581699793969,0.7689426452762673,0.8994095430565769,NA,0.5730463845464321
1,1,16,E02_16,1.3199109552127974,1.3451442210540323,0.8041800549379323,1.0062390498073748,NA,0.5688771957450351
1,1,16,F11_16,1.226743075270309,1.2267430357580191,0.7344529899381151,0.8974522370918209,NA,0.520067066726651
1,1,22,B09_31,1.4929107527302201,1.4316175351116531,1.821320082046366,2.3969332725096812,NA,0.6169773258830269
1,1,22,C06_31,1.2261607530911351,1.183308074534547,1.6182142367294001,2.2066814690442245,NA,0.6026182773495061
1,1,22,E02_31,1.132629146609381,1.0898073118367508,1.6486753585807845,1.490994526941902,NA,0.5762855339785632
1,1,22,F11_31,1.1942706440970348,1.1942706432778882,1.5956681855586703,1.8776164778200704,NA,0.5274658353311076
1,1,28,B09_46,2.1918042861426343,1.7114878052530733,3.051080908800848,3.845162668548329,NA,0.09082494372024742
1,1,28,C06_46,1.8570194243851736,1.6419071050099592,3.1575116796263187,3.615933870735532,NA,0.39750689521418986
1,1,28,E02_46,1.2222585968084234,1.2916679585831958,2.9114911641379977,3.4826771816094224,NA,0.41453226319864334
1,1,28,F11_46,2.022185690089136,1.4859932406651994,2.9800315606667884,3.4041297804786512,NA,0.09953060945532896
1,1,34,B09_61,4.214524366985957,3.853680329697125,4.028089996190013,6.953132579601275,NA,0.48782384556312014
1,1,34,C06_61,2.223168332701318,2.0988995846194376,4.24343039257538,4.945173172787952,NA,0.60399385742493406
1,1,34,E02_61,1.8633436074519103,1.8633404503411457,4.096594897123785,5.733870344668547,NA,0.5853322757969529
1,1,34,F11_61,3.9333857760412427,3.318074535622401,4.228385549280787,6.736498748604692,NA,0.32565683372748355
1,1,40,B09_76,-5.220015545049603,-5.015620371316705,-0.8908042395655039,NA,2.8993159314637342,-0.7990540229198841
