"","population","population.number","temperature","well.ID","r.exp"
"1","1",1,10,"B09_1",0.28046591810065
"2","1",1,10,"C06_1",0.310465707193859
"3","1",1,10,"E02_1",0.400771649257803
"4","1",1,10,"F11_1",0.321211498008542
"5","1",1,16,"B09_16",0.899605205795254
"6","1",1,16,"C06_16",0.947326598675417
"7","1",1,16,"E02_16",0.485871485734778
"8","1",1,16,"F11_16",0.818634530501158
"9","1",1,22,"B09_31",1.37947493503001
"10","1",1,22,"C06_31",1.26254517819687
"11","1",1,22,"E02_31",1.2468550341098
"12","1",1,22,"F11_31",1.55434119924944
"13","1",1,28,"B09_46",2.98117537422065
"14","1",1,28,"C06_46",3.1322447446815
"15","1",1,28,"E02_46",2.82624967321369
"16","1",1,28,"F11_46",2.69295305197351
"17","1",1,34,"B09_61",3.44529405878763
"18","1",1,34,"C06_61",3.68380665832588
"19","1",1,34,"E02_61",3.46244295461495
"20","1",1,34,"F11_61",3.87078967637595
"21","10",2,10,"C02_11",0.563509255064917
"22","10",2,10,"D05_11",0.613145877860774
"23","10",2,10,"D11_11",0.160993049396221
"24","10",2,10,"F08_11",0.460166917982752
"25","10",2,16,"C02_26",0.669704962557228
"26","10",2,16,"D05_26",0.989828146715878
"27","10",2,16,"D11_26",1.03992170198523
"28","10",2,16,"F08_26",1.16443461331332
"29","10",2,22,"C02_41",1.77975936258094
"30","10",2,22,"D05_41",1.75441166224381
"31","10",2,22,"D11_41",1.80820043178914
"32","10",2,22,"F08_41",1.9208141297609
"33","10",2,28,"C02_56",2.88007350443058
"34","10",2,28,"D05_56",3.02891889616439
"35","10",2,28,"D11_56",2.75810174913453
"36","10",2,28,"F08_56",2.79368073588493
"37","10",2,34,"C02_71",2.81204210668513
"38","10",2,34,"D05_71",3.12575936437053
"39","10",2,34,"D11_71",3.38251616020062
"40","10",2,34,"F08_71",2.93550060347324
"41","11",3,10,"B07_1",0.363957838866367
"42","11",3,10,"C07_1",0.150283997800516
"43","11",3,10,"D11_1",0.427962664990856
"44","11",3,10,"G02_1",0.282034619591197
"45","11",3,16,"B07_16",0.924328995394537
"46","11",3,16,"C07_16",0.770524542772018
"47","11",3,16,"D11_16",1.23051409701163
"48","11",3,16,"G02_16",0.958783276547435
"49","11",3,22,"B07_31",1.97332364301264
"50","11",3,22,"C07_31",2.01793435787151
"51","11",3,22,"D11_31",2.16580701356773
