population.fac,population.num,temperature,well.ID,model,AIC,model2,AIC2,model3,AIC3,model4,AIC4,model5,AIC5,model6,AIC6
28,19,16,B02_21,Model 1 (Logistic),110.4509285986968,Model 2 (Trimmed logistic),88.55368233318852,Model 3 (Linear logged),28.36435984086988,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",28.655285094613127
28,19,16,C05_21,Model 1 (Logistic),82.7402603164216,Model 2 (Trimmed logistic),75.55883683216982,Model 3 (Linear logged),29.429319175705576,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",31.510945298349686
28,19,16,E03_21,Model 1 (Logistic),104.45227539265542,Model 2 (Trimmed logistic),104.4522753926573,Model 3 (Linear logged),35.25909200086054,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",33.449329658669186
28,19,16,F02_21,Model 1 (Logistic),108.68197312914936,Model 2 (Trimmed logistic),72.83125282316325,Model 3 (Linear logged),35.31131204726451,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",33.266707643194565
28,19,22,B02_36,Model 1 (Logistic),173.55701011751233,Model 2 (Trimmed logistic),153.2186635760227,Model 3 (Linear logged),27.799070828209075,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",45.68355947019219
28,19,22,C05_36,Model 1 (Logistic),160.52924340713673,Model 2 (Trimmed logistic),160.52924340713577,Model 3 (Linear logged),26.492245598809614,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",44.30910212837976
28,19,22,E03_36,Model 1 (Logistic),157.66922099380395,Model 2 (Trimmed logistic),157.66922099383692,Model 3 (Linear logged),28.880014030224284,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",45.35312657609903
28,19,22,F02_36,Model 1 (Logistic),168.31790879458674,Model 2 (Trimmed logistic),168.3179087938115,Model 3 (Linear logged),26.845398791166698,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",46.1363940951876
28,19,28,B02_51,Model 1 (Logistic),200.62856518771562,Model 2 (Trimmed logistic),200.62856518770138,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-28.341470301027787,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",58.15698304663732
28,19,28,C05_51,Model 1 (Logistic),203.68544511194057,Model 2 (Trimmed logistic),203.68544511158984,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-5.926392259808701,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",53.35167964686761
28,19,28,E03_51,Model 1 (Logistic),204.15002125130977,Model 2 (Trimmed logistic),204.1500212513939,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-10.528094883444773,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",55.2878336188607
28,19,28,F02_51,Model 1 (Logistic),200.06761298674706,Model 2 (Trimmed logistic),200.06761298674286,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-5.11991684764066,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",54.99022703663708
28,19,34,B02_66,Model 1 (Logistic),209.85021784416304,Model 2 (Trimmed logistic),190.75186677940246,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-1.924370417428353,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",54.42298648101507
28,19,34,C05_66,Model 1 (Logistic),210.69666346737924,Model 2 (Trimmed logistic),210.69666346729238,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",7.695267495029434,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",50.96598099700658
28,19,34,E03_66,Model 1 (Logistic),202.8857004176341,Model 2 (Trimmed logistic),202.88570041764495,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",0.9107583486097539,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",50.51012637345494
28,19,34,F02_66,Model 1 (Logistic),204.25205388047965,Model 2 (Trimmed logistic),204.25205388051884,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-0.7437300222926062,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",49.44011724605291
28,19,40,B02_81,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),Inf,Model 3 (Linear logged),-25.720760346848152,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",45.21479915122448
28,19,40,C05_81,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-0.18966759535049071,Model 3 (Linear logged),-21.74693601682439,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",40.092243491257946
28,19,40,E03_81,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),-13.087114355956597,Model 3 (Linear logged),-19.96954655183535,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",44.9220400641633
28,19,40,F02_81,Model 1 (Logistic),Inf,Model 2 (Trimmed logistic),14.880258337463532,Model 3 (Linear logged),-24.57440627092618,"Model 4 (Logistic growth, exponential phase)",NA,"Model 5 (Log linear, early phase, 40C)",-Inf,"Model 6 (Linear logged, full data)",46.32032581267069
28,19,10,B02_6,Model 1 (Logistic),75.20541990952947,Model 2 (Trimmed logistic),75.20541990952378,Model 3 (Linear logged),24.651546759810756,"Model 4 (Logistic growth, exponential phase)",87.03177213782814,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",20.716387321930945
28,19,10,C05_6,Model 1 (Logistic),71.52859679285157,Model 2 (Trimmed logistic),71.52859679285157,Model 3 (Linear logged),15.687571079837578,"Model 4 (Logistic growth, exponential phase)",84.87582254332837,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",14.141625071086224
28,19,10,E03_6,Model 1 (Logistic),70.77815906081308,Model 2 (Trimmed logistic),78.85184421254536,Model 3 (Linear logged),18.51832575112752,"Model 4 (Logistic growth, exponential phase)",83.82441582166523,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",16.3485995191366
28,19,10,F02_6,Model 1 (Logistic),64.58991755553477,Model 2 (Trimmed logistic),64.58991751365429,Model 3 (Linear logged),13.900470817302914,"Model 4 (Logistic growth, exponential phase)",71.22388674672139,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",10.870075330405573
anc5,36,16,B08_16,Model 1 (Logistic),113.56161862746741,Model 2 (Trimmed logistic),113.56161862748108,Model 3 (Linear logged),20.538830952733086,"Model 4 (Logistic growth, exponential phase)",83.54836221500378,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",34.16004637342101
anc5,36,16,C11_16,Model 1 (Logistic),99.99661699529987,Model 2 (Trimmed logistic),99.99661699527405,Model 3 (Linear logged),26.38121599556959,"Model 4 (Logistic growth, exponential phase)",89.8787228758474,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",35.01605649681882
anc5,36,16,E07_16,Model 1 (Logistic),92.40169660159,Model 2 (Trimmed logistic),74.94584398069404,Model 3 (Linear logged),25.097695392599647,"Model 4 (Logistic growth, exponential phase)",85.82219653427691,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",33.54190118012089
anc5,36,16,F05_16,Model 1 (Logistic),92.30525382058032,Model 2 (Trimmed logistic),73.48193272990005,Model 3 (Linear logged),22.86083440823634,"Model 4 (Logistic growth, exponential phase)",80.95051279357226,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",34.97751588454604
anc5,36,22,B08_31,Model 1 (Logistic),155.06344169181077,Model 2 (Trimmed logistic),155.0634416917942,Model 3 (Linear logged),30.12666290985539,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",41.88485340453722
anc5,36,22,C11_31,Model 1 (Logistic),160.46438392589988,Model 2 (Trimmed logistic),160.46438392582306,Model 3 (Linear logged),33.552164285087535,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",44.887907334560374
anc5,36,22,E07_31,Model 1 (Logistic),160.14729467641195,Model 2 (Trimmed logistic),142.46017642015903,Model 3 (Linear logged),30.474758385426306,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",42.47853609374061
anc5,36,22,F05_31,Model 1 (Logistic),155.05679767212166,Model 2 (Trimmed logistic),155.05679767210665,Model 3 (Linear logged),28.849720384328005,"Model 4 (Logistic growth, exponential phase)",Inf,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",40.07549164611946
anc5,36,28,B08_46,Model 1 (Logistic),224.7561322798595,Model 2 (Trimmed logistic),153.2130840012649,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-12.75816770485294,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",67.33856932368425
anc5,36,28,C11_46,Model 1 (Logistic),223.6277947429764,Model 2 (Trimmed logistic),174.77527595193592,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-6.429169115436604,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",65.97205440426988
anc5,36,28,E07_46,Model 1 (Logistic),225.79890677931397,Model 2 (Trimmed logistic),161.33879978416488,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-8.972334045742727,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",62.14609726362556
anc5,36,28,F05_46,Model 1 (Logistic),182.51193478851124,Model 2 (Trimmed logistic),145.44445383290505,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-15.495744034483579,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",52.57697254750485
anc5,36,34,B08_61,Model 1 (Logistic),211.61651572818022,Model 2 (Trimmed logistic),169.81336290522893,Model 3 (Linear logged),Inf,"Model 4 (Logistic growth, exponential phase)",-9.498385369325366,"Model 5 (Log linear, early phase, 40C)",NA,"Model 6 (Linear logged, full data)",53.99957925822963
