"","population","population.number","temperature","well.ID","r.gt","r.best.model"
"1","1",1,10,"B09_1",0.418092660742069,"gr"
"2","1",1,10,"C06_1",0.374127243188074,"gr"
"3","1",1,10,"E02_1",0.392262363445974,"gr"
"4","1",1,10,"F11_1",0.443912479762086,"gr"
"5","1",1,16,"B09_16",0.950927571504392,"gr.sat"
"6","1",1,16,"C06_16",1.05449897251177,"gr.lagsat"
"7","1",1,16,"E02_16",0.998401333536737,"gr.lagsat"
"8","1",1,16,"F11_16",0.861654863536355,"gr.sat"
"9","1",1,22,"B09_31",1.66286106427992,"gr.sat"
"10","1",1,22,"C06_31",1.53449956212854,"gr.sat"
"11","1",1,22,"E02_31",1.5240486204505,"gr.sat"
"12","1",1,22,"F11_31",1.21840789814454,"gr.sat"
"13","1",1,28,"B09_46",3.12672288774647,"gr.sat"
"14","1",1,28,"C06_46",3.24618267028627,"gr.sat"
"15","1",1,28,"E02_46",2.91734891151495,"gr.sat"
"16","1",1,28,"F11_46",2.8619814095455,"gr.sat"
"17","1",1,34,"B09_61",3.70886411323612,"gr.sat"
"18","1",1,34,"C06_61",3.82395413393036,"gr.sat"
"19","1",1,34,"E02_61",3.71035076483433,"gr.sat"
"20","1",1,34,"F11_61",4.03664867411333,"gr.sat"
"21","1",1,40,"B09_76",-0.799054022919884,"gr"
"22","1",1,40,"C06_76",1e-04,"gr.lagsat"
"23","1",1,40,"E02_76",-0.620668893222133,"gr"
"24","1",1,40,"F11_76",-0.589331102159005,"gr"
"25","10",2,10,"C02_11",0.49874817820444,"gr"
"26","10",2,10,"D05_11",0.483526288756706,"gr"
"27","10",2,10,"D11_11",0.421554216854237,"gr"
"28","10",2,10,"F08_11",0.38967735483984,"gr"
"29","10",2,16,"C02_26",0.993851276701303,"gr.sat"
"30","10",2,16,"D05_26",0.963258839997373,"gr.sat"
"31","10",2,16,"D11_26",1.03029640143361,"gr.sat"
"32","10",2,16,"F08_26",0.515524838981247,"gr"
"33","10",2,22,"C02_41",1.33651397471273,"gr.sat"
"34","10",2,22,"D05_41",1.60754786670804,"gr.sat"
"35","10",2,22,"D11_41",1.58468585168165,"gr.sat"
"36","10",2,22,"F08_41",1.65400248965129,"gr.sat"
"37","10",2,28,"C02_56",2.53370913186923,"gr.sat"
"38","10",2,28,"D05_56",3.28518456988482,"gr.sat"
"39","10",2,28,"D11_56",2.54326325985193,"gr.sat"
"40","10",2,28,"F08_56",2.39300065640481,"gr.sat"
"41","10",2,34,"C02_71",2.35307403602654,"gr.sat"
"42","10",2,34,"D05_71",2.43295305482839,"gr.sat"
"43","10",2,34,"D11_71",2.53381373168594,"gr.sat"
"44","10",2,34,"F08_71",2.0144567392407,"gr.sat"
"45","10",2,40,"C02_86",-0.335886080173399,"gr"
"46","10",2,40,"D05_86",-0.766321354525118,"gr"
"47","10",2,40,"D11_86",-0.574004422941115,"gr"
"48","10",2,40,"F08_86",-0.584194743087243,"gr"
"49","11",3,10,"B07_1",0.282626753340412,"gr"
"50","11",3,10,"C07_1",0.291432376189828,"gr"
"51","11",3,10,"D11_1",0.372687527377641,"gr"
"52","11",3,10,"G02_1",0.202531348278521,"gr"
"53","11",3,16,"B07_16",1.11112278456894,"gr.sat"
"54","11",3,16,"C07_16",1.07296750297752,"gr.sat"
"55","11",3,16,"D11_16",1.15451073896017,"gr.sat"
"56","11",3,16,"G02_16",1.72576418978722,"gr.lagsat"
"57","11",3,22,"B07_31",1.5904779983109,"gr.sat"
"58","11",3,22,"C07_31",1.70663778103521,"gr.sat"
"59","11",3,22,"D11_31",2.15406732091413,"gr.sat"
"60","11",3,22,"G02_31",1.64946120835431,"gr.sat"
"61","11",3,28,"B07_46",2.73027373497062,"gr.sat"
"62","11",3,28,"C07_46",2.60919969350105,"gr.sat"
"63","11",3,28,"D11_46",2.55247255219327,"gr.sat"
"64","11",3,28,"G02_46",1.58767119920279,"gr.sat"
"65","11",3,34,"B07_61",3.23784531127627,"gr.sat"
"66","11",3,34,"C07_61",3.19094380446846,"gr.sat"
"67","11",3,34,"D11_61",-0.240587386986174,"gr"
"68","11",3,34,"G02_61",3.58017643509027,"gr.sat"
"69","11",3,40,"B07_76",-0.900623026365193,"gr"
"70","11",3,40,"C07_76",-0.887520962828949,"gr"
"71","11",3,40,"D11_76",-0.621828699214981,"gr"
"72","11",3,40,"G02_76",-0.692250945662274,"gr"
"73","14",4,10,"B04_1",0.314446296952238,"gr"
"74","14",4,10,"D06_1",0.348500406714026,"gr"
"75","14",4,10,"D09_1",0.358081839828517,"gr"
"76","14",4,10,"F08_1",0.332497687184142,"gr"
"77","14",4,16,"B04_16",1.06712839729402,"gr.sat"
"78","14",4,16,"D06_16",1.04118089747685,"gr.sat"
"79","14",4,16,"D09_16",1.02111722903925,"gr.sat"
"80","14",4,16,"F08_16",1.21763104429988,"gr.sat"
"81","14",4,22,"B04_31",2.09968434238248,"gr.sat"
"82","14",4,22,"D06_31",2.23219611803761,"gr.sat"
"83","14",4,22,"D09_31",2.1808138183824,"gr.sat"
"84","14",4,22,"F08_31",2.06192943527292,"gr.sat"
"85","14",4,28,"B04_46",3.12843234475005,"gr.sat"
"86","14",4,28,"D06_46",2.87224762272008,"gr.sat"
"87","14",4,28,"D09_46",3.26585806412381,"gr.sat"
"88","14",4,28,"F08_46",2.76107419098471,"gr.sat"
"89","14",4,34,"B04_61",3.6886415416873,"gr.sat"
"90","14",4,34,"D06_61",3.24194413590247,"gr.sat"
"91","14",4,34,"D09_61",3.40685297209162,"gr.sat"
"92","14",4,34,"F08_61",3.40893138978112,"gr.sat"
"93","14",4,40,"B04_76",-0.777129454741575,"gr"
"94","14",4,40,"D06_76",-0.527274210283031,"gr"
"95","14",4,40,"D09_76",-0.488308414251074,"gr"
"96","14",4,40,"F08_76",-0.778393918145978,"gr"
"97","15",5,10,"B02_11",0.439402120852687,"gr"
"98","15",5,10,"C11_11",0.372868706245294,"gr"
"99","15",5,10,"E07_11",0.334628285906996,"gr"
"100","15",5,10,"F02_11",0.414307612303133,"gr"
"101","15",5,16,"B02_26",0.792407887181892,"gr.sat"
"102","15",5,16,"C11_26",0.516472418257896,"gr"
"103","15",5,16,"E07_26",0.932984475258182,"gr.sat"
"104","15",5,16,"F02_26",0.986655034844613,"gr.sat"
"105","15",5,22,"B02_41",2.12128398987555,"gr.sat"
"106","15",5,22,"C11_41",2.25039444258513,"gr.sat"
"107","15",5,22,"E07_41",2.73549573814288,"gr.lagsat"
"108","15",5,22,"F02_41",2.84970341110656,"gr.lagsat"
"109","15",5,28,"B02_56",3.23761906650081,"gr.sat"
"110","15",5,28,"C11_56",3.02414549885161,"gr.sat"
"111","15",5,28,"E07_56",3.21972962889357,"gr.sat"
"112","15",5,28,"F02_56",2.35466835903085,"gr.sat"
"113","15",5,34,"B02_71",3.82480232999871,"gr.sat"
"114","15",5,34,"C11_71",3.70215732629318,"gr.sat"
"115","15",5,34,"E07_71",3.5353515488761,"gr.sat"
"116","15",5,34,"F02_71",3.34258210328043,"gr.sat"
"117","15",5,40,"B02_86",-0.696323609992402,"gr"
"118","15",5,40,"C11_86",-0.723254552319112,"gr"
"119","15",5,40,"E07_86",-0.794650693501309,"gr"
"120","15",5,40,"F02_86",1e-04,"gr.lagsat"
"121","16",6,10,"B05_11",0.454616542981366,"gr"
"122","16",6,10,"C08_11",0.401375297064932,"gr"
"123","16",6,10,"E04_11",0.43334255478369,"gr"
"124","16",6,10,"E11_11",0.368137989729114,"gr"
"125","16",6,16,"B05_26",1.0004421718268,"gr.sat"
"126","16",6,16,"C08_26",1.38658570794324,"gr.sat"
"127","16",6,16,"E04_26",0.551204848221877,"gr"
"128","16",6,16,"E11_26",1.01526244192983,"gr.sat"
"129","16",6,22,"B05_41",3.11172096278608,"gr.lagsat"
"130","16",6,22,"C08_41",1.97105512229656,"gr.sat"
"131","16",6,22,"E04_41",2.35806819800821,"gr.sat"
"132","16",6,22,"E11_41",2.20019669308511,"gr.sat"
"133","16",6,28,"B05_56",3.38634301217032,"gr.sat"
"134","16",6,28,"C08_56",3.63510839681357,"gr.sat"
"135","16",6,28,"E04_56",3.53344215492334,"gr.sat"
"136","16",6,28,"E11_56",3.03970886805279,"gr.sat"
"137","16",6,34,"B05_71",3.66676435354152,"gr.sat"
"138","16",6,34,"C08_71",3.53981489543454,"gr.sat"
"139","16",6,34,"E04_71",3.62862659208132,"gr.sat"
"140","16",6,34,"E11_71",3.93168284760803,"gr.sat"
"141","16",6,40,"B05_86",-0.46166282485389,"gr"
"142","16",6,40,"C08_86",-0.651545451654687,"gr"
"143","16",6,40,"E04_86",-0.662332262522491,"gr"
"144","16",6,40,"E11_86",-0.781952360607086,"gr"
"145","17",7,10,"B08_6",0.426588101796326,"gr"
"146","17",7,10,"C11_6",0.439919766018273,"gr"
"147","17",7,10,"E07_6",0.404121866561198,"gr"
"148","17",7,10,"F05_6",0.38461946099827,"gr"
"149","17",7,16,"B08_21",1.05493725454734,"gr.sat"
"150","17",7,16,"C11_21",1.00934768704814,"gr.sat"
"151","17",7,16,"E07_21",1.01373093485769,"gr.sat"
"152","17",7,16,"F05_21",1.0859228118672,"gr.sat"
"153","17",7,22,"B08_36",1.89974810075417,"gr.sat"
"154","17",7,22,"C11_36",1.83491037940671,"gr.sat"
"155","17",7,22,"E07_36",1.71001118916848,"gr.sat"
"156","17",7,22,"F05_36",1.81676103179494,"gr.sat"
"157","17",7,28,"B08_51",3.20536386946619,"gr.sat"
"158","17",7,28,"C11_51",3.36064577544438,"gr.sat"
"159","17",7,28,"E07_51",3.06597060825658,"gr.sat"
"160","17",7,28,"F05_51",3.0747038185301,"gr.sat"
"161","17",7,34,"B08_66",3.72386752570915,"gr.sat"
"162","17",7,34,"C11_66",4.24312138773121,"gr.sat"
"163","17",7,34,"E07_66",3.1825840348829,"gr.sat"
"164","17",7,34,"F05_66",3.39542275091302,"gr.sat"
"165","17",7,40,"B08_81",1e-04,"gr.lagsat"
"166","17",7,40,"C11_81",1e-04,"gr.lagsat"
"167","17",7,40,"E07_81",-0.784886888793887,"gr"
"168","17",7,40,"F05_81",-0.758047628574156,"gr"
"169","18",8,10,"B11_6",0.35216036502811,"gr"
"170","18",8,10,"D02_6",0.40191936337444,"gr"
"171","18",8,10,"E06_6",0.391623053347768,"gr"
"172","18",8,10,"E11_6",0.38474720315011,"gr"
"173","18",8,16,"B11_21",0.943373963620884,"gr.sat"
"174","18",8,16,"D02_21",0.963960416745428,"gr.sat"
"175","18",8,16,"E06_21",0.936522277727458,"gr.sat"
"176","18",8,16,"E11_21",0.924989998674732,"gr.sat"
