"","model","AICc"
"1","Beta",41.134671211322
"2","Boatman",43.9063284220788
"3","Briere",40.3217233515393
"4","Delong",75.6466080077468
"5","Deutsch",4.3463741228322
"6","Flinn",66.7203239354675
"7","Gaussian",67.7205854368351
"8","Hinshelwood",116.866007335088
"9","Joehnk",11.7825957819056
"10","Johnson-Lewis",84.673608469429
"11","Kamykowski",19.9056115149753
"12","Lactin2",3.74261276547876
"13","LRF",5.00121738363659
"14","ModifiedGaussian",55.0411743791513
"15","ONeill",39.426256016712
"16","Quadratic",77.1459687258786
"17","Ratkowsky",31.8246192237817
"18","Rezende",-1.54008019942511
"19","Sharpe-Schoolfield",38.2126570791856
"20","Spain",95.229137965669
"21","Thomas2012",1636.72307577543
"22","Weibull",48.6762674270114
