"","Pop.fac","Pop.num","Model","T.min","T.max","T.br","T.opt","r.max","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","1",1,"Lactin 2",7.67966149475118,39.9034146117462,15.5937054558009,34.3855246406053,3.66278123020193,7.7,39.9,15.65,34.45,3.64139311607825
"2","10",2,"Lactin 2",5.46040506600997,39.9931389489205,18.3353131897293,32.45475591932,3.16763111375775,5.5,39.95,18.25,32.5,3.15010134755468
"3","11",3,"Lactin 2",6.22087054921709,39.9373970087451,16.987868616859,33.3871899349572,3.65026769684443,6.25,39.9,17,33.45,3.62420029680725
"4","14",4,"Lactin 2",6.87399079864912,39.7775789562917,17.3540069400893,32.6451611395212,3.75605028640121,6.95,39.75,17.3,32.7,3.73233039333539
"5","15",5,"Lactin 2",6.24543125114615,39.7949482417059,17.9489747761621,32.2862009719176,3.52778097390715,6.3,39.75,17.85,32.35,3.49749711440422
"6","16",6,"Lactin 2",5.68007131241269,39.9354255483632,18.4519847810569,32.0941264650072,3.56663659802574,5.75,39.9,18.4,32.1,3.55057018995063
"7","17",7,"Lactin 2",7.4775450938777,39.9657032539913,12.7429184917906,36.7281086869906,6.1446852043701,7.5,39.95,13.05,36.8,6.03320933589102
"8","18",8,"Lactin 2",6.07700332773792,39.7151949438023,18.2341951346839,32.0400798723738,3.14663528296279,6.15,39.7,18.2,32.05,3.12960936716496
"9","19",9,"Lactin 2",5.06625963888369,39.9495999263838,17.6963760506711,33.0426740407277,3.42585771435195,5.15,39.9,17.7,33.15,3.37365246521785
"10","2",10,"Lactin 2",7.05242749353627,40.0360407917242,17.7086454118819,32.6234199761459,3.59672640900083,7.15,40,17.65,32.7,3.55981282315559
"11","20",11,"Lactin 2",7.20308681676441,39.9427187048958,14.9833215563687,35.0868892871452,3.93101718622885,7.25,39.9,15.2,35.2,3.86882399754328
"12","21",12,"Lactin 2",6.7861903266459,39.8772954116166,16.7006827842217,33.2663489940279,4.43451241027755,6.85,39.85,16.65,33.35,4.4002337914141
"13","22",13,"Lactin 2",8.29448309054632,40.008958444645,16.4153595303868,33.5049266853177,3.85541693491126,8.35,40,16.35,33.6,3.81757766178389
"14","23",14,"Lactin 2",6.51151180023547,39.9792057483342,17.7073257215839,32.5926151594875,3.97950144067359,6.6,39.95,17.65,32.65,3.94283036398936
