"","population","population.number","temperature","well.ID","r.exp"
"1","1",1,10,"B09_1",0.28046591810065
"2","1",1,10,"C06_1",0.310465707193859
"3","1",1,10,"E02_1",-0.395294509783526
"4","1",1,10,"F11_1",-0.768679867929013
"5","1",1,16,"B09_16",-0.801465054985827
"6","1",1,16,"C06_16",-0.992619191873902
"7","1",1,16,"E02_16",-0.910997704209996
"8","1",1,16,"F11_16",0.818634530558648
"9","1",1,22,"B09_31",1.58756039071561
"10","1",1,22,"C06_31",1.41971804693891
"11","1",1,22,"E02_31",1.57896603243
"12","1",1,22,"F11_31",1.55434119985639
"13","1",1,28,"B09_46",2.98117537426014
"14","1",1,28,"C06_46",3.13224474453567
"15","1",1,28,"E02_46",2.82624967361345
"16","1",1,28,"F11_46",2.69295305235572
"17","1",1,34,"B09_61",3.70497456758985
"18","1",1,34,"C06_61",4.00705990766755
"19","1",1,34,"E02_61",3.77161537989769
"20","1",1,34,"F11_61",3.87078967776027
"21","10",2,10,"C02_11",0.242199500723914
"22","10",2,10,"D05_11",-0.492170953208664
"23","10",2,10,"D11_11",0.160993049435104
"24","10",2,10,"F08_11",0.460166917914484
"25","10",2,16,"C02_26",-0.61293115798994
"26","10",2,16,"D05_26",-0.17170431889336
"27","10",2,16,"D11_26",-0.289366335342107
"28","10",2,16,"F08_26",-0.831695757362191
"29","10",2,22,"C02_41",-0.400716319331175
"30","10",2,22,"D05_41",1.75441166276632
"31","10",2,22,"D11_41",1.80820043191284
"32","10",2,22,"F08_41",1.9208141297949
"33","10",2,28,"C02_56",2.88007350384946
"34","10",2,28,"D05_56",3.02891889588755
"35","10",2,28,"D11_56",2.75810174921153
"36","10",2,28,"F08_56",2.3341963868385
"37","10",2,34,"C02_71",2.9860217217399
"38","10",2,34,"D05_71",3.63498645467818
"39","10",2,34,"D11_71",3.69255088068584
"40","10",2,34,"F08_71",3.64944040276843
"41","11",3,10,"B07_1",-0.986226135078035
"42","11",3,10,"C07_1",0.150283997800516
"43","11",3,10,"D11_1",-0.57304275241803
"44","11",3,10,"G02_1",0.282034619622185
"45","11",3,16,"B07_16",-0.910997703526245
"46","11",3,16,"C07_16",-0.910997705469016
"47","11",3,16,"D11_16",-1.76910001818065
"48","11",3,16,"G02_16",0.195644270852984
"49","11",3,22,"B07_31",-1.56084432769631
"50","11",3,22,"C07_31",-0.925654562705038
"51","11",3,22,"D11_31",2.16580701542159
