"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,6.81513152588401,1.33061064213197,4.85,4.95253172722403
"2","10",2,8.64056068819463,1.55101420756516,4.85,4.88258790686496
"3","11",3,2.75162310859888,1.0847549555167,2.65,2.93643523441931
"4","14",4,3.6732766145864,1.142200329927,3.3,3.53320807019518
"5","15",5,5.65367199156273,1.33527969176372,3.9,4.08376015637983
"6","16",6,3.96210188154793,1.17829635767323,3.2,3.58853327555825
"7","17",7,5.09354279239534,1.48081087306711,2.95,3.09768710076202
"8","18",8,8.86333213206018,1.4217392134069,5.75,5.75982375727174
"9","19",9,6.09703199127615,1.13242424230907,5.7,5.96469831770533
"10","2",10,5.50851936945275,1.18204013030232,4.7,4.95911870733208
"11","20",11,6.4845302575887,1.1765920573447,5.7,5.8893670474571
"12","21",12,2.61794901530275,1.25588571023542,1.9,2.10674170629767
"13","22",13,7.78956948745014,1.37825956955692,5.25,5.33102095626471
"14","23",14,4.28697033376315,1.31686385825412,3,3.17190913626809
"15","24",15,7.43105002907937,1.14086367723534,7.05,7.164138814964
"16","25",16,3.90352665819702,1.45834498019773,2.35,2.43333571932374
"17","26",17,8.03899013779422,1.33649200352161,5.75,5.79765722859689
"18","27",18,7.49735798741555,1.37528866219816,5.05,5.14973489467248
"19","28",19,4.72656586200901,1.08634960209418,4.7,5.02874301071752
"20","29",20,7.49857547990769,1.46710535019171,4.55,4.62923327247584
"21","3",21,4.16986495158959,1.32802973351436,2.75,3.04040881621222
"22","30",22,7.65005217896147,1.57462562700104,4.15,4.22227578942677
"23","31",23,7.63908052720598,1.34103772755635,5.4,5.47718111981566
"24","32",24,7.59046144777177,1.18436325631995,6.7,6.80798936792974
"25","33",25,6.73087777486382,1.34445209717451,4.65,4.80499901459913
"26","35",26,7.50089753773012,1.46120092453551,4.6,4.66100567228542
"27","4",27,7.45445170579126,1.54919611669026,4.15,4.22008627491433
"28","5",28,6.88798559162203,1.3201230709582,4.95,5.07453605696496
"29","6",29,5.5806878395414,1.29957431281922,4.05,4.22565404986841
"30","7",30,7.5439666394124,1.24282187804597,6.1,6.18700345419594
"31","8",31,0.0632023846588727,1.26179415834528,0.05,0.0504326446552656
"32","9",32,5.70878856251111,1.35921712541736,3.75,4.00006643168059
"33","anc2",33,7.35956515618162,1.53930675802331,4.15,4.20844281293484
"34","anc3",34,7.15750742086932,1.25453710064789,5.65,5.77104398303245
"35","anc4",35,3.68967026813554,0.964065598017144,4.8,5.11356413487158
"36","anc5",36,4.64510638872687,1.20613316620018,3.75,4.0258877175191
"37","cc1690",37,7.74405965022451,1.47262760591491,4.7,4.75185428976609
