"","population","population.number","nitrate.lvl","well.ID","r.exp"
"1","1",1,5,"B09_1",0.882821365515816
"2","1",1,5,"C06_1",1.12055736747187
"3","1",1,5,"E02_1",0.946828162693077
"4","1",1,5,"F11_1",0.510219916027867
"5","1",1,10,"B09_4",0.309256189155185
"6","1",1,10,"C06_4",0.737924317812311
"7","1",1,10,"E02_4",0.818847909435233
"8","1",1,10,"F11_4",0.830787499121203
"9","1",1,20,"B09_7",0.23150621697118
"10","1",1,20,"C06_7",0.889202546928603
"11","1",1,20,"E02_7",0.814855293806191
"12","1",1,20,"F11_7",0.616552403311581
"13","1",1,40,"B09_10",0.929181827136075
"14","1",1,40,"C06_10",0.638781069923232
"15","1",1,40,"E02_10",1.05268677005043
"16","1",1,40,"F11_10",1.81170985985574
"17","1",1,60,"B09_13",1.18603620063215
"18","1",1,60,"C06_13",1.17992613386094
"19","1",1,60,"E02_13",0.88200329199695
"20","1",1,60,"F11_13",1.05016841679417
"21","1",1,80,"B09_16",1.57036649161457
"22","1",1,80,"C06_16",1.17045255264746
"23","1",1,80,"E02_16",1.36226920634385
"24","1",1,80,"F11_16",1.07415252875206
"25","1",1,100,"B09_19",1.34200020029539
"26","1",1,100,"C06_19",1.5717517196996
"27","1",1,100,"E02_19",1.12855152816972
"28","1",1,100,"F11_19",1.16902676005566
"29","1",1,400,"B09_22",1.86134151156239
"30","1",1,400,"C06_22",1.47151838812084
"31","1",1,400,"E02_22",1.54700592147149
"32","1",1,400,"F11_22",1.31463484455825
"33","1",1,600,"B09_25",1.14529397913613
"34","1",1,600,"C06_25",1.17470163784095
"35","1",1,600,"E02_25",1.41208022646242
"36","1",1,600,"F11_25",1.17360628633937
"37","1",1,1000,"B09_28",1.23051003408641
"38","1",1,1000,"C06_28",1.2280451408173
"39","1",1,1000,"E02_28",1.220623824887
"40","1",1,1000,"F11_28",1.31709147994063
"41","10",2,5,"C02_3",1.15426976328388
"42","10",2,5,"D05_3",1.63342765396864
"43","10",2,5,"D11_3",0.585125851344275
"44","10",2,5,"F08_3",0.810939082533783
"45","10",2,10,"C02_6",0.597457783210075
"46","10",2,10,"D05_6",1.32588828474897
"47","10",2,10,"D11_6",0.478871173790656
"48","10",2,10,"F08_6",1.06398633699858
"49","10",2,20,"C02_9",0.233520377017628
"50","10",2,20,"D05_9",0.880106146324378
"51","10",2,20,"D11_9",0.783707690806825
"52","10",2,20,"F08_9",0.724432890313693
"53","10",2,40,"C02_12",0.825962167575667
"54","10",2,40,"D05_12",1.027199003946
"55","10",2,40,"D11_12",1.04873086660696
"56","10",2,40,"F08_12",1.01606361307827
"57","10",2,60,"C02_15",1.18365054083532
"58","10",2,60,"D05_15",1.1740564496919
"59","10",2,60,"D11_15",1.13147527561413
"60","10",2,60,"F08_15",1.27090002934801
"61","10",2,80,"C02_18",1.50085049425563
"62","10",2,80,"D05_18",1.20897261356575
"63","10",2,80,"D11_18",1.78940478155739
"64","10",2,80,"F08_18",1.40576667064514
"65","10",2,100,"C02_21",1.82963094474114
"66","10",2,100,"D05_21",1.24534047499498
"67","10",2,100,"D11_21",1.60161819061139
"68","10",2,100,"F08_21",1.22317364693749
