"","Pop.fac","Pop.num","Model","DIC"
"1","Mean of all","Mean of all","Lactin 2",12.5883339033892
"2","Mean of all","Mean of all","Thomas 1",26.4140893955274
"3","1","1","Lactin 2",-10.9231265692271
"4","10","2","Lactin 2",3.97393152262873
"5","11","3","Lactin 2",-0.382080520876589
"6","14","4","Lactin 2",-5.05697268561071
"7","15","5","Lactin 2",18.6695932618041
"8","16","6","Lactin 2",13.3613668728025
"9","17","7","Lactin 2",28.4529955613789
"10","18","8","Lactin 2",-27.8324926364226
"11","19","9","Lactin 2",24.8137140630981
"12","2","10","Lactin 2",32.8484348128716
"13","20","11","Lactin 2",18.9457347929841
"14","21","12","Lactin 2",2.46349416020646
"15","22","13","Lactin 2",15.5931498994526
"16","23","14","Lactin 2",17.6967081245405
"17","24","15","Lactin 2",13.8602852222243
"18","25","16","Lactin 2",6.10504543576909
"19","26","17","Lactin 2",-9.19033882779106
"20","27","18","Lactin 2",38.4811361323239
"21","28","19","Lactin 2",38.0659152967261
"22","29","20","Lactin 2",13.7538285227673
"23","3","21","Lactin 2",26.306360906639
"24","30","22","Lactin 2",4.26329948766697
"25","31","23","Lactin 2",33.5491567514202
"26","32","24","Lactin 2",3.11396125392405
"27","33","25","Lactin 2",-12.1832184497733
"28","35","26","Lactin 2",27.7315679675273
"29","4","27","Lactin 2",34.3340355526965
"30","5","28","Lactin 2",34.5034074337994
"31","6","29","Lactin 2",5.29144920437168
"32","7","30","Lactin 2",10.0380288040686
"33","8","31","Lactin 2",-10.703694953717
"34","9","32","Lactin 2",-9.89688762595829
"35","anc2","33","Lactin 2",22.8415040526826
"36","anc3","34","Lactin 2",5.13500244718884
"37","anc4","35","Lactin 2",5.67182255177461
"38","anc5","36","Lactin 2",14.3514910790202
"39","cc1629","37","Lactin 2",15.7241284857945
"40","cc1690","38","Lactin 2",34.5849509380137
"41","1","1","Thomas 1",6.12082649487747
"42","10","2","Thomas 1",27.2267755776674
"43","11","3","Thomas 1",22.7785550902927
"44","14","4","Thomas 1",16.1750884949586
"45","15","5","Thomas 1",28.4510010583606
"46","16","6","Thomas 1",25.8457431578559
"47","17","7","Thomas 1",45.2480584503282
"48","18","8","Thomas 1",10.5269538256499
"49","19","9","Thomas 1",37.4103828960067
"50","2","10","Thomas 1",38.0064683554672
"51","20","11","Thomas 1",27.8750157332212
"52","21","12","Thomas 1",25.9235153953208
"53","22","13","Thomas 1",20.9993063066638
"54","23","14","Thomas 1",28.6649324660097
"55","24","15","Thomas 1",31.0022203707323
"56","25","16","Thomas 1",15.4219759197243
"57","26","17","Thomas 1",13.6697760954816
"58","27","18","Thomas 1",43.5568236437513
"59","28","19","Thomas 1",43.0483270565897
"60","29","20","Thomas 1",25.7754845446731
"61","3","21","Thomas 1",32.8105609878203
"62","30","22","Thomas 1",24.0238865231676
"63","31","23","Thomas 1",41.4026358904914
"64","32","24","Thomas 1",14.2445090831843
"65","33","25","Thomas 1",19.8199799652072
"66","35","26","Thomas 1",45.3768343869069
"67","4","27","Thomas 1",35.5506978710014
"68","5","28","Thomas 1",37.4736974025901
"69","6","29","Thomas 1",14.3841232541147
"70","7","30","Thomas 1",8.45094375394135
"71","8","31","Thomas 1",4.55354873283997
"72","9","32","Thomas 1",23.5584262287689
"73","anc2","33","Thomas 1",32.0113577433179
"74","anc3","34","Thomas 1",15.8301498629838
"75","anc4","35","Thomas 1",24.3234210988166
"76","anc5","36","Thomas 1",37.5068562298684
"77","cc1629","37","Thomas 1",18.1556983088309
"78","cc1690","38","Thomas 1",40.5308387725579
