"","population","population.number","phos.lvl","well.ID","r.exp"
"1","1",1,0.5,"B09_1",0.535804595010948
"2","1",1,0.5,"C06_1",0.130474747971609
"3","1",1,0.5,"E02_1",0.275832174581593
"4","1",1,0.5,"F11_1",0.359318101864352
"5","1",1,1,"B09_4",0.700403776557428
"6","1",1,1,"C06_4",0.680549701299209
"7","1",1,1,"E02_4",0.648438886448993
"8","1",1,1,"F11_4",0.854191108599874
"9","1",1,2,"B09_7",1.16265044202698
"10","1",1,2,"C06_7",0.751594642087738
"11","1",1,2,"E02_7",1.11421452306795
"12","1",1,2,"F11_7",0.796432644500511
"13","1",1,4,"B09_10",1.52669213557149
"14","1",1,4,"C06_10",1.24383387470525
"15","1",1,4,"E02_10",1.11481187164654
"16","1",1,4,"F11_10",0.970570765180876
"17","1",1,6,"B09_13",1.18060290393246
"18","1",1,6,"C06_13",1.12316320672782
"19","1",1,6,"E02_13",1.13646625913682
"20","1",1,6,"F11_13",1.04623203475725
"21","1",1,8,"B09_16",1.42448609524948
"22","1",1,8,"C06_16",1.31573449828917
"23","1",1,8,"E02_16",1.30726265806191
"24","1",1,8,"F11_16",1.32758807601699
"25","1",1,10,"B09_19",1.37461583739498
"26","1",1,10,"C06_19",1.35481239915013
"27","1",1,10,"E02_19",1.2469067540963
"28","1",1,10,"F11_19",1.28895476273607
"29","1",1,20,"B09_22",1.3295639307861
"30","1",1,20,"C06_22",1.30868767793517
"31","1",1,20,"E02_22",1.2765387173381
"32","1",1,20,"F11_22",0.854143885246232
"33","1",1,35,"B09_25",0.782747923692708
"34","1",1,35,"C06_25",1.41541788398479
"35","1",1,35,"E02_25",1.10712989728987
"36","1",1,35,"F11_25",1.29116638918988
"37","1",1,50,"B09_28",1.36882736782498
"38","1",1,50,"C06_28",1.27909008295069
"39","1",1,50,"E02_28",1.48245031903453
"40","1",1,50,"F11_28",1.04754057876947
"41","10",2,0.5,"C02_3",0.194103170310442
"42","10",2,0.5,"D05_3",0.326720159069327
"43","10",2,0.5,"D11_3",0.408570885813253
"44","10",2,0.5,"F08_3",0.18323788735037
"45","10",2,1,"C02_6",0.244810795453048
"46","10",2,1,"D05_6",0.586855829175604
"47","10",2,1,"D11_6",0.566125045326781
"48","10",2,1,"F08_6",0.464945238330362
"49","10",2,2,"C02_9",0.479523977020797
"50","10",2,2,"D05_9",0.692591755821272
"51","10",2,2,"D11_9",0.852200310352212
"52","10",2,2,"F08_9",1.12435415042349
"53","10",2,4,"C02_12",1.14209376012217
"54","10",2,4,"D05_12",1.15128081581016
"55","10",2,4,"D11_12",1.03584253131461
"56","10",2,4,"F08_12",1.12875507231731
"57","10",2,6,"C02_15",1.26713985022082
"58","10",2,6,"D05_15",1.11541024847604
"59","10",2,6,"D11_15",1.10632231122016
"60","10",2,6,"F08_15",1.2386578449709
"61","10",2,8,"C02_18",1.33978322690891
"62","10",2,8,"D05_18",1.27386045808651
"63","10",2,8,"D11_18",1.28741177708409
"64","10",2,8,"F08_18",1.55920947998732
"65","10",2,10,"C02_21",1.3029154870671
"66","10",2,10,"D05_21",1.05126505821683
"67","10",2,10,"D11_21",1.13342370116529
"68","10",2,10,"F08_21",1.03268414732631
"69","10",2,20,"C02_24",1.27830264705173
"70","10",2,20,"D05_24",1.26334404530706
"71","10",2,20,"D11_24",1.23644796310586
"72","10",2,20,"F08_24",0.508270613426694
"73","10",2,35,"C02_27",1.43610858038272
"74","10",2,35,"D05_27",1.29467932058794
"75","10",2,35,"D11_27",1.11097991174953
"76","10",2,35,"F08_27",1.0583926177375
"77","10",2,50,"C02_30",1.25893926255091
"78","10",2,50,"D05_30",1.20733573027198
"79","10",2,50,"D11_30",1.79532947738912
"80","10",2,50,"F08_30",1.44588677279635
"81","11",3,0.5,"B07_1",0.635247591174241
"82","11",3,0.5,"C07_1",0.536338095505165
"83","11",3,0.5,"D11_1",0.562729665235819
"84","11",3,0.5,"G02_1",0.30565186729787
"85","11",3,1,"B07_4",0.919494611741676
"86","11",3,1,"C07_4",0.88181079876155
"87","11",3,1,"D11_4",0.68232398223947
"88","11",3,1,"G02_4",0.938921735685767
"89","11",3,2,"B07_7",0.999271320031894
"90","11",3,2,"C07_7",0.293076755046562
"91","11",3,2,"D11_7",0.953269028406165
"92","11",3,2,"G02_7",0.273925269123352
"93","11",3,4,"B07_10",1.15017015855204
"94","11",3,4,"C07_10",1.4659778349149
"95","11",3,4,"D11_10",0.49492743027293
"96","11",3,4,"G02_10",1.14591195264336
"97","11",3,6,"B07_13",1.24780523172205
"98","11",3,6,"C07_13",1.47845206234492
"99","11",3,6,"D11_13",1.21259840118036
"100","11",3,6,"G02_13",1.30027604913234
"101","11",3,8,"B07_16",1.28882564065464
"102","11",3,8,"C07_16",1.43085761791285
"103","11",3,8,"D11_16",1.35334130003213
"104","11",3,8,"G02_16",1.24805477264199
"105","11",3,10,"B07_19",1.61804718537625
"106","11",3,10,"C07_19",1.22081340945235
"107","11",3,10,"D11_19",1.20622926058163
"108","11",3,10,"G02_19",1.5608137604511
"109","11",3,20,"B07_22",1.25843438399112
"110","11",3,20,"C07_22",1.5901257375657
"111","11",3,20,"D11_22",1.43726148125379
"112","11",3,20,"G02_22",1.28509796071728
"113","11",3,35,"B07_25",1.3679262053586
"114","11",3,35,"C07_25",1.51596904996586
"115","11",3,35,"D11_25",1.26902083183378
"116","11",3,35,"G02_25",1.32867579985355
"117","11",3,50,"B07_28",1.43277613249151
"118","11",3,50,"C07_28",1.29941299104492
"119","11",3,50,"D11_28",1.30244084247719
"120","11",3,50,"G02_28",1.2805661922484
"121","14",4,0.5,"B04_1",0.328100235989314
"122","14",4,0.5,"D06_1",0.400234176670717
"123","14",4,0.5,"D09_1",0.493808571600307
"124","14",4,0.5,"F08_1",0.400791091955589
"125","14",4,1,"B04_4",0.636648063596879
"126","14",4,1,"D06_4",0.764808074965345
"127","14",4,1,"D09_4",0.410747741281256
"128","14",4,1,"F08_4",0.613379996969907
"129","14",4,2,"B04_7",0.913811478382465
"130","14",4,2,"D06_7",0.89327914675003
"131","14",4,2,"D09_7",1.17950067658367
"132","14",4,2,"F08_7",1.13908600568479
"133","14",4,4,"B04_10",1.13429168572527
"134","14",4,4,"D06_10",0.335924858296928
"135","14",4,4,"D09_10",0.692184901359852
"136","14",4,4,"F08_10",1.12400909763223
"137","14",4,6,"B04_13",0.92749257595418
"138","14",4,6,"D06_13",1.23744195745783
"139","14",4,6,"D09_13",1.41536993350459
"140","14",4,6,"F08_13",1.14794343303989
"141","14",4,8,"B04_16",1.38768626973733
"142","14",4,8,"D06_16",1.31319345146886
"143","14",4,8,"D09_16",1.34490887219178
"144","14",4,8,"F08_16",1.56015134932256
"145","14",4,10,"B04_19",1.77352249247605
"146","14",4,10,"D06_19",1.34645047930397
"147","14",4,10,"D09_19",1.46949270801813
"148","14",4,10,"F08_19",1.16329058319801
"149","14",4,20,"B04_22",1.33515613475995
"150","14",4,20,"D06_22",1.25567649651535
"151","14",4,20,"D09_22",1.16728461653932
"152","14",4,20,"F08_22",1.17323488796763
"153","14",4,35,"B04_25",1.42243694515705
"154","14",4,35,"D06_25",1.56504779666022
"155","14",4,35,"D09_25",1.54073280551947
"156","14",4,35,"F08_25",1.28640213885861
"157","14",4,50,"B04_28",0.666231952769253
"158","14",4,50,"D06_28",0.744381230500747
"159","14",4,50,"D09_28",1.19007897370577
"160","14",4,50,"F08_28",1.35009383732899
"161","15",5,0.5,"B02_3",0.32672016016052
"162","15",5,0.5,"C11_3",0.326720159884569
"163","15",5,0.5,"E07_3",0.266957319965899
"164","15",5,0.5,"F02_3",0.199037846574499
"165","15",5,1,"B02_6",0.419453426636231
"166","15",5,1,"C11_6",0.522431514389784
"167","15",5,1,"E07_6",0.273874088971505
"168","15",5,1,"F02_6",0.395301153660294
"169","15",5,2,"B02_9",1.09241856639139
"170","15",5,2,"C11_9",0.856389796634136
"171","15",5,2,"E07_9",0.947744253398687
"172","15",5,2,"F02_9",0.421097222443853
"173","15",5,4,"B02_12",1.76432962977376
"174","15",5,4,"C11_12",1.16732145016252
"175","15",5,4,"E07_12",0.667021997722031
"176","15",5,4,"F02_12",1.01235778557216
"177","15",5,6,"B02_15",1.02903393264038
"178","15",5,6,"C11_15",1.44304102077176
"179","15",5,6,"E07_15",0.754598582237452
"180","15",5,6,"F02_15",1.23357587254663
"181","15",5,8,"B02_18",1.37831165329017
"182","15",5,8,"C11_18",1.30733879857498
"183","15",5,8,"E07_18",1.1147164152178
"184","15",5,8,"F02_18",1.259540447734
"185","15",5,10,"B02_21",1.47704272018074
"186","15",5,10,"C11_21",1.2599715189514
"187","15",5,10,"E07_21",1.04475781582865
"188","15",5,10,"F02_21",1.13104900594202
"189","15",5,20,"B02_24",1.25637613057872
"190","15",5,20,"C11_24",1.29631084491526
"191","15",5,20,"E07_24",1.38520328550653
"192","15",5,20,"F02_24",1.06208831392993
"193","15",5,35,"B02_27",1.22003489724054
"194","15",5,35,"C11_27",1.26615301377973
"195","15",5,35,"E07_27",1.49319140199739
"196","15",5,35,"F02_27",1.26351180336161
"197","15",5,50,"B02_30",0.530142258007478
"198","15",5,50,"C11_30",1.61344037147786
"199","15",5,50,"E07_30",1.50899661746793
"200","15",5,50,"F02_30",1.54175320383137
"201","16",6,0.5,"B05_3",0.255985112845837
"202","16",6,0.5,"C08_3",0.117126168514773
"203","16",6,0.5,"E04_3",0.35306579395216
"204","16",6,0.5,"E11_3",0.51879807672815
"205","16",6,1,"B05_6",0.479202206550905
"206","16",6,1,"C08_6",0.287533312455612
"207","16",6,1,"E04_6",0.595334862646246
"208","16",6,1,"E11_6",0.490362280449471
"209","16",6,2,"B05_9",0.822007323308483
"210","16",6,2,"C08_9",0.227136482417442
"211","16",6,2,"E04_9",1.13252663784229
"212","16",6,2,"E11_9",0.806380088274346
"213","16",6,4,"B05_12",1.20982814028178
"214","16",6,4,"C08_12",1.09747316040376
"215","16",6,4,"E04_12",1.30000276679354
"216","16",6,4,"E11_12",0.63303855669786
"217","16",6,6,"B05_15",1.24632306673285
"218","16",6,6,"C08_15",1.26129397651609
"219","16",6,6,"E04_15",1.30112114062584
"220","16",6,6,"E11_15",1.19521573136815
"221","16",6,8,"B05_18",1.22999258207065
"222","16",6,8,"C08_18",1.19290605759715
"223","16",6,8,"E04_18",1.15610836391278
"224","16",6,8,"E11_18",1.18306258133356
"225","16",6,10,"B05_21",1.16263442981544
"226","16",6,10,"C08_21",1.20414554199306
"227","16",6,10,"E04_21",1.3708053123349
"228","16",6,10,"E11_21",1.20350006678525
"229","16",6,20,"B05_24",1.32188447485363
"230","16",6,20,"C08_24",1.28946287621028
"231","16",6,20,"E04_24",1.31461968514548
"232","16",6,20,"E11_24",1.41733168960756
"233","16",6,35,"B05_27",1.18021495105917
"234","16",6,35,"C08_27",1.39359244355811
"235","16",6,35,"E04_27",1.47888766271512
"236","16",6,35,"E11_27",1.42540563097119
"237","16",6,50,"B05_30",1.40955505371685
"238","16",6,50,"C08_30",0.691091199538107
"239","16",6,50,"E04_30",1.48130745911752
"240","16",6,50,"E11_30",1.45080167784202
"241","17",7,0.5,"B08_2",0.704071539080952
"242","17",7,0.5,"C11_2",0.724307007327046
"243","17",7,0.5,"E07_2",0.539325270475298
"244","17",7,0.5,"F05_2",0.236579902251288
"245","17",7,1,"B08_5",1.11772601124596
"246","17",7,1,"C11_5",1.22562342355229
"247","17",7,1,"E07_5",1.06291204393147
"248","17",7,1,"F05_5",0.388576760303639
"249","17",7,2,"B08_8",1.54145570446001
"250","17",7,2,"C11_8",0.468064816448301
"251","17",7,2,"E07_8",1.18276678917131
"252","17",7,2,"F05_8",1.13654646038439
"253","17",7,4,"B08_11",1.32125382446473
"254","17",7,4,"C11_11",0.708470462864199
"255","17",7,4,"E07_11",0.488969353354114
"256","17",7,4,"F05_11",1.34504520687647
"257","17",7,6,"B08_14",0.994252474450025
"258","17",7,6,"C11_14",1.42491028329699
"259","17",7,6,"E07_14",1.37648207139383
"260","17",7,6,"F05_14",1.27960642068225
"261","17",7,8,"B08_17",1.26896611908517
"262","17",7,8,"C11_17",1.34847532872938
"263","17",7,8,"E07_17",1.31449408348333
"264","17",7,8,"F05_17",1.12532984963048
"265","17",7,10,"B08_20",1.35067804787155
"266","17",7,10,"C11_20",1.40529373513166
"267","17",7,10,"E07_20",1.32312845167366
"268","17",7,10,"F05_20",1.30848013331215
"269","17",7,20,"B08_23",1.42149730477824
"270","17",7,20,"C11_23",1.38882440389991
"271","17",7,20,"E07_23",1.36655596793252
"272","17",7,20,"F05_23",1.35195381100655
"273","17",7,35,"B08_26",1.39245424382194
"274","17",7,35,"C11_26",1.3632089157313
"275","17",7,35,"E07_26",1.35460814967912
"276","17",7,35,"F05_26",1.4020620183089
"277","17",7,50,"B08_29",1.35374426051931
"278","17",7,50,"C11_29",1.28297656395786
"279","17",7,50,"E07_29",1.31661667892701
"280","17",7,50,"F05_29",1.33679456868004
"281","18",8,0.5,"B11_2",0.355262812399584
"282","18",8,0.5,"D02_2",0.298863313100567
"283","18",8,0.5,"E06_2",0.355660667910758
"284","18",8,0.5,"E11_2",0.393568932044328
"285","18",8,1,"B11_5",0.623516975842391
"286","18",8,1,"D02_5",0.578611455978708
"287","18",8,1,"E06_5",0.707954029461894
"288","18",8,1,"E11_5",0.413790987411728
"289","18",8,2,"B11_8",0.81945196663011
"290","18",8,2,"D02_8",0.978986222878193
"291","18",8,2,"E06_8",0.381057882660601
"292","18",8,2,"E11_8",0.570840324965643
"293","18",8,4,"B11_11",0.694247493256584
"294","18",8,4,"D02_11",1.13161759820442
"295","18",8,4,"E06_11",1.0375052967314
"296","18",8,4,"E11_11",1.06861377928516
"297","18",8,6,"B11_14",1.1563103765588
"298","18",8,6,"D02_14",1.16212274141516
"299","18",8,6,"E06_14",1.19523609104757
"300","18",8,6,"E11_14",1.205765648422
"301","18",8,8,"B11_17",1.2650824243827
"302","18",8,8,"D02_17",1.47230272031485
"303","18",8,8,"E06_17",1.31712909251785
"304","18",8,8,"E11_17",1.21124939238887
"305","18",8,10,"B11_20",1.20641195639558
"306","18",8,10,"D02_20",1.62048499272111
"307","18",8,10,"E06_20",1.48205909738701
"308","18",8,10,"E11_20",1.45939660856226
"309","18",8,20,"B11_23",1.39749818518155
"310","18",8,20,"D02_23",1.40669199757224
"311","18",8,20,"E06_23",1.25995933928491
"312","18",8,20,"E11_23",1.19904521542907
"313","18",8,35,"B11_26",1.49164431217515
"314","18",8,35,"D02_26",1.40753948411809
"315","18",8,35,"E06_26",1.4470093691666
"316","18",8,35,"E11_26",1.56679542837999
"317","18",8,50,"B11_29",1.37096535389486
"318","18",8,50,"D02_29",1.41651830488499
"319","18",8,50,"E06_29",1.33756424019947
"320","18",8,50,"E11_29",1.32977733787279
"321","19",9,0.5,"B03_1",0.291297545391533
"322","19",9,0.5,"D04_1",0.415709211694685
"323","19",9,0.5,"D10_1",0.424152592067842
"324","19",9,0.5,"F03_1",0.271036120512874
"325","19",9,1,"B03_4",0.49339610653004
"326","19",9,1,"D04_4",0.824246767046952
"327","19",9,1,"D10_4",0.272273324389079
"328","19",9,1,"F03_4",0.372103549260714
"329","19",9,2,"B03_7",0.771595595608572
"330","19",9,2,"D04_7",1.04659910535271
"331","19",9,2,"D10_7",0.819147195353278
"332","19",9,2,"F03_7",1.02509143757496
"333","19",9,4,"B03_10",0.709357166004413
"334","19",9,4,"D04_10",1.00396939253175
"335","19",9,4,"D10_10",1.14522076939057
"336","19",9,4,"F03_10",1.0651388770457
"337","19",9,6,"B03_13",1.75445392147747
"338","19",9,6,"D04_13",1.21093799222738
"339","19",9,6,"D10_13",1.15872893852576
"340","19",9,6,"F03_13",1.20856960380229
"341","19",9,8,"B03_16",1.21455664506233
"342","19",9,8,"D04_16",1.41285621248855
"343","19",9,8,"D10_16",1.36286721949453
"344","19",9,8,"F03_16",1.3153838070273
"345","19",9,10,"B03_19",1.36178190838935
"346","19",9,10,"D04_19",1.36099547459613
"347","19",9,10,"D10_19",1.31391320412863
"348","19",9,10,"F03_19",1.31453970278456
"349","19",9,20,"B03_22",1.21936395505716
"350","19",9,20,"D04_22",0.791307383526468
"351","19",9,20,"D10_22",1.29956421198095
"352","19",9,20,"F03_22",1.33896974928718
"353","19",9,35,"B03_25",0.366489930043358
"354","19",9,35,"D04_25",1.42490319627235
"355","19",9,35,"D10_25",1.30463186925988
"356","19",9,35,"F03_25",0.617554192087603
"357","19",9,50,"B03_28",1.32158470165659
"358","19",9,50,"D04_28",1.30132462404995
"359","19",9,50,"D10_28",0.666231955901298
"360","19",9,50,"F03_28",1.40582154157194
"361","2",10,0.5,"B10_2",0.471943230851576
"362","2",10,0.5,"C08_2",0.345139106888231
"363","2",10,0.5,"E04_2",0.463789698908476
"364","2",10,0.5,"F09_2",0.379520847911643
"365","2",10,1,"B10_5",0.767687740857357
"366","2",10,1,"C08_5",0.664278340076766
"367","2",10,1,"E04_5",1.61950677117649
"368","2",10,1,"F09_5",0.443603705849776
"369","2",10,2,"B10_8",1.05167982671362
"370","2",10,2,"C08_8",0.972529469123528
"371","2",10,2,"E04_8",0.492893554307691
"372","2",10,2,"F09_8",1.08417558103446
"373","2",10,4,"B10_11",0.773397427236236
