"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,0.935349640224852,1.34074500181682,0.675,0.67089228532623
"2","10",2,1.55642173074268,1.38393273167312,1.05,1.0578487001554
"3","11",3,1.18711135592561,1.45290631594714,0.725,0.744515239107904
"4","14",4,1.12056520103492,1.36260185703551,0.775,0.781852804200262
"5","15",5,1.70234733158022,1.42090327824549,1.1,1.10734217161743
"6","16",6,1.7232170454291,1.43638155943399,1.1,1.10112032259504
"7","17",7,0.69908673910924,1.38412187793732,0.475,0.475037229785751
"8","18",8,1.85719689482165,1.52170202491483,1.075,1.08144751092962
"9","19",9,1.0990463069037,1.28998449745966,0.825,0.843121921092687
"10","2",10,1.06549381366725,1.45241855427704,0.65,0.66860615211775
"11","20",11,2.64860557702362,1.41426495664655,1.725,1.73625186377265
"12","21",12,0.867809281419143,1.40810772179635,0.55,0.57300881138707
"13","22",13,5.51075237886965,1.43283337262319,3.325,3.53563627258241
"14","23",14,1.81285093908181,1.49010149317958,1.1,1.09149005063451
"15","24",15,1.68479430151864,1.62848566758192,0.875,0.883011197506869
"16","25",16,0.920332244489631,1.42996872013049,0.575,0.592419066327912
"17","26",17,1.4137234678848,1.40741258344596,0.925,0.934238123767456
"18","27",18,1.63721612093195,1.41331903255869,1.05,1.07444108561921
"19","28",19,0.718633178699981,1.30293983394962,0.525,0.541678560876948
"20","29",20,0.575530136863271,1.26617675006041,0.45,0.456396895842099
"21","3",21,0.734792325977019,1.37107117114257,0.525,0.507333656018703
"22","30",22,1.04225629684777,1.37096978236029,0.7,0.719710572366863
"23","31",23,1.47614582056903,1.28546118186528,1.1,1.13947056049673
"24","32",24,1.52285280375547,1.5155811933584,0.9,0.892438629004295
"25","33",25,2.13881350649012,1.5702880156927,1.175,1.18553872265152
"26","35",26,0.231889081526453,1.26021110560843,0.175,0.185455335704761
"27","4",27,0.573592206643827,1.26984482202999,0.45,0.452509655282053
"28","5",28,1.17273195481369,1.2757983193609,0.9,0.917478955918791
"29","6",29,0.908476340543601,1.43927791151127,0.575,0.578596077581434
"30","7",30,1.20587304639788,1.34398020124334,0.85,0.861359642643849
"31","8",31,1.37657999159993,1.43020520692355,0.8,0.88586552822556
"32","9",32,1.38850981258573,1.38756998793894,0.925,0.939576720253639
"33","anc2",33,1.01353352788002,1.32478779899778,0.725,0.742138899648498
"34","anc3",34,1.85237843533045,1.23915319490604,1.475,1.52739018466748
"35","anc4",35,1.24814953609366,1.34024732914886,0.9,0.895823303842539
"36","anc5",36,0.909222721695311,1.36577314803602,0.575,0.631895869687894
"37","cc1690",37,1.92684749664828,1.49521324558073,1.15,1.15378455472259
