"","Model","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Lactin 2","1",1,"cf.a",0.0524310712461189,1.00105602086161,6000
"2","Lactin 2","1",1,"cf.b",-1.48801265704487,1.00088027475062,6000
"3","Lactin 2","1",1,"cf.delta_t",2.45396403753625,1.01243382664453,2100
"4","Lactin 2","1",1,"cf.sigma",0.172108070120212,1.00171944888044,2900
"5","Lactin 2","1",1,"cf.tmax",40.4845475165799,1.00115776680996,5300
"6","Lactin 2","1",1,"deviance",-17.9174666604408,1.00154769125314,3300
"7","Lactin 2","10",2,"cf.a",0.0508383660134292,1.00057227627918,6000
"8","Lactin 2","10",2,"cf.b",-1.24024664922188,1.00067189646784,6000
"9","Lactin 2","10",2,"cf.delta_t",3.05381413090746,1.00101519082179,6000
"10","Lactin 2","10",2,"cf.sigma",0.232946850575499,1.00108884534659,5900
"11","Lactin 2","10",2,"cf.tmax",40.6389462871096,1.00078795507481,6000
"12","Lactin 2","10",2,"deviance",-3.43358453688508,1.00108454501534,6000
"13","Lactin 2","11",3,"cf.a",0.0541860836751362,1.00134987984136,4100
"14","Lactin 2","11",3,"cf.b",-1.39331988321188,1.0008839618008,6000
"15","Lactin 2","11",3,"cf.delta_t",2.91378337993561,1.00107979743713,6000
"16","Lactin 2","11",3,"cf.sigma",0.213558653152232,1.00135344782455,4100
"17","Lactin 2","11",3,"cf.tmax",40.5513036981808,1.00123892672076,4700
"18","Lactin 2","11",3,"deviance",-7.49425339793097,1.00076006250928,6000
"19","Lactin 2","14",4,"cf.a",0.0608775032672533,1.00084375633211,6000
"20","Lactin 2","14",4,"cf.b",-1.535783854314,1.00141025067798,3800
"21","Lactin 2","14",4,"cf.delta_t",3.78979504373156,1.00083265610223,6000
"22","Lactin 2","14",4,"cf.sigma",0.1948284576393,1.00114291219685,5400
"23","Lactin 2","14",4,"cf.tmax",40.5439990198343,1.00091873186034,6000
"24","Lactin 2","14",4,"deviance",-12.1330662375768,1.00103366452978,6000
"25","Lactin 2","15",5,"cf.a",0.0599774584301262,1.00117254792549,5200
"26","Lactin 2","15",5,"cf.b",-1.53932734281645,1.00076689720278,6000
"27","Lactin 2","15",5,"cf.delta_t",4.17828338000835,1.0014496890422,3700
"28","Lactin 2","15",5,"cf.sigma",0.321019145074771,1.00097277390451,6000
"29","Lactin 2","15",5,"cf.tmax",40.6875006885146,1.00100457438927,6000
"30","Lactin 2","15",5,"deviance",12.041696593626,1.00066783796377,6000
"31","Lactin 2","16",6,"cf.a",0.0639134677740982,1.0017067646971,2900
"32","Lactin 2","16",6,"cf.b",-1.46538739923742,1.00142901496651,3800
"33","Lactin 2","16",6,"cf.delta_t",5.20632426687479,1.00181734547972,2700
"34","Lactin 2","16",6,"cf.sigma",0.290695102518791,1.00102065163876,6000
"35","Lactin 2","16",6,"cf.tmax",40.894260241862,1.00160771034985,3200
"36","Lactin 2","16",6,"deviance",7.16639893390505,1.0008241594307,6000
"37","Lactin 2","17",7,"cf.a",0.0584389894571103,1.00086192183816,6000
"38","Lactin 2","17",7,"cf.b",-1.5211055180046,1.000924876274,6000
"39","Lactin 2","17",7,"cf.delta_t",1.34050292730867,1.00100674725296,6000
"40","Lactin 2","17",7,"cf.sigma",0.389991594053789,1.0006364832331,6000
"41","Lactin 2","17",7,"cf.tmax",40.1957483287364,1.00109842108047,5800
"42","Lactin 2","17",7,"deviance",21.2057891225691,1.00110513147865,5800
"43","Lactin 2","18",8,"cf.a",0.0557692708720457,1.00080537753504,6000
"44","Lactin 2","18",8,"cf.b",-1.39912037043113,1.00070514037707,6000
"45","Lactin 2","18",8,"cf.delta_t",3.99987175415926,1.0008057362683,6000
"46","Lactin 2","18",8,"cf.sigma",0.121512776703748,1.00092037969242,6000
"47","Lactin 2","18",8,"cf.tmax",40.6241253738833,1.00089065401479,6000
"48","Lactin 2","18",8,"deviance",-34.8173655391722,1.00092512267198,6000
"49","Lactin 2","19",9,"cf.a",0.0564589722384244,1.0011120580357,5700
"50","Lactin 2","19",9,"cf.b",-1.39785926779135,1.00124641044824,4700
"51","Lactin 2","19",9,"cf.delta_t",3.5728712553167,1.00114845968231,5400
"52","Lactin 2","19",9,"cf.sigma",0.364074036291219,1.00086826309148,6000
"53","Lactin 2","19",9,"cf.tmax",40.6649202957555,1.0009101956318,6000
"54","Lactin 2","19",9,"deviance",17.8195521742012,1.0008841110727,6000
"55","Lactin 2","2",10,"cf.a",0.0586313143453393,1.0009419884297,6000
"56","Lactin 2","2",10,"cf.b",-1.53239559603337,1.00087139549042,6000
"57","Lactin 2","2",10,"cf.delta_t",4.08793517596048,1.00135662623899,6000
"58","Lactin 2","2",10,"cf.sigma",0.434077123391235,1.00185450342805,2600
"59","Lactin 2","2",10,"cf.tmax",40.8950605218357,1.00076036235197,6000
"60","Lactin 2","2",10,"deviance",26.4057313770143,1.00200051139306,2300
"61","Lactin 2","20",11,"cf.a",0.0520257313251068,1.0008324257072,6000
"62","Lactin 2","20",11,"cf.b",-1.4682861257508,1.00088081667138,6000
"63","Lactin 2","20",11,"cf.delta_t",2.3592597203231,1.00145399430265,3700
"64","Lactin 2","20",11,"cf.sigma",0.320778219924317,1.0010597821099,6000
"65","Lactin 2","20",11,"cf.tmax",40.4851205243746,1.00143981890153,3700
"66","Lactin 2","20",11,"deviance",12.0313127334886,1.00132957132962,4200
"67","Lactin 2","21",12,"cf.a",0.062987743636625,1.0006623095844,6000
"68","Lactin 2","21",12,"cf.b",-1.4819946201752,1.00082025909514,6000
"69","Lactin 2","21",12,"cf.delta_t",3.81205184901362,1.00079422561122,6000
"70","Lactin 2","21",12,"cf.sigma",0.228762118927828,1.00070879898425,6000
