"","Pop.fac","Pop.num","Model","T.min","T.max","T.br","T.opt","r.max","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","1",1,"Lactin 2",7.58042534618012,39.9134275342018,15.2383834659269,34.709542947614,3.8889862083883,7.6,39.9,15.25,34.75,3.87513355437313
"2","10",2,"Lactin 2",4.23602532891307,39.9986293713737,17.0505496755006,33.9051382701608,3.4946797596498,4.25,39.95,17.1,34,3.47061600832215
"3","11",3,"Lactin 2",6.1221804320386,39.9482700073983,16.1302712747771,34.164408567802,3.96899084187022,6.15,39.9,16.15,34.2,3.95106937107436
"4","14",4,"Lactin 2",7.0659933846137,39.8240405653409,16.5402572951449,33.3190777793263,4.31216367730229,7.1,39.8,16.5,33.35,4.30090224556036
"5","15",5,"Lactin 2",7.2331637012724,39.8392895942201,16.9869400091122,32.971632281751,3.87510003422301,7.3,39.8,16.95,33.05,3.83705064694256
"6","16",6,"Lactin 2",6.16226725335757,39.9494643252639,18.082742389329,32.3085402619991,3.79578595317269,6.25,39.9,18,32.35,3.77148934462998
"7","17",7,"Lactin 2",7.17734271910181,39.9641739790269,12.9838818553972,36.4916847384063,6.25426343368354,7.2,39.95,13.3,36.6,6.13678478161586
"8","18",8,"Lactin 2",6.04373675845716,39.77386042685,17.3662229758596,32.9003104458925,3.46759725942877,6.05,39.75,17.3,32.9,3.46254763744559
"9","19",9,"Lactin 2",5.94005013165971,39.9560828239008,16.887201453509,33.4998760627932,3.89348243501349,6,39.95,16.9,33.6,3.84492901970443
"10","2",10,"Lactin 2",7.31302671147437,40.0436049371605,17.0066409310627,33.2148729361553,3.79793979506398,7.4,40,17,33.35,3.74267193589848
"11","20",11,"Lactin 2",7.38289059808354,39.9388359259911,15.1796043740756,34.8437431114497,3.90702586011016,7.4,39.9,15.35,34.95,3.84619868499154
"12","21",12,"Lactin 2",6.26264470942196,39.8842136129145,16.6420977996742,33.3695647971497,4.73501267290457,6.3,39.85,16.6,33.4,4.71771177762017
"13","22",13,"Lactin 2",8.45605203649277,40.0066843813335,16.0134355758175,33.8016409285453,4.09655849187797,8.5,40,16,33.9,4.06812818056523
"14","23",14,"Lactin 2",7.2664317211172,39.9815258442339,17.3500256405414,32.7091293898635,4.28461828585684,7.35,39.95,17.3,32.75,4.24380360024719
"15","24",15,"Lactin 2",5.27965913870821,39.9827061130863,16.4410490847069,34.1287598684449,3.83854621111267,5.3,39.95,16.5,34.25,3.79841849490997
"16","25",16,"Lactin 2",7.87602018785441,40.0513729412916,17.3459906972237,32.714043597129,4.00395062776844,7.95,40,17.3,32.75,3.97366297941459
"17","26",17,"Lactin 2",6.47147423887277,40.0527843410877,17.0318428039019,33.390933115736,3.80910501936981,6.5,40.05,17,33.4,3.79817012263824
"18","27",18,"Lactin 2",5.34603260504015,39.9919938978447,18.6933011157654,32.2295071287393,2.835741585759,5.4,39.95,18.65,32.3,2.81262033478253
"19","28",19,"Lactin 2",7.93701472122537,39.9817662765354,15.2686622712392,34.3946806543737,5.00448466407336,7.95,39.95,15.4,34.55,4.92307762440175
"20","29",20,"Lactin 2",6.85166212610805,39.8399262092013,16.897958711025,33.1671923427644,3.7901521906585,6.9,39.8,16.85,33.25,3.761319975546
"21","3",21,"Lactin 2",7.28293584012396,39.883109465249,17.4175742653452,32.5903440010725,3.89749374216174,7.35,39.85,17.35,32.65,3.85633434009311
"22","30",22,"Lactin 2",5.53791998345654,39.9838407995622,18.3054517522745,32.2922377945016,3.74289752998825,5.6,39.95,18.25,32.3,3.72069654898905
"23","31",23,"Lactin 2",6.80844731368509,39.9598923628728,16.991170454538,33.1609831806883,4.11677029978516,6.9,39.95,16.95,33.3,4.05032747060729
"24","32",24,"Lactin 2",7.53831372505203,39.9307477523136,16.2589629375038,33.7353032485605,3.84937770688283,7.55,39.9,16.25,33.8,3.83350557694373
"25","33",25,"Lactin 2",5.31766311303002,39.9689341137901,16.8770586461967,33.7148939082941,3.72037041766812,5.35,39.95,16.85,33.75,3.71129832528736
"26","35",26,"Lactin 2",4.12816293351873,39.9106558491358,15.3859963630506,35.0919507460768,4.48625303866546,4.15,39.9,15.7,35.25,4.39926910516734
"27","4",27,"Lactin 2",9.30569108434298,40.0337564254881,14.8561936532591,34.8653406592078,3.8016860805254,9.35,40,15.05,35.05,3.72568275277934
"28","5",28,"Lactin 2",7.02639355524104,39.955736613148,15.8331353362259,34.3133524034642,3.82485985090887,7.05,39.95,16.05,34.5,3.75474579303687
"29","6",29,"Lactin 2",8.24617572961744,39.8864529581191,14.7527053170384,34.9215903328414,4.18000568389292,8.25,39.85,14.8,35,4.14352292714688
"30","7",30,"Lactin 2",9.20358680679596,39.9216346389871,15.4666533336476,34.092722572543,3.93227515634884,9.25,39.9,15.45,34.15,3.91095510960004
"31","8",31,"Lactin 2",8.18985156002143,39.8883596882538,15.1835451917444,34.6009796590145,3.84623727346584,8.2,39.85,15.15,34.65,3.83429267316295
"32","9",32,"Lactin 2",4.91098077232307,39.8186571219274,18.5235418523171,32.028864687638,3.66586922918809,4.95,39.8,18.45,32.05,3.64980836345873
"33","anc2",33,"Lactin 2",7.0522221718326,39.9496541096984,17.4611073392553,32.6772206335407,3.94698830682528,7.15,39.9,17.4,32.75,3.90161688118088
"34","anc3",34,"Lactin 2",7.20208730947461,40.0946628091912,16.2615306149491,34.0479699612773,3.75591464327756,7.25,40.05,16.25,34.1,3.73850913542097
"35","anc4",35,"Lactin 2",6.1841370829103,39.8045102945892,17.4548359932401,32.7649005730602,3.66361759672232,6.25,39.8,17.4,32.8,3.63872376899146
