"","Pop.fac","Pop.num","r.max","c.mod","c.pred"
"1","1",1,1.48855897803162,3.24655626225251,3.815
"2","10",2,1.55118255385155,3.67656151297771,3.785
"3","11",3,1.10210393992995,4.13593597925878,4.005
"4","14",4,2.02384622597987,5.01854209318464,3.525
"5","15",5,1.76712575384548,5.99951612424202,3.675
"6","16",6,1.52392572297098,4.46601263287007,3.8
"7","17",7,1.27486536284239,4.86162387838372,3.92
"8","18",8,2.34501538590153,3.78768472904725,3.29
"9","19",9,1.23811677894993,3.91137676000735,3.94
"10","2",10,1.89314995341106,6.1392382277185,3.605
"11","20",11,1.2907080900462,4.05080283450614,3.91
"12","21",12,1.91463963200343,3.46996840208886,3.59
"13","22",13,1.3384009692163,3.9532491609834,3.89
"14","23",14,1.82877725088614,3.93700892780485,3.64
"15","24",15,2.19189890891676,2.94550160242839,3.41
"16","25",16,1.34124553580179,7.06481780714347,3.89
"17","26",17,1.47540209041666,3.95782615358381,3.825
"18","27",18,1.24190847638462,4.05780716197913,3.935
"19","28",19,1.49841897758106,4.07875528528176,3.81
"20","29",20,1.52525108148773,3.9948733123614,3.8
"21","3",21,1.25635441789533,3.96122105809353,3.93
"22","30",22,1.40294743619051,4.14902595188238,3.86
"23","31",23,1.39504629253364,3.98224080293353,3.86
"24","32",24,1.26972697415156,6.82926418451829,3.92
"25","33",25,1.34251025542549,3.90513493837106,3.885
"26","35",26,1.54630267390159,6.23300556932529,3.79
"27","4",27,1.83529517153662,4.11107705617963,3.64
"28","5",28,2.53116048044675,2.65904145197931,3.11
"29","6",29,1.43131796150926,6.13173792373333,3.845
"30","7",30,0.931140049809857,5.21649008034808,4.105
"31","8",31,1.74533787035465,3.76666361975673,3.685
"32","9",32,2.31037417720711,3.85274789213667,3.315
"33","Anc 2",33,1.37403781467259,4.18795011917861,3.87
"34","Anc 3",34,1.59062149692048,3.88023096576919,3.765
"35","Anc 4",35,1.66860792597869,3.68961747002363,3.725
"36","Anc 5",36,1.57447189232823,3.99536264804558,3.775
"37","cc1690",37,1.60963366971105,3.70657847170345,3.755
