"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Salt stress","1",1,"a",1.48855897803162,1.00154561643247,3300
"2","Salt stress","1",1,"b",3.98583020850873,1.00132400168176,4200
"3","Salt stress","1",1,"c",3.24655626225251,1.00141978541743,4200
"4","Salt stress","1",1,"deviance",7.98940631798727,1.0016480451222,3000
"5","Salt stress","10",2,"a",1.55118255385155,1.00065179722319,6000
"6","Salt stress","10",2,"b",2.34348531761498,1.00089175931747,6000
"7","Salt stress","10",2,"c",3.67656151297771,1.00336926042025,6000
"8","Salt stress","10",2,"deviance",-4.90092517970353,1.00092509873432,6000
"9","Salt stress","11",3,"a",1.10210393992995,1.00102209459332,6000
"10","Salt stress","11",3,"b",4.62212073618524,1.0015051244361,3500
"11","Salt stress","11",3,"c",4.13593597925878,1.00828395355376,4200
"12","Salt stress","11",3,"deviance",-5.44020816296453,1.00094007699754,6000
"13","Salt stress","14",4,"a",2.02384622597987,1.00167922953225,3000
"14","Salt stress","14",4,"b",0.361955363690742,1.00301366396726,1900
"15","Salt stress","14",4,"c",5.01854209318464,1.00165212535098,3000
"16","Salt stress","14",4,"deviance",-2.4785399170714,1.0011670604428,5200
"17","Salt stress","15",5,"a",1.76712575384548,1.00215424457929,2100
"18","Salt stress","15",5,"b",0.385532605982781,1.00418825990728,1300
"19","Salt stress","15",5,"c",5.99951612424202,1.00100169629412,6000
"20","Salt stress","15",5,"deviance",-7.25675381361238,1.00149957854039,3500
"21","Salt stress","16",6,"a",1.52392572297098,1.00092172245383,6000
"22","Salt stress","16",6,"b",2.01235219316854,1.00094586413167,6000
"23","Salt stress","16",6,"c",4.46601263287007,1.00075385723399,6000
"24","Salt stress","16",6,"deviance",4.87903935409283,1.00115080735322,5400
"25","Salt stress","17",7,"a",1.27486536284239,1.00067763506141,6000
"26","Salt stress","17",7,"b",4.97901851563115,1.00100951001605,6000
"27","Salt stress","17",7,"c",4.86162387838372,1.00218008777781,6000
"28","Salt stress","17",7,"deviance",5.17324593704392,1.00094080292367,6000
"29","Salt stress","18",8,"a",2.34501538590153,1.00111566098999,5700
"30","Salt stress","18",8,"b",0.292245977737937,1.00273320013948,3900
"31","Salt stress","18",8,"c",3.78768472904725,1.00069081331881,6000
"32","Salt stress","18",8,"deviance",-6.55483204965966,1.00128742305948,4400
"33","Salt stress","19",9,"a",1.23811677894993,1.00056269655063,6000
"34","Salt stress","19",9,"b",2.52107020257333,1.00081134040018,6000
"35","Salt stress","19",9,"c",3.91137676000735,1.01081700274185,6000
"36","Salt stress","19",9,"deviance",-10.7027128425361,1.00119284624963,5000
"37","Salt stress","2",10,"a",1.89314995341106,1.00124633855836,4700
"38","Salt stress","2",10,"b",0.296398943021108,1.00311353705193,3400
"39","Salt stress","2",10,"c",6.1392382277185,1.00146381436086,5400
"40","Salt stress","2",10,"deviance",-14.7572807837364,1.00176993067769,2900
"41","Salt stress","20",11,"a",1.2907080900462,1.00130117476707,6000
"42","Salt stress","20",11,"b",2.80984965373947,1.00118169493325,5100
"43","Salt stress","20",11,"c",4.05080283450614,1.0126421288815,4700
"44","Salt stress","20",11,"deviance",-7.96294509977743,1.00067908273074,6000
"45","Salt stress","21",12,"a",1.91463963200343,1.00066640052325,6000
"46","Salt stress","21",12,"b",2.46813258514521,1.00089244565116,6000
"47","Salt stress","21",12,"c",3.46996840208886,1.00333367287045,6000
"48","Salt stress","21",12,"deviance",0.163208826819626,1.00154505798096,3300
"49","Salt stress","22",13,"a",1.3384009692163,1.0014802316177,6000
"50","Salt stress","22",13,"b",2.63953125623109,1.00068315141305,6000
"51","Salt stress","22",13,"c",3.9532491609834,1.01804956254549,4400
"52","Salt stress","22",13,"deviance",-11.9804029493735,1.00062708324858,6000
"53","Salt stress","23",14,"a",1.82877725088614,1.00088399911631,6000
"54","Salt stress","23",14,"b",1.00032164912199,1.0008148452936,6000
"55","Salt stress","23",14,"c",3.93700892780485,1.00226309915518,6000
"56","Salt stress","23",14,"deviance",-3.91876365228273,1.00069454848398,6000
"57","Salt stress","24",15,"a",2.19189890891676,1.00078469108731,6000
"58","Salt stress","24",15,"b",1.86776985893192,1.00089809380371,6000
"59","Salt stress","24",15,"c",2.94550160242839,1.00117556731439,6000
"60","Salt stress","24",15,"deviance",-5.00249730165297,1.00130875535115,4300
"61","Salt stress","25",16,"a",1.34124553580179,1.00132340070323,4200
"62","Salt stress","25",16,"b",3.48045323601199,1.00052439617161,6000
