iteration,phosphate_concentration,population,well_plate,term,estimate,std.error,statistic,p.value,number_of_points
1,0.5,16,E11_3,days,0.5300591437201367,0.032853755,16.133898140853056,0.039408109,3
1,0.5,22,B05_2,days,1.160857431807557,0.30119280333434806,3.8542004289488703,0.16161200812376014,3
1,0.5,22,D03_2,days,-0.030764048,0.9029184213159155,-0.034071791,0.9783176116513217,3
1,0.5,22,E10_2,days,1.0772616544274405,0.5480482053936377,1.965633029769148,0.299603893,3
1,0.5,23,E05_1,days,0.3493410064480523,0.34228422346793685,1.020616734562341,0.4935046734951747,3
1,0.5,30,E03_3,days,0.3340300457781583,0.47285152807922065,0.70641634,0.6084665757415014,3
1,0.5,32,D07_1,days,0.4188121581327271,0.058236890837864506,7.191526747,0.087959568,3
1,0.5,32,F07_1,days,0.46408055464504266,0.320385492,1.4485067734348296,0.3846653808785289,3
1,0.5,6,F04_1,days,0.8106962158956863,0.10874851694354362,7.454779510386851,0.084890775,3
1,0.5,anc5,F05_1,days,0.8915110867865876,0.060016541,14.85442292114466,0.042792686,3
1,1,1,F11_4,days,0.8719038588784171,0.3066094255957545,2.843695549098899,0.21527203449040058,3
1,1,11,G02_4,days,0.9938231930224563,0.13399622709860884,7.416799819976231,0.085320307,3
1,1,14,D06_4,days,0.8178541331363168,0.21531693077577735,3.798373542617502,0.16388445355233405,3
1,1,19,D04_4,days,0.8329405128924647,0.10844051075971253,7.681082531399475,0.082417957,3
1,1,2,E04_5,days,1.613022158819968,0.5473739994096568,2.946837373641447,0.20827202166237443,3
1,1,22,B05_5,days,-0.071338895,0.36057643771138964,-0.197846802,0.8756526740565059,3
1,1,22,F06_5,days,0.4667172798471486,0.8314640424787006,0.5613198599133701,0.6743737470696329,3
1,1,23,B06_4,days,0.5196515238860857,0.45937639303404104,1.1312107713109631,0.4608550817759835,3
1,1,24,E06_4,days,0.8334276702791784,0.077967964,10.68936050456768,0.059383559725409076,3
1,1,27,C07_5,days,0.65146382,0.054613234,11.928680499251287,0.053244338,3
1,1,32,D07_4,days,0.567368372,0.2768767480540226,2.0491730568183404,0.28902728934548205,3
1,1,32,D08_4,days,0.6816817394517481,0.16519616303248694,4.126498624,0.15135811515042574,3
1,1,4,F03_5,days,1.3116106515182118,0.3660845374400071,3.5828081150058266,0.17327761695689767,3
1,1,6,F04_4,days,1.0906473072978282,0.2790895180094548,3.9078762795415343,0.15948453103137092,3
1,1,9,E08_5,days,0.8234690449007231,0.15751634259130992,5.2278324353764765,0.12032163842910326,3
1,2,1,F11_7,days,0.9374874437043612,0.4818655653361473,1.9455373264748108,0.3022557760379502,3
1,2,anc5,C11_7,days,2.4955071791236145,0.34745878500579563,7.182167459,0.088072734,3
1,6,22,E10_14,days,0.4694819240239865,0.42821716497092654,1.0963640938024088,0.47075692450445894,3
1,6,26,B09_14,days,2.160632803192324,0.514770607,4.197273067754809,0.14889872192254563,3
1,50,24,E06_28,days,1.5731416300319987,0.003308003,475.55627358237774,0.001338682,3
2,0.5,1,E02_1,days,0.5058749357980123,0.19661036518780844,2.5729820262262604,0.12365086623940864,4
2,0.5,10,F08_3,days,0.3230927189317216,0.1274924432586195,2.5342107396618423,0.1267686253265728,4
2,0.5,14,D09_1,days,0.5542830632308917,0.18407262272331926,3.011219458007279,0.094853725,4
2,0.5,14,F08_1,days,0.45227840326404856,0.10261288902378701,4.407617869127576,0.047812919233976896,4
2,0.5,17,B08_2,days,0.8142518530268805,0.1797797217878267,4.529164051037125,0.045451033301187514,4
2,0.5,19,D10_1,days,0.5096736990906853,0.13974080428459157,3.647278986978638,0.067635462,4
2,0.5,19,F03_1,days,0.39233384307351016,0.22890974976430953,1.713923690351615,0.22867676536090228,4
2,0.5,2,E04_2,days,0.5125923511710815,0.071379733,7.181202980770093,0.018844841294660877,4
2,0.5,24,B11_1,days,0.4009265688389239,0.23487735793235803,1.7069613366239675,0.22995055180788587,4
2,0.5,24,D02_1,days,0.5279132803444793,0.1821066115863928,2.898924293553357,0.10124427832046998,4
2,0.5,24,E06_1,days,0.41860073833526956,0.23360715859288103,1.7919003032984369,0.2150225256369124,4
2,0.5,24,E11_1,days,0.5326755760438051,0.13352906225392516,3.9892107909126486,0.057474538,4
2,0.5,26,B09_2,days,0.4090592017243471,0.34300479410711715,1.1925757562344794,0.35533968015964357,4
2,0.5,27,B07_2,days,0.27107150071755126,0.18947413658428128,1.4306517269546923,0.28881929552225605,4
2,0.5,27,G02_2,days,0.061420659580008044,0.021203281,2.8967526357218136,0.10137382613620777,4
2,0.5,28,C05_2,days,0.817787372,0.321731064,2.5418352873101617,0.12614688218898268,4
2,0.5,33,E08_1,days,0.40135406269716084,0.097099603,4.133426384432636,0.053846296,4
2,0.5,35,D07_2,days,0.9371359565917261,0.24266872402112993,3.8617912562565198,0.060984139,4
2,0.5,35,D08_2,days,1.214762986208924,0.15874885591300814,7.652105454382581,0.016652645,4
2,0.5,9,C03_2,days,0.047556091447183896,0.1806274933127165,0.2632826851272915,0.8169757210022945,4
2,1,10,D05_6,days,0.6298636696340056,0.10628837252865991,5.925988465616663,0.027314630833294107,4
2,1,10,D11_6,days,0.6530021808247111,0.17423284806781553,3.7478706688565824,0.064391911,4
2,1,16,E11_6,days,0.5491271247243088,0.12621431586981974,4.3507515050090735,0.048980024676118075,4
2,1,17,F05_5,days,0.9202335800095031,0.29128436883190656,3.1592274714217448,0.087276,4
2,1,19,B03_4,days,0.5941462371842589,0.14839581033167185,4.0037938797349675,0.057091725484883886,4
2,1,20,E09_6,days,0.2384089161296436,0.2154897375345747,1.1063585619310135,0.38383586850730966,4
