ancestor_id,treatment,population,term,estimate,std.error,statistic,p.value
anc2,B,19,umax,1.908549033,0.029452813,64.80022943,9.85E-136
anc2,B,19,ks,40.01451244,4.052511832,9.874002617,5.74E-19
anc2,BS,25,umax,1.834159513,0.031105776,58.96523925,4.04E-127
anc2,BS,25,ks,20.83531495,2.391034713,8.713932441,1.20E-15
anc2,L,10,umax,1.852788625,0.041331522,44.82749547,1.19E-102
anc2,L,10,ks,36.10867219,5.461374224,6.611645844,3.78E-10
anc2,N,1,umax,1.838531079,0.029647291,62.01345877,1.46E-132
anc2,N,1,ks,31.9466822,3.257085404,9.808364913,8.60E-19
anc2,none,anc2,umax,1.893200356,0.034484877,54.89943847,3.40E-115
anc2,none,anc2,ks,24.09668015,3.184310233,7.56731549,1.83E-12
anc2,P,17,umax,1.697348006,0.032802043,51.74519183,8.48E-111
anc2,P,17,ks,5.952263991,1.221214925,4.874051134,2.37E-06
anc2,S,14,umax,1.761817832,0.032803418,53.70836214,3.28E-117
anc2,S,14,ks,33.08672229,4.22194501,7.836843496,3.14E-13
anc3,B,7,umax,1.901380985,0.039713428,47.87753333,1.29E-107
anc3,B,7,ks,43.18476055,6.060131738,7.126043197,2.12E-11
anc3,BS,2,umax,2.159817388,0.032067222,67.35280719,1.39E-132
anc3,BS,2,ks,39.77975841,3.840641732,10.35758115,3.88E-20
anc3,L,26,umax,1.993995313,0.031616283,63.06861927,4.37E-126
anc3,L,26,ks,29.39247296,3.406811106,8.627561683,2.97E-15
anc3,N,27,umax,2.059038031,0.048094983,42.81190857,3.00E-98
anc3,N,27,ks,35.17390605,5.575894683,6.308208466,2.01E-09
anc3,none,anc3,umax,1.824918848,0.036990621,49.33463642,1.59E-109
anc3,none,anc3,ks,24.751526,3.455652367,7.162620361,1.74E-11
anc3,P,29,umax,1.668063864,0.031174565,53.50720611,1.67E-114
anc3,P,29,ks,14.51219722,2.124964635,6.829382934,1.19E-10
anc3,S,4,umax,2.146319903,0.03354167,63.98965548,1.29E-128
anc3,S,4,ks,36.93664784,4.043593314,9.13460998,1.12E-16
anc4,B,21,umax,1.850270859,0.042267446,43.77531719,1.48E-99
anc4,B,21,ks,19.75172267,3.131510623,6.3074104,2.04E-09
anc4,BS,35,umax,1.666629324,0.029843431,55.84576725,5.30E-119
anc4,BS,35,ks,18.44326828,2.219815564,8.308468765,1.89E-14
anc4,C,24,umax,1.996229961,0.04450855,44.85048303,1.20E-106
anc4,C,24,ks,50.99635662,7.205109554,7.077804471,2.39E-11
anc4,L,20,umax,1.855268376,0.046572706,39.83595812,3.55E-94
anc4,L,20,ks,28.84915266,4.684548601,6.158363403,4.29E-09
anc4,N,11,umax,1.918112993,0.035646031,53.81000215,9.63E-116
anc4,N,11,ks,27.09481095,3.334618191,8.125311325,5.93E-14
anc4,none,anc4,umax,1.845854683,0.031972518,57.73253939,3.87E-124
anc4,none,anc4,ks,33.28252799,3.664002973,9.083652017,1.22E-16
anc4,P,8,umax,1.778139863,0.026672927,66.66459347,1.67E-139
anc4,P,8,ks,30.08492083,2.839976391,10.59337005,3.88E-21
anc4,S,15,umax,1.714429072,0.0307982,55.6665356,9.37E-119
anc4,S,15,ks,19.0988129,2.479766009,7.701860917,7.45E-13
anc5,B,16,umax,1.813636571,0.048462642,37.42339427,1.46E-86
anc5,B,16,ks,26.16950526,4.373665394,5.983426463,1.16E-08
anc5,C,5,umax,1.980124833,0.037036587,53.46401982,7.72E-119
anc5,C,5,ks,48.3021853,5.987483034,8.067193682,7.05E-14
anc5,L,23,umax,1.949637972,0.036328234,53.66729225,9.94E-115
anc5,L,23,ks,23.25154363,3.051902881,7.618703652,1.29E-12
anc5,N,30,umax,1.84961969,0.031256961,59.17464962,2.34E-124
anc5,N,30,ks,27.96345237,3.002792882,9.312481238,3.14E-17
anc5,none,anc5,umax,1.836114432,0.033656758,54.55410783,1.21E-119
anc5,none,anc5,ks,30.43538554,3.604390189,8.443976358,7.10E-15
anc5,P,28,umax,1.877459362,0.044780202,41.92610255,8.15E-95
anc5,P,28,ks,19.64988867,3.021785069,6.502741996,7.53E-10
anc5,S,18,umax,1.928893707,0.029161174,66.14595515,1.03E-129
anc5,S,18,ks,28.12968768,2.940564852,9.566083081,7.77E-18
cc1690,B,31,umax,2.070787838,0.03844534,53.86316903,1.55E-112
cc1690,B,31,ks,44.05262756,6.066984761,7.261041405,1.13E-11
cc1690,BS,9,umax,2.170249776,0.031804947,68.2362335,1.42E-130
cc1690,BS,9,ks,46.75308996,5.011060263,9.329979585,3.92E-17
cc1690,C,22,umax,2.03501101,0.031247592,65.12537157,1.34E-125
cc1690,C,22,ks,32.67871038,3.513629852,9.300555767,5.26E-17
cc1690,L,33,umax,1.783905982,0.043838592,40.69259299,1.53E-94
cc1690,L,33,ks,30.3890895,4.930825269,6.163083834,4.32E-09
cc1690,N,3,umax,1.808812064,0.029026214,62.31650097,1.43E-126
cc1690,N,3,ks,22.89202965,2.561016129,8.938651105,3.88E-16
cc1690,none,cc1690,umax,1.87396521,0.030735218,60.97126776,1.34E-122
cc1690,none,cc1690,ks,28.40623865,3.129662256,9.076455008,1.89E-16
cc1690,P,6,umax,1.822903624,0.042828373,42.56299056,5.70E-101
cc1690,P,6,ks,26.9886559,3.798980591,7.104183676,2.19E-11
cc1690,S,32,umax,1.714453256,0.032522492,52.71592454,5.59E-113
cc1690,S,32,ks,18.63375824,2.559705797,7.279648415,9.42E-12
