light,population,well_plate,term,estimate,std.error,statistic,p.value,conf.low,conf.high,ancestor_id,treatment,note
0.25,1,B09_1,days,-0.011121371,0.12974495003346206,-0.085717181,0.9370915111061453,-0.424027708,0.4017849655018229,anc2,N,NA
0.25,1,C06_1,days,-0.071952382,0.10637232312118047,-0.676420144,0.5472559450726299,-0.410476589,0.2665718245527563,anc2,N,NA
0.25,1,E02_1,days,-0.029885981,0.054623313,-0.547128688,0.6223633156159014,-0.203721741,0.14394977833294675,anc2,N,NA
0.25,1,F11_1,days,0.2782310924082017,0.16474904844477833,1.6888175988552736,0.18983700249090962,-0.246073908,0.8025360929302932,anc2,N,NA
0.25,10,C02_3,days,0.012312624883736566,0.061414509,0.20048397343570065,0.8539238807500047,-0.183135754,0.2077610036149117,anc2,L,NA
0.25,10,D05_3,days,-0.337329741,0.12236924899037242,-2.756654505,0.070348996,-0.726763306,0.052103823,anc2,L,NA
0.25,10,D11_3,days,0.022440533,0.1082542191950428,0.2072947642379589,0.8490531665570817,-0.322072707,0.3669537727544373,anc2,L,NA
0.25,10,F08_3,days,0.015945148,0.28628442133873816,0.055696877281648044,0.9590851346970826,-0.895139651,0.9270299472327028,anc2,L,NA
0.25,11,B07_1,days,0.075937126,0.146774029,0.5173744043520264,0.6406238360992369,-0.391163341,0.5430375922822096,anc4,N,NA
0.25,11,C07_1,days,0.131598472,0.15818881528280412,0.8319075660270424,0.46648973440950703,-0.371828938,0.6350258830285859,anc4,N,NA
0.25,11,D11_1,days,-0.031804339,0.1725251582582416,-0.184346092,0.8654992922275471,-0.580856391,0.5172477136910072,anc4,N,NA
0.25,11,G02_1,days,0.087065085,0.24313336559575868,0.3580959983821534,0.7439857577669351,-0.686693796,0.8608239663244415,anc4,N,NA
0.25,14,B04_1,days,-0.236829296,0.083565552,-2.834054125,0.065968822,-0.502772177,0.029113584762664596,anc2,S,NA
0.25,14,D06_1,days,0.31187571846530426,0.060407448,5.162868646789874,0.014094351491632514,0.119632259,0.5041191776427395,anc2,S,NA
0.25,14,D09_1,days,0.11845327169996209,0.1082539088412884,1.094217039992773,0.3538483554730817,-0.226058981,0.46296552392443957,anc2,S,NA
0.25,14,F08_1,days,0.093839508,0.12643138101574214,0.7422169056513217,0.5117851488539813,-0.308521573,0.49620058978019266,anc2,S,NA
0.25,15,B02_3,days,0.006337674,0.1566306124098712,0.040462549,0.9702665867219451,-0.49213084,0.5048061875380293,anc4,S,NA
0.25,15,C11_3,days,-0.068771408,0.054527045,-1.261234839,0.29638068208278395,-0.2423008,0.1047579832037279,anc4,S,NA
0.25,15,E07_3,days,-0.10810893,0.1302975588587519,-0.829708027,0.4675583317579586,-0.522773915,0.3065560542986212,anc4,S,NA
0.25,15,F02_3,days,0.21875957250551115,0.0864406,2.5307502820686296,0.085367975,-0.056332995,0.49385214019122636,anc4,S,NA
0.25,16,B05_3,days,-0.197032197,0.16112816351010095,-1.22282904,0.3086945901923451,-0.709813926,0.3157495311525734,anc5,B,NA
