"","population","population.number","light.lvl","well.ID","r.exp"
"1","1",1,"1","B09_1",0.724837811691286
"2","1",1,"1","C06_1",0.227237357622935
"3","1",1,"1","E02_1",-0.0120352833758036
"4","1",1,"1","F11_1",0.380540758299294
"5","1",1,"2","B09_4",-0.0719836757406574
"6","1",1,"2","C06_4",0.105247473254446
"7","1",1,"2","E02_4",0.127011175331051
"8","1",1,"2","F11_4",0.033755724212153
"9","1",1,"3","B09_7",0.243993308487068
"10","1",1,"3","C06_7",0.169977336308551
"11","1",1,"3","E02_7",0.48150592809433
"12","1",1,"3","F11_7",0.123877895011461
"13","1",1,"4","B09_10",0.309572679345091
"14","1",1,"4","C06_10",0.758284717870586
"15","1",1,"4","E02_10",0.130463366753126
"16","1",1,"4","F11_10",0.352116167985284
"17","1",1,"5","B09_13",0.85748552531856
"18","1",1,"5","C06_13",1.1176327594893
"19","1",1,"5","E02_13",1.18723972337253
"20","1",1,"5","F11_13",0.740033086010469
"21","1",1,"6","B09_16",1.24821027374064
"22","1",1,"6","C06_16",1.05710444397428
"23","1",1,"6","E02_16",1.33635801246482
"24","1",1,"6","F11_16",0.931513169996801
"25","1",1,"7","B09_19",1.19327218790788
"26","1",1,"7","C06_19",1.29353178306426
"27","1",1,"7","E02_19",0.43538564451705
"28","1",1,"7","F11_19",1.3472764265653
"29","1",1,"8","B09_22",1.69294753155581
"30","1",1,"8","C06_22",1.41649240969851
"31","1",1,"8","E02_22",1.15115835495674
"32","1",1,"8","F11_22",0.854598243717975
"33","1",1,"9","B09_25",1.24882030847883
"34","1",1,"9","C06_25",1.25900898053527
"35","1",1,"9","E02_25",1.19348485819923
"36","1",1,"9","F11_25",1.15596340436428
"37","1",1,"10","B09_28",1.28156577271415
"38","1",1,"10","C06_28",0.326216258626161
"39","1",1,"10","E02_28",1.29810317891703
"40","1",1,"10","F11_28",1.32189802655538
"41","10",2,"1","C02_3",-0.0209056690162464
"42","10",2,"1","D05_3",0.0411396757492738
"43","10",2,"1","D11_3",0.393154540626633
"44","10",2,"1","F08_3",0.304730813683636
"45","10",2,"2","C02_6",0.377108083610221
"46","10",2,"2","D05_6",-0.0338593903380715
"47","10",2,"2","D11_6",0.295077611167093
"48","10",2,"2","F08_6",-0.131124284659391
"49","10",2,"3","C02_9",0.121320663915318
"50","10",2,"3","D05_9",0.26336554485689
"51","10",2,"3","D11_9",0.204984041518312
"52","10",2,"3","F08_9",0.111677308614708
"53","10",2,"4","C02_12",0.390244738676156
"54","10",2,"4","D05_12",0.432412123108995
"55","10",2,"4","D11_12",0.233375286376445
"56","10",2,"4","F08_12",0.529122243553444
"57","10",2,"5","C02_15",0.732798217566884
