"","Sp.id","Parameter","mean","Rhat","n.eff"
"1","Ankistrodesmus","cf.a",0.027194180700497,1.00405979049566,3000
"2","Ankistrodesmus","cf.b",-0.671588161248941,1.00190773326335,1400
"3","Ankistrodesmus","cf.delta_t",2.68008799966609,1.00076922563821,3000
"4","Ankistrodesmus","cf.sigma",0.127227996514799,1.00059824321753,3000
"5","Ankistrodesmus","cf.tmax",37.1003172444995,1.00062699378685,3000
"6","Ankistrodesmus","deviance",-21.6274736872159,1.00065454645508,3000
"7","Chlamydomonas","cf.a",0.0471302594563322,1.00051146532851,3000
"8","Chlamydomonas","cf.b",-0.46051619247809,1.00059073750439,3000
"9","Chlamydomonas","cf.delta_t",7.35457042505258,1.00056559966274,3000
"10","Chlamydomonas","cf.sigma",0.539207503568912,1.00103655514878,3000
"11","Chlamydomonas","cf.tmax",40.4079923438023,1.00056781510098,3000
"12","Chlamydomonas","deviance",22.456706109521,1.00165733990028,2100
"13","Chlorella","cf.a",0.074190647311368,1.00178732962586,1600
"14","Chlorella","cf.b",-1.76955347254435,1.00132459337053,2400
"15","Chlorella","cf.delta_t",6.5936228394362,1.00077002675142,3000
"16","Chlorella","cf.sigma",0.423098649346659,1.00079241072545,3000
"17","Chlorella","cf.tmax",41.6363909350219,1.00072236743108,3000
"18","Chlorella","deviance",14.8693643582161,1.00082081243658,3000
"19","Monoraphidium","cf.a",0.0464255377428925,1.00099484188678,3000
"20","Monoraphidium","cf.b",-1.09044027589899,1.00207880679073,1300
"21","Monoraphidium","cf.delta_t",4.20102920646655,1.00082862436007,3000
"22","Monoraphidium","cf.sigma",0.447770121647054,1.0005474121833,3000
"23","Monoraphidium","cf.tmax",41.3726408553461,1.00056871785289,3000
"24","Monoraphidium","deviance",16.6378999726017,1.00051555315804,3000
"25","Scenedesmus","cf.a",0.0313709112881682,1.00416382698354,3000
"26","Scenedesmus","cf.b",-0.415960456675667,1.00110287693036,3000
"27","Scenedesmus","cf.delta_t",5.3379444448147,1.00153594535015,1900
"28","Scenedesmus","cf.sigma",0.724393269306726,1.00068514401296,3000
"29","Scenedesmus","cf.tmax",41.3743727714701,1.00188548688788,1400
"30","Scenedesmus","deviance",37.6455863472205,1.00056531389329,3000
"31","Raphidocelis","cf.a",0.0494821906087439,1.00294029625617,1800
"32","Raphidocelis","cf.b",-0.572958665826931,1.00059740518081,3000
"33","Raphidocelis","cf.delta_t",8.07355428946964,1.00078301298857,3000
"34","Raphidocelis","cf.sigma",0.575332420056821,1.00120065295176,2800
"35","Raphidocelis","cf.tmax",38.9909904126402,1.00101548598838,3000
"36","Raphidocelis","deviance",24.2006817471819,1.00240457511905,1100
