"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,7.10384843552573,1.31360696527689,5.5,5.27881947379924
"2","10",2,4.00608009388507,1.27778279794347,3,3.12546477709307
"3","11",3,5.88068948150845,1.46939849922181,3.5,3.62127946380249
"4","14",4,5.85057819236909,1.31692453710887,4.5,4.32846819874653
"5","15",5,8.35957335131171,1.32681495513224,6.5,6.10494232722318
"6","16",6,7.27967588159471,1.3782460829962,5,4.98214238773445
"7","17",7,1.49543665069347,1.46592035099725,1,0.924412972361726
"8","18",8,5.04112501146894,1.42216448129287,3.5,3.27435201481427
"9","19",9,6.34249387537274,1.37927461383861,4.5,4.33529430817735
"10","2",10,6.44480828288695,1.49844152850398,4,3.84583645202717
"11","20",11,8.32962766561981,1.35378059320571,6,5.87642420673074
"12","21",12,4.49007399711519,1.51580031977886,3,2.63071834812344
"13","22",13,8.29101814508115,1.51326293094509,5,4.87060810876414
"14","23",14,6.11524914589218,1.50638843849724,3.5,3.61853482396447
"15","24",15,7.92957004332658,1.27560006602777,6.5,6.20536446972683
"16","25",16,5.3232645839479,1.40886889258681,3.5,3.51176511831709
"17","26",17,8.03671554107453,1.51780068156581,5,4.69884892506469
"18","27",18,8.36782166225795,1.35947782170711,6,5.86130096874801
"19","28",19,3.46323314523162,1.42080500860446,2,2.25301960600101
"20","29",20,2.39659616206295,1.35758141475923,2,1.68270451883635
"21","3",21,2.99199915562786,1.35490088200696,2,2.10783453016338
"22","30",22,2.6925896247569,1.27943422088139,2,2.09588332900899
"23","31",23,7.29291949927924,1.40880388287262,5,4.81151771569978
"24","32",24,7.17139602886646,1.46440500499566,4.5,4.44046832335309
"25","33",25,2.57053704086545,1.27579065747116,2,2.01106388838645
"26","35",26,4.34541949464871,1.36525157487776,3,3.02195611026612
"27","4",27,8.36155133924143,1.52336607440535,5,4.86052900800508
"28","5",28,7.68742305596092,1.15848055291138,7.5,7.19314418888994
"29","6",29,2.94500271465727,1.2420965555598,2.5,2.41784173628403
"30","7",30,3.56067375439108,1.19812628242513,3,3.12473777898803
"31","8",31,4.31855146102964,1.32279322705121,3.5,3.17043824251764
"32","9",32,6.20276662973375,1.43202788138855,4,3.98330074850345
"33","anc2",33,5.0304401065834,1.42578634832246,3.5,3.25374321868783
"34","anc3",34,6.23467009114948,1.36196942202999,4.5,4.35355158829627
"35","anc4",35,5.34212360489511,1.3009207408543,4,4.0376642922587
"36","anc5",36,7.82598844175235,1.43640053520184,5,5.00062853837943
"37","cc1690",37,5.79379094329433,1.4268095518615,4,3.74306319222846
