"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Phosphorous limitation","1",1,"K_s",0.935349640224852,1.00138973969766,3900
"2","Phosphorous limitation","1",1,"deviance",-19.3457165818674,1.00116935200837,5200
"3","Phosphorous limitation","1",1,"r_max",1.34074500181682,1.00083780951857,6000
"4","Phosphorous limitation","1",1,"sigma",0.194268822797188,1.00097200229557,6000
"5","Phosphorous limitation","10",2,"K_s",1.55642173074268,1.00082260668079,6000
"6","Phosphorous limitation","10",2,"deviance",-8.68102422833244,1.00111336813744,5700
"7","Phosphorous limitation","10",2,"r_max",1.38393273167312,1.00100496847343,6000
"8","Phosphorous limitation","10",2,"sigma",0.221840061740029,1.00153184128452,3400
"9","Phosphorous limitation","11",3,"K_s",1.18711135592561,1.00110401732346,5800
"10","Phosphorous limitation","11",3,"deviance",-2.31110010916265,1.00143265723907,3800
"11","Phosphorous limitation","11",3,"r_max",1.45290631594714,1.00080002686146,6000
"12","Phosphorous limitation","11",3,"sigma",0.239401388392936,1.00095788628365,6000
"13","Phosphorous limitation","14",4,"K_s",1.12056520103492,1.00078445792568,6000
"14","Phosphorous limitation","14",4,"deviance",7.39101806725875,1.00204251757948,2300
"15","Phosphorous limitation","14",4,"r_max",1.36260185703551,1.00069186888304,6000
"16","Phosphorous limitation","14",4,"sigma",0.270390038907148,1.0015317461961,3400
"17","Phosphorous limitation","15",5,"K_s",1.70234733158022,1.0007119101063,6000
"18","Phosphorous limitation","15",5,"deviance",5.45527371482304,1.000726303438,6000
"19","Phosphorous limitation","15",5,"r_max",1.42090327824549,1.00114157244448,5400
"20","Phosphorous limitation","15",5,"sigma",0.264394386149584,1.0014516138381,3700
"21","Phosphorous limitation","16",6,"K_s",1.7232170454291,1.00117503522108,5200
"22","Phosphorous limitation","16",6,"deviance",-13.9348357781784,1.00130538793364,4400
"23","Phosphorous limitation","16",6,"r_max",1.43638155943399,1.00067639604005,6000
"24","Phosphorous limitation","16",6,"sigma",0.206929005812201,1.00073303037986,6000
"25","Phosphorous limitation","17",7,"K_s",0.69908673910924,1.00242621564357,1800
"26","Phosphorous limitation","17",7,"deviance",0.695154721335197,1.00070601735145,6000
"27","Phosphorous limitation","17",7,"r_max",1.38412187793732,1.00169699926664,2900
"28","Phosphorous limitation","17",7,"sigma",0.248485462040729,1.00166615248826,3000
