"","Sp.id","nit","id","r.exp"
"1","Synechococcus",1,"1.1",0.0376869589135259
"2","Synechococcus",1,"1.2",-0.0371034240094334
"3","Synechococcus",1,"2.3",NA
"4","Synechococcus",1,"2.4",0.0636776030796897
"5","Synechococcus",2,"1.1",0.24297302227927
"6","Synechococcus",2,"1.2",0.0127377856123882
"7","Synechococcus",2,"2.3",-0.0492694523146106
"8","Synechococcus",2,"2.4",-0.134392201177014
"9","Synechococcus",4,"1.1",NA
"10","Synechococcus",4,"1.2",-0.0344474649260354
"11","Synechococcus",4,"2.3",0.0220532079545535
"12","Synechococcus",4,"2.4",0.255933053122017
"13","Synechococcus",10,"1.1",0.0545473113749312
"14","Synechococcus",10,"1.2",0.152889971727092
"15","Synechococcus",10,"2.3",0.311905369720298
"16","Synechococcus",10,"2.4",0.776952317784801
"17","Synechococcus",20,"1.1",1.31306325047267e-10
"18","Synechococcus",20,"1.2",0.0554968944804882
"19","Synechococcus",20,"2.3",NA
"20","Synechococcus",20,"2.4",0.0934098967402989
"21","Synechococcus",40,"1.1",-0.0511471248294072
"22","Synechococcus",40,"1.2",-0.0112451582059355
"23","Synechococcus",40,"2.3",NA
"24","Synechococcus",40,"2.4",-0.0389159925164346
"25","Synechococcus",60,"1.1",0.0712381023920272
"26","Synechococcus",60,"1.2",0.0138847436585515
"27","Synechococcus",60,"2.3",0.143737589133582
"28","Synechococcus",60,"2.4",0.00254501847870309
"29","Synechococcus",200,"1.1",0.336353653749562
"30","Synechococcus",200,"1.2",-0.0419673668398027
"31","Synechococcus",200,"2.3",0.195476198169506
"32","Synechococcus",200,"2.4",1.01933693124721
"33","Synechococcus",500,"1.1",0.210718099869609
"34","Synechococcus",500,"1.2",0.0985868225549358
"35","Synechococcus",500,"2.3",NA
"36","Synechococcus",500,"2.4",0.661933678640553
"37","Synechococcus",1000,"1.1",0.417677279626575
"38","Synechococcus",1000,"1.2",0.56193478357333
"39","Synechococcus",1000,"2.3",0.730231011546451
"40","Synechococcus",1000,"2.4",0.932999316377613
"41","Kirchneriella_subcapitata",1,"1.1",0.222397118219689
"42","Kirchneriella_subcapitata",1,"1.2",0.362757129240714
"43","Kirchneriella_subcapitata",1,"2.4",0.711020330956508
"44","Kirchneriella_subcapitata",1,"2.3",0.92387669095989
"45","Kirchneriella_subcapitata",2,"1.1",0.454593079603974
"46","Kirchneriella_subcapitata",2,"1.2",0.484944708439952
"47","Kirchneriella_subcapitata",2,"2.4",0.730725095827706
"48","Kirchneriella_subcapitata",2,"2.3",0.798235866717301
"49","Kirchneriella_subcapitata",4,"1.1",0.0957832211899119
"50","Kirchneriella_subcapitata",4,"1.2",0.147522315134861
"51","Kirchneriella_subcapitata",4,"2.4",0.656546302342461
"52","Kirchneriella_subcapitata",4,"2.3",0.548830249405448
"53","Kirchneriella_subcapitata",10,"1.1",0.291774272701168
"54","Kirchneriella_subcapitata",10,"1.2",0.305447925995839
"55","Kirchneriella_subcapitata",10,"2.4",0.737249204498872
"56","Kirchneriella_subcapitata",10,"2.3",0.753496222991588
"57","Kirchneriella_subcapitata",20,"1.1",0.225690059332339
"58","Kirchneriella_subcapitata",20,"1.2",0.195867775118715
"59","Kirchneriella_subcapitata",20,"2.4",0.828603793637951
"60","Kirchneriella_subcapitata",20,"2.3",0.520050597081005
"61","Kirchneriella_subcapitata",40,"1.1",0.423508831192189
"62","Kirchneriella_subcapitata",40,"1.2",0.425575563807976
"63","Kirchneriella_subcapitata",40,"2.4",0.980651677470823
"64","Kirchneriella_subcapitata",40,"2.3",0.658707874280041
"65","Kirchneriella_subcapitata",60,"1.1",0.230194290205813
"66","Kirchneriella_subcapitata",60,"1.2",0.328215782527597
"67","Kirchneriella_subcapitata",60,"2.4",0.415715074167231
"68","Kirchneriella_subcapitata",60,"2.3",0.336657437860204
"69","Kirchneriella_subcapitata",200,"1.1",0.229425688095549
"70","Kirchneriella_subcapitata",200,"1.2",0.132468835919114
"71","Kirchneriella_subcapitata",200,"2.4",1.01574960139732
