P-N ,Aufschlussverfahren,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Berechnungsformel:,,µg N or P µg/L devided by 1000 and multiplay by digestion Vol [10ml] ,,,,Dany Steiner,7.11.2017,2019-06-24,,,,,,,,
,,,,,,,,,,,,,,,,
Sample Number,ResultID,Position ,SampleType,SampleIdentity,NO2NO3- Results[µg N/L],P- Results[µg P/L],PDCupsHistory,,Weight mg,Digestion Volumina ml,,Diluted Factor,, N µg/Filter, P µg/Filter,Name
1,0,IW        ,IW        ,InitialWash,-4.76,0.60,,,,,,,,,,
1,1,ST6       ,T         ,Tracer,884.91,98.75,,,,,,,,,,
1,2,WT        ,W         ,Wash,-4.76,0.60,,,,,,,,,,
1,3,ST4       ,D         ,Drift,538.53,56.63,,,,,,,,,,
1,4,WT        ,W         ,Wash,-4.76,0.60,,,,,,,,,,
1,5,ST1       ,S1        ,Standard1,90.58,11.91,,,,,,,,,,
1,6,ST2       ,S2        ,Standard2,186.46,19.61,,,,,,,,,,
1,7,ST3       ,S3        ,Standard3,356.74,37.93,,,,,,,,,,
1,8,ST4       ,S4        ,Standard4,537.15,56.92,,,,,,,,,,
1,9,ST5       ,S5        ,Standard5,722.74,75.79,,,,,,,,,,
1,10,ST6       ,S6        ,Standard6,907.38,101.16,,,,,,,,,,
1,11,ST4       ,D         ,Drift,549.18,57.27,,,,,,,,,,
1,12,WT        ,W         ,Wash,-4.76,0.60,,,,,,,,,,
1,13,A1        ,U         ,1,516.83,101.64,,,,10,,20,,103.366,20.328,1
1,14,A1        ,U         ,1,519.83,102.51,,,,10,,20,,103.966,20.502,1
2,15,A2        ,U         ,2,196.54,45.03,,,,10,,20,,39.308,9.006,2
2,16,A2        ,U         ,2,193.07,44.83,,,,10,,20,,38.614,8.966,2
3,17,A3        ,U         ,3,149.22,31.30,,,,10,,20,,29.844,6.260,3
3,18,A3        ,U         ,3,149.58,31.52,,,,10,,20,,29.916,6.304,3
4,19,A4        ,U         ,4,255.25,58.36,,,,10,,20,,51.050,11.672,4
4,20,A4        ,U         ,4,255.99,58.61,,,,10,,20,,51.198,11.722,4
5,21,A5        ,U         ,5,198.84,38.80,,,,10,,20,,39.768,7.760,5
5,22,A5        ,U         ,5,195.61,38.59,,,,10,,20,,39.122,7.718,5
6,23,A6        ,U         ,6,289.12,63.35,,,,10,,20,,57.824,12.670,6
6,24,A6        ,U         ,6,289.38,61.65,,,,10,,20,,57.876,12.330,6
7,25,A7        ,U         ,7,491.25,90.10,,,,10,,20,,98.250,18.020,7
7,26,A7        ,U         ,7,490.11,90.04,,,,10,,20,,98.022,18.008,7
8,27,A8        ,U         ,8,277.51,57.45,,,,10,,20,,55.502,11.490,8
8,28,A8        ,U         ,8,278.08,57.29,,,,10,,20,,55.616,11.458,8
9,29,A9        ,U         ,9,265.14,45.69,,,,10,,20,,53.028,9.138,9
9,30,A9        ,U         ,9,267.85,45.48,,,,10,,20,,53.570,9.096,9
10,31,A10       ,U         ,10,326.89,70.48,,,,10,,20,,65.378,14.096,10
10,32,A10       ,U         ,10,326.81,70.12,,,,10,,20,,65.362,14.024,10
1,33,ST4       ,D         ,Drift,544.34,56.64,,,,,,,,,,
1,34,WT        ,W         ,Wash,-4.76,0.60,,,,,,,,,,
11,35,A11       ,U         ,11,277.12,46.45,,,,10,,20,,55.424,9.290,11
11,36,A11       ,U         ,11,276.49,46.72,,,,10,,20,,55.298,9.344,11
14,41,A14       ,U         ,14,541.83,124.35,,,,10,,20,,108.366,24.870,14
14,42,A14       ,U         ,14,544.31,126.07,,,,10,,20,,108.862,25.214,14
15,43,A15       ,U         ,15,468.19,97.71,,,,10,,20,,93.638,19.542,15
15,44,A15       ,U         ,15,466.61,98.11,,,,10,,20,,93.322,19.622,15
16,45,A16       ,U         ,16,298.00,56.03,,,,10,,20,,59.600,11.206,16
16,46,A16       ,U         ,16,296.90,57.57,,,,10,,20,,59.380,11.514,16
17,47,A17       ,U         ,17,399.35,104.02,,,,10,,20,,79.870,20.804,17
17,48,A17       ,U         ,17,402.78,104.71,,,,10,,20,,80.556,20.942,17
18,49,A18       ,U         ,18,509.83,94.29,,,,10,,20,,101.966,18.858,18
18,50,A18       ,U         ,18,512.45,94.08,,,,10,,20,,102.490,18.816,18
19,51,A19       ,U         ,19,306.92,59.09,,,,10,,20,,61.384,11.818,19
19,52,A19       ,U         ,19,304.22,58.75,,,,10,,20,,60.844,11.750,19
20,53,A20       ,U         ,20,396.17,76.90,,,,10,,20,,79.234,15.380,20
20,54,A20       ,U         ,20,397.86,76.76,,,,10,,20,,79.572,15.352,20
1,55,ST4       ,D         ,Drift,546.58,55.67,,,,10,,10,,54.658,5.567,19
