species,temperature,irradiance,growth rate,daylength,environment,taxon,reference
Thalassiosira allenii,4,6.46,0.37,24,marine,diatom,1
Thalassiosira allenii,4,38.74,0.668181818,24,marine,diatom,1
Thalassiosira allenii,4,77.47,0.827272727,24,marine,diatom,1
Thalassiosira allenii,4,116.21,0.627272727,24,marine,diatom,1
Thalassiosira allenii,4,154.95,0.590909091,24,marine,diatom,1
Thalassiosira allenii,4,193.68,0.736363636,24,marine,diatom,1
Thalassiosira allenii,11,6.46,0.822727273,24,marine,diatom,1
Thalassiosira allenii,11,38.74,1.122727273,24,marine,diatom,1
Thalassiosira allenii,11,77.47,1.040909091,24,marine,diatom,1
Thalassiosira allenii,11,116.21,1.081818182,24,marine,diatom,1
Thalassiosira allenii,11,154.95,1.072727273,24,marine,diatom,1
Thalassiosira allenii,11,193.68,0.972727273,24,marine,diatom,1
Thalassiosira allenii,16,6.46,0.527272727,24,marine,diatom,1
Thalassiosira allenii,16,38.74,0.936363636,24,marine,diatom,1
Thalassiosira allenii,16,77.47,0.968181818,24,marine,diatom,1
Thalassiosira allenii,16,116.21,0.968181818,24,marine,diatom,1
Thalassiosira allenii,16,154.95,1.1,24,marine,diatom,1
Thalassiosira allenii,16,193.68,1.036363636,24,marine,diatom,1
Thalassiosira allenii,20,6.46,0.006,24,marine,diatom,1
Thalassiosira allenii,20,38.74,1.013636364,24,marine,diatom,1
Thalassiosira allenii,20,77.47,1.095454545,24,marine,diatom,1
Thalassiosira allenii,20,116.21,1.104545455,24,marine,diatom,1
Thalassiosira allenii,20,154.95,1.081818182,24,marine,diatom,1
Thalassiosira allenii,20,193.68,1.077272727,24,marine,diatom,1
Ceratium furca,32,0,-0.051724138,12,marine,dinoflagellate,2
Ceratium furca,32,58,0.024137931,12,marine,dinoflagellate,2
Ceratium furca,32,180,-0.086206897,12,marine,dinoflagellate,2
Ceratium furca,32,216,-0.020689655,12,marine,dinoflagellate,2
Ceratium furca,32,600,-0.2,12,marine,dinoflagellate,2
Ceratium furca,32,796,-0.120689655,12,marine,dinoflagellate,2
Ceratium furca,30,0,0,12,marine,dinoflagellate,2
Ceratium furca,30,58,0.086153846,12,marine,dinoflagellate,2
Ceratium furca,30,180,0.255384615,12,marine,dinoflagellate,2
Ceratium furca,30,216,0.335384615,12,marine,dinoflagellate,2
Ceratium furca,30,600,0.227692308,12,marine,dinoflagellate,2
Ceratium furca,30,796,0.236923077,12,marine,dinoflagellate,2
Ceratium furca,28,0,0,12,marine,dinoflagellate,2
Ceratium furca,28,58,0.270769231,12,marine,dinoflagellate,2
Ceratium furca,28,180,0.483076923,12,marine,dinoflagellate,2
Ceratium furca,28,216,0.547692308,12,marine,dinoflagellate,2
Ceratium furca,28,600,0.52,12,marine,dinoflagellate,2
Ceratium furca,28,796,0.529230769,12,marine,dinoflagellate,2
Ceratium furca,26,0,0,12,marine,dinoflagellate,2
Ceratium furca,26,58,0.190769231,12,marine,dinoflagellate,2
Ceratium furca,26,180,0.418461538,12,marine,dinoflagellate,2
Ceratium furca,26,216,0.550769231,12,marine,dinoflagellate,2
Ceratium furca,26,600,0.569230769,12,marine,dinoflagellate,2
Ceratium furca,26,796,0.550769231,12,marine,dinoflagellate,2
Ceratium furca,24,0,0,12,marine,dinoflagellate,2
Ceratium furca,24,58,0.295384615,12,marine,dinoflagellate,2
Ceratium furca,24,180,0.48615,12,marine,dinoflagellate,2
Ceratium furca,24,216,0.566153846,12,marine,dinoflagellate,2
Ceratium furca,24,600,0.6,12,marine,dinoflagellate,2
Ceratium furca,24,796,0.646153846,12,marine,dinoflagellate,2
Ceratium furca,22,0,0,12,marine,dinoflagellate,2
Ceratium furca,22,58,0.157147067,12,marine,dinoflagellate,2
Ceratium furca,22,180,0.397630416,12,marine,dinoflagellate,2
Ceratium furca,22,216,0.456233422,12,marine,dinoflagellate,2
Ceratium furca,22,600,0.528440908,12,marine,dinoflagellate,2
Ceratium furca,22,796,0.56921898,12,marine,dinoflagellate,2
Ceratium furca,20,0,0,12,marine,dinoflagellate,2
Ceratium furca,20,58,0.20945476,12,marine,dinoflagellate,2
Ceratium furca,20,180,0.397630416,12,marine,dinoflagellate,2
Ceratium furca,20,216,0.431606248,12,marine,dinoflagellate,2
Ceratium furca,20,600,0.457671677,12,marine,dinoflagellate,2
Ceratium furca,20,796,0.473822576,12,marine,dinoflagellate,2
Ceratium furca,18,0,0,12,marine,dinoflagellate,2
Ceratium furca,18,58,0.178685529,12,marine,dinoflagellate,2
Ceratium furca,18,180,0.369926319,12,marine,dinoflagellate,2
Ceratium furca,18,216,0.416221633,12,marine,dinoflagellate,2
Ceratium furca,18,600,0.482287062,12,marine,dinoflagellate,2
Ceratium furca,18,796,0.458449749,12,marine,dinoflagellate,2
Ceratium furca,16,0,0,12,marine,dinoflagellate,2
Ceratium furca,16,58,0.030993221,12,marine,dinoflagellate,2
Ceratium furca,16,180,0.1822458,12,marine,dinoflagellate,2
Ceratium furca,16,216,0.197760094,12,marine,dinoflagellate,2
Ceratium furca,16,600,0.239210139,12,marine,dinoflagellate,2
Ceratium furca,16,796,0.261479517,12,marine,dinoflagellate,2
Ceratium furca,14,0,0,12,marine,dinoflagellate,2
Ceratium furca,14,58,0.055608606,12,marine,dinoflagellate,2
Ceratium furca,14,180,0.154553492,12,marine,dinoflagellate,2
Ceratium furca,14,216,0.163925729,12,marine,dinoflagellate,2
Ceratium furca,14,600,0.229979369,12,marine,dinoflagellate,2
Ceratium furca,14,796,0.24921898,12,marine,dinoflagellate,2
Ceratium furca,12,0,0,12,marine,dinoflagellate,2
Ceratium furca,12,58,0.000223991,12,marine,dinoflagellate,2
Ceratium furca,12,180,0.019168877,12,marine,dinoflagellate,2
Ceratium furca,12,216,0.01314471,12,marine,dinoflagellate,2
Ceratium furca,12,600,0.039210139,12,marine,dinoflagellate,2
Ceratium furca,12,796,0.030757442,12,marine,dinoflagellate,2
Ceratium furca,10,0,0,12,marine,dinoflagellate,2
Ceratium furca,10,58,0,12,marine,dinoflagellate,2
Ceratium furca,10,180,0,12,marine,dinoflagellate,2
Ceratium furca,10,216,0,12,marine,dinoflagellate,2
Ceratium furca,10,600,0,12,marine,dinoflagellate,2
Ceratium furca,10,796,0,12,marine,dinoflagellate,2
Ceratium fusus,32,0,-0.14137931,12,marine,dinoflagellate,2
Ceratium fusus,32,58,-0.151724138,12,marine,dinoflagellate,2
Ceratium fusus,32,180,-0.24137931,12,marine,dinoflagellate,2
Ceratium fusus,32,216,-0.379310345,12,marine,dinoflagellate,2
Ceratium fusus,32,600,-0.510344828,12,marine,dinoflagellate,2
Ceratium fusus,32,796,-0.368965517,12,marine,dinoflagellate,2
Ceratium fusus,30,0,0,12,marine,dinoflagellate,2
Ceratium fusus,30,58,0.166153846,12,marine,dinoflagellate,2
Ceratium fusus,30,180,0.286153846,12,marine,dinoflagellate,2
Ceratium fusus,30,216,0.286153846,12,marine,dinoflagellate,2
Ceratium fusus,30,600,0.147692308,12,marine,dinoflagellate,2
Ceratium fusus,30,796,0.147692308,12,marine,dinoflagellate,2
Ceratium fusus,28,0,0,12,marine,dinoflagellate,2
Ceratium fusus,28,58,0.258461538,12,marine,dinoflagellate,2
Ceratium fusus,28,180,0.378461538,12,marine,dinoflagellate,2
Ceratium fusus,28,216,0.430769231,12,marine,dinoflagellate,2
Ceratium fusus,28,600,0.498461538,12,marine,dinoflagellate,2
Ceratium fusus,28,796,0.550769231,12,marine,dinoflagellate,2
Ceratium fusus,26,0,0,12,marine,dinoflagellate,2
Ceratium fusus,26,58,0.261538462,12,marine,dinoflagellate,2
Ceratium fusus,26,180,0.48,12,marine,dinoflagellate,2
Ceratium fusus,26,216,0.529230769,12,marine,dinoflagellate,2
Ceratium fusus,26,600,0.550769231,12,marine,dinoflagellate,2
Ceratium fusus,26,796,0.529230769,12,marine,dinoflagellate,2
Ceratium fusus,24,0,0,12,marine,dinoflagellate,2
Ceratium fusus,24,58,0.28,12,marine,dinoflagellate,2
Ceratium fusus,24,180,0.347692308,12,marine,dinoflagellate,2
Ceratium fusus,24,216,0.366153846,12,marine,dinoflagellate,2
Ceratium fusus,24,600,0.387692308,12,marine,dinoflagellate,2
Ceratium fusus,24,796,0.4,12,marine,dinoflagellate,2
Ceratium fusus,22,0,0,12,marine,dinoflagellate,2
Ceratium fusus,22,58,0.055611161,12,marine,dinoflagellate,2
Ceratium fusus,22,180,0.308397808,12,marine,dinoflagellate,2
Ceratium fusus,22,216,0.333156121,12,marine,dinoflagellate,2
Ceratium fusus,22,600,0.408464634,12,marine,dinoflagellate,2
Ceratium fusus,22,796,0.390775034,12,marine,dinoflagellate,2
Ceratium fusus,20,0,0,12,marine,dinoflagellate,2
Ceratium fusus,20,58,0.178689912,12,marine,dinoflagellate,2
Ceratium fusus,20,180,0.289935995,12,marine,dinoflagellate,2
