"","Sp.id","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","Thalassiosira allenii",38.0751894502021,-1,25.3,24.7,16.6,0.951566652305608
"2","Ceratium furca",-30.5588049870503,10.5,31.4,13.8,24.3,0.608673299136096
"3","Ceratium fusus",-8.29063555365124,10.3,30.8,13,24.9,0.497735853694802
"4","Micractinium pusillum",22.4079076368684,10.2,39.3,18.5,30.2,0.226223244890095
"5","Chroococcus minutus",17.6209559440176,10,38,23,29,1.327932312657
"6","Microcystis flos-aquae",30.0356162441324,10,40,19,32.7,1.41357814382833
"7","Coelastrum microporum f. astroidea",52.4265946702478,10,40,17.5,33.1,1.66304042901951
"8","Cosmarium subprotumidum",30.0713904595621,14.3,39.9,15.7,33.3,0.963799940967686
"9","Selenastrum minutum",21.1981337525134,10,40,19.3,31.7,1.36384196649227
"10","Asterionella formosa",62.507137463195,-3,26,18.1,19.3,0.89350318526111
"11","Anabaena cylindrica",18.14897742639,20,32.8,8,31.9,0.256642008804475
"12","Coelastrum microporum",30.3630373954285,12.7,37.1,15,30.6,1.27329943324108
"13","Dictyosphaerium pulchellum",95.2034487387994,14.4,33.5,11.7,30.9,1.35022612960171
"14","Fragilaria bidens",4.71920472530563,5,32.9,18.1,24.1,0.625017779533994
"15","Monoraphidium minutum",36.5794239693785,15.7,39.9,15,33.2,1.20155448540946
"16","Pediastrum boryanum",32.9203334609847,20,36.8,15.1,29.7,0.422239560280625
"17","Scenedesmus crassus",12.7882773721988,NA,NA,NA,32.4,-0.216369127839473
"18","Scenedesmus quadricauda",50.6228600351939,15,37.1,14,30.7,1.30770647861944
"19","Chlorella vulgaris",11.2291144434022,5,36.5,22.1,26.7,0.416879275919808
"20","Staurastrum pingue",6.72270452121585,5,35.3,20.7,25.6,0.478818332744396
"21","Synechocystis minima",19.4372747805618,9.1,40,16.8,35.7,0.676638496017914
"22","Acutodesmus obliquus",22.7562660157506,13.6,35.8,13.4,32.4,0.976720897618418
"23","Phaeodactylum tricornutum",5.91955990842273,9,26.7,17,22.6,1.45971407179515
"24","Chaetoceros deflandrei",6.47566778005339,-3,17,19.4,9.5,0.47423996047809
"25","Corethron criophilum",2.75168243930135,-4.85,9.25,11.9,-1.55,0.196608792439532
"26","Nitzschia cylindrus",8.7357459469089,-4.9,11.4,15.4,4.3,0.44185896827391
"27","Nitzschia kerguelensis",21.4525700468368,-4.85,8.95,12.5,3.15,0.359195290690208
"28","Nitzschia turgiduloides",18.9214475642084,-4,9.6,12.4,4.3,0.389239106865172
"29","Stellarima microtrias",25.0478132860697,-4,11.5,14,3.5,0.311670802632383
"30","Synedra sp.",14.5701799033917,-4,9.7,13.1,5.4,0.208880499592285
"31","Synura sphagnicola",4.28563256892502,1.1,23.1,14,16.8,0.69201178992936
"32","Isochrysis galbana",27.8608880117674,5,30.6,15.9,24.5,1.10603131368771
"33","Rhodomonas salina",33.9196120927565,5,30.3,20,23,1.04193997160947
"34","Dactyliosolen fragilissimus",15.5045991201341,2,26.5,16.2,22.6,0.759868802587236
"35","Rhizosolenia fragilissima",17.0328475397675,4,26.4,19.9,22.4,0.792151686193459
"36","Fragilaria barbararum",55.3890801056108,-5,20.2,16.3,13.5,0.840290493128212
"37","Fragilaria cf. striatula",39.7422307066391,-5,20.5,15.9,14.2,0.871045466572909
"38","Eucampia zodiacus",38.7213304588708,3,30,15.8,24.2,2.96685551344649
"39","Coscinodiscus granii",30.5178325712532,4,25.4,15.9,19.4,0.714099059100194
"40","Coscinodiscus wailesii",25.8081017388597,4,25.6,18.5,18.3,0.801380020349969
"41","Cryptomonas sp. 1",-12.4834407263431,7,26,12.7,19.3,0.387582853207556
