"","Sp.id","Parameter","mean","Rhat","n.eff"
"1","Thalassiosira allenii","K_s",7.08991443373595,1.00393101633266,3000
"2","Thalassiosira allenii","deviance",2.09195271103994,1.00137787605763,3000
"3","Thalassiosira allenii","r_max",1.09325489452094,1.0033087425979,3000
"4","Thalassiosira allenii","r_pred_new[387]",1.05419970161347,1.00348934523833,3000
"5","Ceratium furca","K_s",5.78318289952888,1.00460088378011,1200
"6","Ceratium furca","deviance",-10.8770419465151,1.0014634919404,2100
"7","Ceratium furca","r_max",0.409652285725808,1.00360626790106,3000
"8","Ceratium furca","r_pred_new[1593]",0.4066747557007,1.00363621261593,3000
"9","Ceratium fusus","K_s",5.77198206756968,1.00090475458627,3000
"10","Ceratium fusus","deviance",-12.3387145843409,1.00119502265315,2900
"11","Ceratium fusus","r_max",0.331113830529411,1.00432644354417,3000
"12","Ceratium fusus","r_pred_new[1593]",0.328709714110551,1.0043665515043,3000
"13","Micractinium pusillum","K_s",2.92688554583178,1.00408675055925,1300
"14","Micractinium pusillum","deviance",-25.1395858230775,1.00078799197216,3000
"15","Micractinium pusillum","r_max",0.265431247190448,1.00369077477342,630
"16","Micractinium pusillum","r_pred_new[1261]",0.264176927987818,1.00372246354796,620
"17","Chroococcus minutus","K_s",6.79574058551956,1.00066906123,3000
"18","Chroococcus minutus","deviance",-0.0512963983035238,1.00072508205432,3000
"19","Chroococcus minutus","r_max",0.844081110605482,1.01003531797885,1200
"20","Chroococcus minutus","r_pred_new[321]",0.808842765647874,1.01010397042773,1200
"21","Microcystis flos-aquae","K_s",6.95259152055748,1.00332531218901,3000
"22","Microcystis flos-aquae","deviance",-6.40609732441331,1.00131796933334,2400
"23","Microcystis flos-aquae","r_max",0.716756901460469,1.00097369803039,3000
"24","Microcystis flos-aquae","r_pred_new[320]",0.686379936341617,1.00096006341984,3000
"25","Coelastrum microporum f. astroidea","K_s",6.25040914304165,1.00139815451133,2200
"26","Coelastrum microporum f. astroidea","deviance",1.18165237439948,1.00057861267178,3000
"27","Coelastrum microporum f. astroidea","r_max",0.515115703744395,1.00127609162466,2600
"28","Coelastrum microporum f. astroidea","r_pred_new[903]",0.508052659095662,1.00123786888311,2700
"29","Cosmarium subprotumidum","K_s",6.9875043160208,1.00333434039234,2100
"30","Cosmarium subprotumidum","deviance",-20.6077295389499,1.00118606126607,2900
"31","Cosmarium subprotumidum","r_max",0.368007952208434,1.00397684769933,580
"32","Cosmarium subprotumidum","r_pred_new[903]",0.362407864144224,1.00396379351938,580
"33","Selenastrum minutum","K_s",6.3940330115733,1.00169696267549,1700
"34","Selenastrum minutum","deviance",-0.350246732860614,1.00323154380967,730
"35","Selenastrum minutum","r_max",0.776005347926615,1.00055833474871,3000
"36","Selenastrum minutum","r_pred_new[903]",0.765146375266742,1.00059992807302,3000
"37","Asterionella formosa","K_s",7.67095559990569,1.00188242801961,3000
"38","Asterionella formosa","deviance",-2.35057461287343,1.00137032220146,2600
"39","Asterionella formosa","r_max",0.771364428796028,1.00431081454973,3000
"40","Asterionella formosa","r_pred_new[321]",0.735532779162303,1.00447418424762,3000
"41","Anabaena cylindrica","K_s",3.72491861828542,1.00080603480416,3000
"42","Anabaena cylindrica","deviance",-11.7372613421983,1.00100975596366,3000
"43","Anabaena cylindrica","r_max",0.271818025425977,1.00074190340686,3000
"44","Anabaena cylindrica","r_pred_new[1045]",0.269871320456103,1.00073781018487,3000
"45","Coelastrum microporum","K_s",7.58759897606051,1.00404581622865,3000
"46","Coelastrum microporum","deviance",-20.3580481667547,1.0010968150459,3000
"47","Coelastrum microporum","r_max",0.781874468338727,1.00108964922145,3000
"48","Coelastrum microporum","r_pred_new[1041]",0.770598897314973,1.00107231527353,3000
"49","Dictyosphaerium pulchellum","K_s",6.61980930359811,1.00079556375542,3000
"50","Dictyosphaerium pulchellum","deviance",-19.5200237494849,1.00504530343116,820
"51","Dictyosphaerium pulchellum","r_max",0.650856198017296,1.00201384522779,2400
"52","Dictyosphaerium pulchellum","r_pred_new[1427]",0.644853495447875,1.00203618364084,2400
"53","Fragilaria bidens","K_s",8.12800174939351,1.00119570838634,3000
"54","Fragilaria bidens","deviance",-23.4443883982908,1.00217541848349,1200
"55","Fragilaria bidens","r_max",0.830759980963776,1.0024004897779,1300
"56","Fragilaria bidens","r_pred_new[1301]",0.820475837605018,1.00247472470179,1300
"57","Monoraphidium minutum","K_s",5.43228954337114,1.00138258059823,2300
"58","Monoraphidium minutum","deviance",0.471026504973645,1.00207934730306,3000
"59","Monoraphidium minutum","r_max",0.492625070913646,1.00248756121578,1000
"60","Monoraphidium minutum","r_pred_new[1381]",0.488733417022825,1.0024261061214,1000
"61","Pediastrum boryanum","K_s",5.53150346198701,1.00176129199307,3000
"62","Pediastrum boryanum","deviance",-13.5993323239908,1.00156562317855,2200
"63","Pediastrum boryanum","r_max",0.303914565782985,1.00076506700702,3000
"64","Pediastrum boryanum","r_pred_new[1041]",0.300672860630199,1.00079338998436,3000
"65","Scenedesmus crassus","K_s",5.89569653484347,1.00067233477729,3000
"66","Scenedesmus crassus","deviance",-43.7614132610727,1.00304545242892,2400
"67","Scenedesmus crassus","r_max",0.533475295184078,1.00124674358776,2700
"68","Scenedesmus crassus","r_pred_new[1351]",0.528859150555053,1.00118965738567,2900
"69","Scenedesmus quadricauda","K_s",5.85721749640442,1.00634828627018,1500
"70","Scenedesmus quadricauda","deviance",-43.4257042662127,1.00087299336369,3000
"71","Scenedesmus quadricauda","r_max",0.533195306588794,1.00138822720569,2200
"72","Scenedesmus quadricauda","r_pred_new[1349]",0.528620990410007,1.00139084730634,2200
"73","Chlorella vulgaris","K_s",6.80909132770493,1.00538908993274,2000
"74","Chlorella vulgaris","deviance",-10.4616187402501,1.00103678227076,3000
"75","Chlorella vulgaris","r_max",0.814453118662686,1.00189869677591,1400
"76","Chlorella vulgaris","r_pred_new[1441]",0.806772595350935,1.00187556365678,1500
"77","Staurastrum pingue","K_s",6.85163189900722,1.00097601497153,3000
