"","Sp.id","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1",1,-64.7410846941577,9.9,30.1,13.4,23.2,0.283850408347269
"2",2,4.38872574546503,5,18.4,12.7,12.9,0.110613205086747
"3",3,5.52953964881371,0,24.5,20.5,14.2,0.167543472128975
"4",4,13.1459771815116,0,24.2,18.5,15.3,0.230507311399789
"5",5,15.0340510884748,7,27.5,15.2,22,0.279306398833511
"6",6,42.1288612233032,15.1,32.2,11.4,28.8,0.515720603208948
"7",7,-48.419122310324,9.3,26.3,11.3,20.2,0.207603420928791
"8",8,-12.2419471226745,2.1,26.2,15.9,18,0.286426467634448
"9",9,19.9461345556126,10.9,34.2,14.6,27.6,0.748756012885075
"10",10,18.3340406159759,5,26.6,16.8,23.3,1.06197816918947
"11",11,21.8124600131505,3,35,19.8,28.4,1.44510891437349
"12",12,13.7287839209402,-4,28.1,31.2,18,0.848309138053019
"13",13,26.4586492592369,-5,30.2,18.7,24,2.08383492746904
"14",14,16.1606751657116,3.8,25.4,14.1,18.6,0.333669357261846
"15",15,8.19540607249016,1,25.8,19.8,16.6,0.239166371185892
"16",16,-33.4180912971079,7.3,32.2,18.9,27,0.134390443714859
"17",17,-5.45794885986058,-3,16.6,15.9,10,0.53110261755516
"18",18,21.0344108025998,6,34.5,20.8,25.7,1.20813936052021
"19",19,23.8349334583978,6,36.6,18.5,28.7,1.15744770778047
"20",20,19.1648387802592,6,36.8,21.2,27.3,1.02769068597749
"21",21,19.870321611938,4.3,36.3,18.5,28.7,1.44751862478431
"22",22,23.3052171478392,10,35.1,17.9,27.1,0.809458893375822
"23",23,10.8061839195514,-5,16,18,0.9,0.455577684912232
"24",24,47.6514572303737,15,40,20.4,32.1,3.83242938929271
"25",25,8.74496632692959,20,36.7,16.4,30.3,0.840338424259907
"26",26,7.55181174120381,7,34.8,18.3,25.3,0.382275326718857
"27",27,12.7577134823327,10.3,31.4,13.8,25,0.394301953163964
"28",28,-2.15780524841446,-1,30.4,25.9,5.8,0.31552125635312
"29",29,-114.424812111468,10,39.4,25.7,24,0.12578098123606
"30",30,10.818870278899,4,23,17.5,15.6,0.655975786835276
"31",31,4.47196906674254,4,22.9,16.8,16.2,0.59035775153198
"32",32,-52.4941961513028,4,25.8,14.8,19.2,0.855160347369031
"33",33,24.4180323643962,1,21.7,15,17.7,0.367839481974079
"34",34,-63.9355421831029,10.5,31,12.2,28.7,0.554396051753318
"35",35,-52.5519945460629,10.5,31,12.1,29,0.523214106786164
"36",36,-57.61327499981,10.7,35,16,27.7,0.552235316435581
"37",37,-69.9505466257945,7.7,30.7,12.2,28.4,0.60396361906417
"38",38,21.3151946674388,-1,27.6,21.2,20.5,1.26158935460664
"39",39,-16.0051247942546,-5,7.1,10.6,2.3,0.206392795608269
"40",40,25.4893009697362,20,33.2,11,23.8,0.327421103913929
"41",41,23.8442925436663,3,26.7,22.4,21.5,0.842314442520207
"42",42,20.8418763587154,5,32.9,20.9,23.6,0.437954696621408
"43",43,15.5044644636938,14.2,35.2,14.1,27.8,0.300981006655349
"44",44,-87.7296020589318,4,32.9,24.2,21.6,0.774370552957146
"45",45,14.740842713905,-3,19.9,20,6.8,0.565984069748556
"46",46,30.7341952591213,-6.8,15.3,17.1,8.8,0.775059745413068
"47",47,6.99025111780159,5,26.7,21,21.5,1.19978408036991
"48",48,47.464373162806,7.5,30.2,14.3,23.4,0.794087029323125
"49",49,4.46821326161763,5.3,26.1,13.4,22.2,0.42817491426101
"50",50,19.7336064833604,1,26.2,15.4,21.5,1.11213463676223
"51",51,6.05827738314988,1,27,16.8,20.3,0.925039284652849
"52",52,52.7647621119903,2,28.4,18.3,21.6,0.707166489258753
"53",53,6.62260931251353,1,30.3,17.7,22.7,1.11072764078466
"54",54,14.5528407488595,5.2,27.8,13.1,24.8,0.972902839759114
"55",55,0.456459495650394,7.6,28.9,13.9,24.2,0.841338060927735
"56",56,38.8895292915675,1,27.2,24.3,17.8,0.739218728562558
"57",57,18.9395002954488,3,26.3,13,24.1,3.16989981113878
"58",58,29.8086782593095,0,26.7,20.4,19.4,1.30595980354768
"59",59,7.22173089062229,5,32.3,24.4,22,0.444276695195751
"60",60,-32.7843254091818,4.4,34.6,20.2,23.8,0.296373739399346
"61",61,-9.98966234756603,7.8,32.1,16.1,23.6,0.398720369925431
"62",62,-13.3912788817692,9.1,31.8,15.3,23.5,0.318758485738672
"63",63,4.59463000302176,-5,10.2,14.3,3.9,0.514602032845341
"64",64,-20.264751636528,-5,8,10.4,3.5,0.466111528262754
"65",65,4.59524545682986,4.1,30.2,16,22.7,1.01077007923727
"66",66,13.9008396956577,12.3,32,16.5,27.1,1.08846552598535
"67",67,29.1391347017976,12.3,30.9,14.1,27.8,1.24569091431875
"68",68,5.5036096797319,7.7,25.3,11.9,21.2,0.39626786811423
"69",69,-15.1818815751473,9.3,29.5,13.4,23.9,0.349603223205409
"70",70,-56.9884325335195,8,32.8,16.7,23.9,0.202205870444677
"71",71,-1.83947422969967,-5,11.9,14.4,-0.8,0.274409046566787
"72",72,-22.8131673001879,15.2,32.2,11.3,26.2,0.769431250493894
"73",73,-24.6037897862013,13.8,32.8,12.4,26.4,1.11662991482294
"74",74,22.8570765095328,6.4,32.4,16.4,25.2,0.781375899906427
"75",75,22.1099277027479,0,29.9,25.6,20.2,0.863814378227529
"76",76,49.8077433878362,3,28.4,19.8,20.3,0.896466054658716
"77",77,13.9572121269078,5,32.1,19.3,26.7,0.754189077904669
"78",78,-2.12704925252296,7.8,35.1,16.6,28,0.850816517512707
"79",79,36.0768603061727,5,27.1,16.2,21.8,0.974873996189471
"80",80,6.84015647227329,5,35.8,24.2,24.3,0.407418897680846
"81",81,-27.4196478705665,11,31.5,13.9,23.8,0.196509844012551
"82",82,-14.3658894358938,9.7,29.7,13.7,22,0.131076951897089
"83",83,20.2488658629202,5.8,30.8,16.4,25.6,0.502889253291523
"84",84,8.17142860167866,2,27.5,19.6,20.7,0.405443842008459
"85",85,-5.59130885074464,-1,30.5,27.9,16.4,0.186478075891949
"86",86,18.2248625687488,0,20.7,17.5,12.5,0.199700611779138
"87",87,-26.0724004254515,10.7,31.3,12.5,29.6,0.169915992838798
"88",88,-23.532872822819,15,32.1,11.4,26.5,0.389442860193442
