Name,N.µg.l,P.µg.l
1,516.83,101.64
1,519.83,102.51
2,196.54,45.03
2,193.07,44.83
3,149.22,31.3
3,149.58,31.52
4,255.25,58.36
4,255.99,58.61
5,198.84,38.8
5,195.61,38.59
6,289.12,63.35
6,289.38,61.65
7,491.25,90.1
7,490.11,90.04
8,277.51,57.45
8,278.08,57.29
9,265.14,45.69
9,267.85,45.48
10,326.89,70.48
10,326.81,70.12
11,277.12,46.45
11,276.49,46.72
14,541.83,124.35
14,544.31,126.07
15,468.19,97.71
15,466.61,98.11
16,298,56.03
16,296.9,57.57
17,399.35,104.02
17,402.78,104.71
18,509.83,94.29
18,512.45,94.08
19,306.92,59.09
19,304.22,58.75
20,396.17,76.9
20,397.86,76.76
21,626.08,171.74
21,630.08,172.54
22,335.37,82.78
22,331.01,82.81
23,351,71.63
23,352.26,71.17
24,189.47,36.78
24,183.07,36.54
25,385.86,73.41
25,389.07,75.35
26,427.04,79.38
26,427.54,80.03
27,315.28,60.16
27,314.64,59.66
28,329.75,77.23
28,330.75,77.34
29,440.39,93.95
29,439.59,94.49
30,461.62,91.28
30,462.06,89.95
31,207.88,40.2
31,212.11,40.15
32,439.85,108.72
32,442.6,109.26
33,371.29,79.09
33,370.09,78.69
35,418.63,128.95
35,425.14,130.26
36,333.77,70.22
36,331.39,70.3
37,386.18,82.06
37,387.1,79.94
38,297.99,75.23
38,297.65,75.01
39,497.36,113.52
39,500,117.8
40,253.62,47.57
40,251.74,47.52
