"","Sp.id","P.conc","Parameter","mean","Rhat","n.eff"
"1","Ankistrodesmus",30,"cf.a",0.0275639755680749,1.00412984891391,1200
"2","Ankistrodesmus",30,"cf.b",-0.667306048744385,1.00113829989032,3000
"3","Ankistrodesmus",30,"cf.delta_t",2.8063040137538,1.00235460602927,1100
"4","Ankistrodesmus",30,"cf.sigma",0.127289200820741,1.00097472094628,3000
"5","Ankistrodesmus",30,"cf.tmax",37.1496365203557,1.0026910247262,910
"6","Ankistrodesmus",30,"deviance",-21.4464579167475,1.00203011170957,1300
"7","Chlamydomonas",30,"cf.a",0.0472838772873468,1.00073224878001,3000
"8","Chlamydomonas",30,"cf.b",-0.475120351088829,1.00069185448816,3000
"9","Chlamydomonas",30,"cf.delta_t",7.33497003727524,1.00178160698743,2300
"10","Chlamydomonas",30,"cf.sigma",0.542851858447527,1.00064512863287,3000
"11","Chlamydomonas",30,"cf.tmax",40.3815279998906,1.00084010762234,3000
"12","Chlamydomonas",30,"deviance",22.52229303325,1.00173116285519,1600
"13","Chlorella",30,"cf.a",0.074078302527532,1.00233529006163,1300
"14","Chlorella",30,"cf.b",-1.77458720422411,1.00217032231962,1500
"15","Chlorella",30,"cf.delta_t",6.59479300591156,1.00078470879705,3000
"16","Chlorella",30,"cf.sigma",0.421049131255177,1.0013425838906,2400
"17","Chlorella",30,"cf.tmax",41.6581724152622,1.0009935335872,3000
"18","Chlorella",30,"deviance",14.8889652917632,1.00135849313722,2300
"19","Monoraphidium",30,"cf.a",0.0469218782446009,1.00504697874676,470
"20","Monoraphidium",30,"cf.b",-1.09845901805597,1.00186582434308,1500
"21","Monoraphidium",30,"cf.delta_t",4.26749833643994,1.00276135184666,890
"22","Monoraphidium",30,"cf.sigma",0.448569793989023,1.00143860970038,2100
"23","Monoraphidium",30,"cf.tmax",41.3594017257516,1.00053753704352,3000
"24","Monoraphidium",30,"deviance",16.7293727455507,1.00119759178644,2900
