"","Grad","Sp.id","Temp","Parameter","mean","Rhat","n.eff"
"1","Phosphorous limitation","Ankistrodesmus",20,"K_s",0.022535121387192,1.0007997849823,3000
"2","Phosphorous limitation","Ankistrodesmus",20,"deviance",-7.27676072697304,1.0006205626142,3000
"3","Phosphorous limitation","Ankistrodesmus",20,"r_max",0.816982447098274,1.00107259850011,3000
"4","Phosphorous limitation","Ankistrodesmus",20,"sigma",0.222193395543783,1.00086938888137,3000
"5","Phosphorous limitation","Chlamydomonas",20,"K_s",0.362147719056995,1.00150519047734,2000
"6","Phosphorous limitation","Chlamydomonas",20,"deviance",46.5322303924457,1.00112959192011,3000
"7","Phosphorous limitation","Chlamydomonas",20,"r_max",1.37584463027174,1.00072589802311,3000
"8","Phosphorous limitation","Chlamydomonas",20,"sigma",0.501745906124757,1.00081168285009,3000
"9","Phosphorous limitation","Chlorella",20,"K_s",0.445858456264561,1.00069937302128,3000
"10","Phosphorous limitation","Chlorella",20,"deviance",43.6796632662576,1.00143513272246,3000
"11","Phosphorous limitation","Chlorella",20,"r_max",1.11475923854626,1.00194099730926,1400
"12","Phosphorous limitation","Chlorella",20,"sigma",0.4708345074883,1.000673100851,3000
"13","Phosphorous limitation","Monoraphidium",20,"K_s",0.528957063153527,1.00095313108321,3000
"14","Phosphorous limitation","Monoraphidium",20,"deviance",0.00605635779322101,1.00161832961701,2900
"15","Phosphorous limitation","Monoraphidium",20,"r_max",1.06013483759494,1.00130553186523,2500
"16","Phosphorous limitation","Monoraphidium",20,"sigma",0.247251547142055,1.00053844109197,3000
"17","Phosphorous limitation","Scenedesmus",20,"K_s",0.993431151536662,1.00122961470794,2700
"18","Phosphorous limitation","Scenedesmus",20,"deviance",22.2818780465857,1.0028214183788,860
"19","Phosphorous limitation","Scenedesmus",20,"r_max",1.40821860121149,1.00118169808945,3000
"20","Phosphorous limitation","Scenedesmus",20,"sigma",0.354705472846034,1.00052025429688,3000
"21","Phosphorous limitation","Raphidocelis",20,"K_s",2.69236391986263,1.00190939997358,1400
"22","Phosphorous limitation","Raphidocelis",20,"deviance",32.3769252374169,1.00085413526986,3000
"23","Phosphorous limitation","Raphidocelis",20,"r_max",1.47681073680176,1.00081053433589,3000
"24","Phosphorous limitation","Raphidocelis",20,"sigma",0.47804389853809,1.00080751777126,3000
