Proben?,HPLC Nummer,chl.a,chl.b,luthein
3,1 ,3.7227,1.5001,0.3286
4,2 ,6.3650,2.4608,0.5562
5,3 ,8.2975,3.3961,0.6914
6,4 ,13.2136,5.6604,1.2522
7,5 ,5.6209,3.1514,0.7712
8,6 ,1.3731,0.6720,0.4053
9,7 ,10.1738,4.6335,0.9803
10,8 ,5.5987,2.3308,0.4556
11,9 ,8.9004,3.7189,0.8039
12,10 ,13.9976,5.6665,1.0837
13,11 ,10.7846,4.4457,0.9211
14,12 ,10.8110,4.6567,1.1109
15,13 ,18.0499,7.3412,1.5392
16,14 ,10.6618,5.0694,1.1162
17,15 ,9.6960,4.2179,0.9516
18,16 ,11.7904,5.8381,1.1723
19,17 ,12.1037,4.4552,0.8465
20,18 ,15.7937,6.8696,1.5510
21,19 ,11.0586,4.7862,0.9016
22,20 ,16.8956,6.8342,1.3136
23,21 ,19.9151,8.0828,1.4474
24,22 ,6.8897,3.5746,1.1638
25,23 ,14.7452,5.9852,1.0849
26,24 ,11.1480,4.8431,0.8231
27,25 ,18.4376,7.4864,1.2333
29,26 ,15.2657,6.5307,1.2002
30,27 ,15.4586,6.4414,1.3491
31,28 ,21.4494,10.5847,1.8334
32,29 ,12.4763,5.8848,0.9779
33,30 ,19.0778,8.4892,1.4824
34,31 ,21.2645,8.9895,1.5908
35,32 ,20.4920,8.5649,1.7583
36,33 ,22.8878,10.5834,1.6885
37,34 ,17.6916,8.0704,1.3892
38,35 ,14.6383,6.1433,1.0092
39,36 ,12.9969,7.3766,1.5142
40,37 ,9.5118,4.1490,0.7606
