"","Sp.id","Parameter","mean","Rhat","n.eff"
"1","Synechococcus","K_s",6.66215459815649,1.00115929224652,3000
"2","Synechococcus","deviance",10.4042800661593,1.00056614522853,3000
"3","Synechococcus","r_max",0.309566298222418,1.00063698830712,3000
"4","Synechococcus","sigma",0.286360894238112,1.00072586276709,3000
"5","Kirchneriella_subcapitata","K_s",0.367292429394751,1.0014217953383,3000
"6","Kirchneriella_subcapitata","deviance",7.2830844579122,1.00172573992317,1600
"7","Kirchneriella_subcapitata","r_max",0.540702229426777,1.00111710466104,3000
"8","Kirchneriella_subcapitata","sigma",0.269766288539327,1.00217523540379,1200
"9","Microcystis_aeruginosa","K_s",4.75100005972836,1.00073157789496,3000
"10","Microcystis_aeruginosa","deviance",-26.2518376593367,1.00057697398185,3000
"11","Microcystis_aeruginosa","r_max",0.176485413411769,1.00174898610826,1600
"12","Microcystis_aeruginosa","sigma",0.170052737402767,1.00230000758309,1100
"13","Pediastrum_boryanum","K_s",0.589557841620966,1.0008889365488,3000
"14","Pediastrum_boryanum","deviance",-35.8123864713085,1.00083225381667,3000
"15","Pediastrum_boryanum","r_max",0.370137865755896,1.00159307219879,2500
"16","Pediastrum_boryanum","sigma",0.157771366576047,1.00084619692127,3000
"17","Cyclotella_meneghiniana","K_s",3.79287038859224,1.00157527106508,1900
"18","Cyclotella_meneghiniana","deviance",45.9685663792226,1.00195132185199,1900
"19","Cyclotella_meneghiniana","r_max",0.478227469509584,1.00092868408993,3000
"20","Cyclotella_meneghiniana","sigma",0.452310128352236,1.00095210560681,3000
"21","Scenedesmus_acuminatus","K_s",0.177799114281035,1.00129824927834,3000
"22","Scenedesmus_acuminatus","deviance",-24.3278066083924,1.00055220099578,3000
"23","Scenedesmus_acuminatus","r_max",0.593488415757959,1.00239333169657,1100
"24","Scenedesmus_acuminatus","sigma",0.181876510064049,1.00109486380205,3000
"25","Chlamydomonas_reinhardtii","K_s",2.4284689071181,1.00277533922843,880
"26","Chlamydomonas_reinhardtii","deviance",2.7834331906961,1.00222707408601,2100
"27","Chlamydomonas_reinhardtii","r_max",0.965030884941333,1.00051790047202,3000
"28","Chlamydomonas_reinhardtii","sigma",0.304578212406678,1.00063011559093,3000
