"","Sp.id","light","id","r.exp"
"1","Synechococcus",0.15,"2.3",0.0424991847260139
"2","Synechococcus",0.15,"2.4",0.186513928641677
"3","Synechococcus",0.15,"1.1",0.0578439110165233
"4","Synechococcus",0.15,"1.2",0.0271533812199776
"5","Synechococcus",0.95,"2.3",-0.00901752511748652
"6","Synechococcus",0.95,"2.4",0.661933677739722
"7","Synechococcus",0.95,"1.1",0.0981410808035118
"8","Synechococcus",0.95,"1.2",0.0113493623991127
"9","Synechococcus",3.6,"2.3",NA
"10","Synechococcus",3.6,"2.4",-0.0247613836225406
"11","Synechococcus",3.6,"1.1",0.0571278655266394
"12","Synechococcus",3.6,"1.2",0.0276512773623019
"13","Synechococcus",6.8,"2.3",0.121112585148
"14","Synechococcus",6.8,"2.4",0.0610359148050678
"15","Synechococcus",6.8,"1.1",0.0562807208926205
"16","Synechococcus",6.8,"1.2",0.05756904026903
"17","Synechococcus",18.7,"2.3",0.128801350792735
"18","Synechococcus",18.7,"2.4",0.286591200868958
"19","Synechococcus",18.7,"1.1",0.250829014466664
"20","Synechococcus",18.7,"1.2",0.278391547524236
"21","Synechococcus",29.3,"2.3",0.349942888707496
"22","Synechococcus",29.3,"2.4",0.525080620638956
"23","Synechococcus",29.3,"1.1",0.579555705095384
"24","Synechococcus",29.3,"1.2",0.150027718093441
"25","Synechococcus",49.2,"2.3",0.314362458537239
"26","Synechococcus",49.2,"2.4",0.453456992255984
"27","Synechococcus",49.2,"1.1",0.395392960813231
"28","Synechococcus",49.2,"1.2",0.391145077204939
"29","Synechococcus",77.3,"2.3",1.28140265449679
"30","Synechococcus",77.3,"2.4",1.04105453724164
"31","Synechococcus",77.3,"1.1",0.480749005199768
"32","Synechococcus",77.3,"1.2",0.470291895574829
"33","Synechococcus",105.5,"2.3",0.531237869991447
"34","Synechococcus",105.5,"2.4",1.1297472307602
"35","Synechococcus",105.5,"1.1",0.534907917319906
"36","Synechococcus",105.5,"1.2",0.545545860311596
"37","Synechococcus",140.6,"1.1",0.417677281659255
"38","Synechococcus",140.6,"1.2",0.561934782181287
"39","Synechococcus",140.6,"2.3",0.730231011812859
"40","Synechococcus",140.6,"2.4",0.932999318258642
"41","Kirchneriella_subcapitata",0.15,"2.3",0.364989895487663
"42","Kirchneriella_subcapitata",0.15,"2.4",0.0736611400962482
"43","Kirchneriella_subcapitata",0.15,"1.2",-0.0575937150809234
"44","Kirchneriella_subcapitata",0.15,"1.1",0.0497393800144737
"45","Kirchneriella_subcapitata",0.95,"2.3",0.0865010932286919
"46","Kirchneriella_subcapitata",0.95,"2.4",0.186513927325218
"47","Kirchneriella_subcapitata",0.95,"1.2",-0.0712164699208119
"48","Kirchneriella_subcapitata",0.95,"1.1",-0.0177222646085939
"49","Kirchneriella_subcapitata",3.6,"2.3",0.272752585049518
"50","Kirchneriella_subcapitata",3.6,"2.4",0.0879507736357352
"51","Kirchneriella_subcapitata",3.6,"1.2",0.267710791622197
"52","Kirchneriella_subcapitata",3.6,"1.1",0.167146911345465
"53","Kirchneriella_subcapitata",6.8,"2.3",0.225949436037184
"54","Kirchneriella_subcapitata",6.8,"2.4",0.15013957266533
"55","Kirchneriella_subcapitata",6.8,"1.2",0.293769299693106
"56","Kirchneriella_subcapitata",6.8,"1.1",0.19136610617208
"57","Kirchneriella_subcapitata",18.7,"2.3",0.462885079290714
"58","Kirchneriella_subcapitata",18.7,"2.4",0.294246656114514
"59","Kirchneriella_subcapitata",18.7,"1.2",0.250297150767597
"60","Kirchneriella_subcapitata",18.7,"1.1",0.248977843294748
"61","Kirchneriella_subcapitata",29.3,"2.3",0.429637546233317
"62","Kirchneriella_subcapitata",29.3,"2.4",0.454567657319172
"63","Kirchneriella_subcapitata",29.3,"1.2",0.550935981799312
"64","Kirchneriella_subcapitata",29.3,"1.1",0.717031886483228
"65","Kirchneriella_subcapitata",49.2,"2.3",0.457200421188516
"66","Kirchneriella_subcapitata",49.2,"2.4",0.460438471696031
"67","Kirchneriella_subcapitata",49.2,"1.2",0.450330450306482
"68","Kirchneriella_subcapitata",49.2,"1.1",0.574179119867424
"69","Kirchneriella_subcapitata",77.3,"2.3",0.273026867314347
"70","Kirchneriella_subcapitata",77.3,"2.4",0.44126110055072
"71","Kirchneriella_subcapitata",77.3,"1.2",0.55403683716175
"72","Kirchneriella_subcapitata",77.3,"1.1",0.463126704604806
"73","Kirchneriella_subcapitata",105.5,"2.3",0.621518075312647
"74","Kirchneriella_subcapitata",105.5,"2.4",0.649175935682208
"75","Kirchneriella_subcapitata",105.5,"1.2",0.570125752275521
"76","Kirchneriella_subcapitata",105.5,"1.1",0.570824303293663
"77","Kirchneriella_subcapitata",140.6,"1.1",0.728378870180862
"78","Kirchneriella_subcapitata",140.6,"1.2",0.724428806460604
"79","Kirchneriella_subcapitata",140.6,"2.4",0.572799767976764
"80","Kirchneriella_subcapitata",140.6,"2.3",0.500582798580133
"81","Microcystis_aeruginosa",0.15,"2.3",0.160485998485931
"82","Microcystis_aeruginosa",0.15,"2.4",0.234093493646041
"83","Microcystis_aeruginosa",0.15,"1.2",0.121854149934735
"84","Microcystis_aeruginosa",0.15,"1.1",0.0762150736222551
"85","Microcystis_aeruginosa",0.95,"2.3",0.13413087272384
"86","Microcystis_aeruginosa",0.95,"2.4",0.0392778464279493
"87","Microcystis_aeruginosa",0.95,"1.2",0.143039396972999
"88","Microcystis_aeruginosa",0.95,"1.1",-0.0324665500929107
"89","Microcystis_aeruginosa",3.6,"2.3",0.505120352651464
"90","Microcystis_aeruginosa",3.6,"2.4",0.124107061258746
"91","Microcystis_aeruginosa",3.6,"1.2",-0.0323661164395933
"92","Microcystis_aeruginosa",3.6,"1.1",-0.0522123696812289
"93","Microcystis_aeruginosa",6.8,"2.3",0.035415190489441
"94","Microcystis_aeruginosa",6.8,"2.4",-0.0343863648259982
"95","Microcystis_aeruginosa",6.8,"1.2",-0.0347252708445733
"96","Microcystis_aeruginosa",6.8,"1.1",-0.0205801238235593
"97","Microcystis_aeruginosa",18.7,"2.3",0.217545216898666
"98","Microcystis_aeruginosa",18.7,"2.4",0.0491232271914982
"99","Microcystis_aeruginosa",18.7,"1.2",0.0788672695278905
"100","Microcystis_aeruginosa",18.7,"1.1",0.228457311657655
"101","Microcystis_aeruginosa",29.3,"2.3",0.216584262647901
"102","Microcystis_aeruginosa",29.3,"2.4",0.191175307788477
"103","Microcystis_aeruginosa",29.3,"1.2",0.311905369516714
"104","Microcystis_aeruginosa",29.3,"1.1",0.170457809992308
"105","Microcystis_aeruginosa",49.2,"2.3",0.288273775781159
"106","Microcystis_aeruginosa",49.2,"2.4",0.378468853908061
"107","Microcystis_aeruginosa",49.2,"1.2",0.256601431064439
"108","Microcystis_aeruginosa",49.2,"1.1",0.196740306899765
"109","Microcystis_aeruginosa",77.3,"2.3",0.300702075941304
"110","Microcystis_aeruginosa",77.3,"2.4",0.205147862694371
"111","Microcystis_aeruginosa",77.3,"1.2",0.139560398784429
"112","Microcystis_aeruginosa",77.3,"1.1",0.193961881976066
"113","Microcystis_aeruginosa",105.5,"2.3",0.168669104838676
"114","Microcystis_aeruginosa",105.5,"2.4",0.276227721659901
"115","Microcystis_aeruginosa",105.5,"1.2",0.0645906095247468
"116","Microcystis_aeruginosa",105.5,"1.1",0.147522317212917
"117","Microcystis_aeruginosa",140.6,"1.1",0.18964189548633
"118","Microcystis_aeruginosa",140.6,"1.2",0.188226411131409
"119","Microcystis_aeruginosa",140.6,"2.4",0.108935938070713
"120","Microcystis_aeruginosa",140.6,"2.3",0.376302716875696
"121","Pediastrum_boryanum",0.15,"2.3",0.0411230150728619
"122","Pediastrum_boryanum",0.15,"2.4",0.0301185444996905
"123","Pediastrum_boryanum",0.15,"1.1",0.129756123506896
"124","Pediastrum_boryanum",0.15,"1.2",0.0415531828711028
"125","Pediastrum_boryanum",0.95,"2.3",0.0333193391266627
"126","Pediastrum_boryanum",0.95,"2.4",0.607793877592948
"127","Pediastrum_boryanum",0.95,"1.1",0.0177570857984213
"128","Pediastrum_boryanum",0.95,"1.2",0.0879507737203684
"129","Pediastrum_boryanum",3.6,"2.3",-0.0524894435721046
"130","Pediastrum_boryanum",3.6,"2.4",0.233688864156287
"131","Pediastrum_boryanum",3.6,"1.1",0.0583664649236209
"132","Pediastrum_boryanum",3.6,"1.2",0.137561545821929
"133","Pediastrum_boryanum",6.8,"2.3",0.209627395721611
"134","Pediastrum_boryanum",6.8,"2.4",0.0757305309037753
"135","Pediastrum_boryanum",6.8,"1.1",0.116376320335561
"136","Pediastrum_boryanum",6.8,"1.2",0.0718452191332988
"137","Pediastrum_boryanum",18.7,"2.3",0.167146913468863
"138","Pediastrum_boryanum",18.7,"2.4",0.133465353211442
"139","Pediastrum_boryanum",18.7,"1.1",0.128773741906152
"140","Pediastrum_boryanum",18.7,"1.2",0.130032628920327
"141","Pediastrum_boryanum",29.3,"2.3",0.335813727569654
"142","Pediastrum_boryanum",29.3,"2.4",0.336353652814165
"143","Pediastrum_boryanum",29.3,"1.1",0.164003775006284
"144","Pediastrum_boryanum",29.3,"1.2",0.195327727723124
"145","Pediastrum_boryanum",49.2,"2.3",0.346005255678481
"146","Pediastrum_boryanum",49.2,"2.4",0.614423987337578
"147","Pediastrum_boryanum",49.2,"1.1",0.265753860326881
"148","Pediastrum_boryanum",49.2,"1.2",0.398733750109706
"149","Pediastrum_boryanum",77.3,"2.3",0.248231127443001
"150","Pediastrum_boryanum",77.3,"2.4",0.364524984182512
"151","Pediastrum_boryanum",77.3,"1.1",0.386329751750656
"152","Pediastrum_boryanum",77.3,"1.2",0.377413641029431
"153","Pediastrum_boryanum",105.5,"2.3",0.63553283696012
"154","Pediastrum_boryanum",105.5,"2.4",0.51952328161923
"155","Pediastrum_boryanum",105.5,"1.1",0.573322458579668
"156","Pediastrum_boryanum",105.5,"1.2",0.385015252387199
"157","Pediastrum_boryanum",140.6,"1.1",0.632169845441952
"158","Pediastrum_boryanum",140.6,"1.2",0.592369437513967
"159","Pediastrum_boryanum",140.6,"2.3",0.414319041515195
"160","Pediastrum_boryanum",140.6,"2.4",0.64483756755321
"161","Cyclotella_meneghiniana",0.15,"2.3",0.108683186711284
"162","Cyclotella_meneghiniana",0.15,"2.4",0.105057917945337
"163","Cyclotella_meneghiniana",0.15,"1.1",0.176703684320892
"164","Cyclotella_meneghiniana",0.15,"1.2",0.17846920045346
"165","Cyclotella_meneghiniana",0.95,"2.3",0.0754535264595664
"166","Cyclotella_meneghiniana",0.95,"2.4",0.134031917891825
"167","Cyclotella_meneghiniana",0.95,"1.1",0.170118778166362
"168","Cyclotella_meneghiniana",0.95,"1.2",0.0604694663645082
"169","Cyclotella_meneghiniana",3.6,"2.3",0.296300896757433
"170","Cyclotella_meneghiniana",3.6,"2.4",0.135222581117273
"171","Cyclotella_meneghiniana",3.6,"1.1",0.129010296813688
"172","Cyclotella_meneghiniana",3.6,"1.2",0.132737973929881
"173","Cyclotella_meneghiniana",6.8,"2.3",0.208482369105617
"174","Cyclotella_meneghiniana",6.8,"2.4",0.121112585342752
"175","Cyclotella_meneghiniana",6.8,"1.1",0.241243315755231
"176","Cyclotella_meneghiniana",6.8,"1.2",0.111099320583648
"177","Cyclotella_meneghiniana",18.7,"2.3",0.0881817493395165
"178","Cyclotella_meneghiniana",18.7,"2.4",0.226766781590746
"179","Cyclotella_meneghiniana",18.7,"1.1",0.142209305865558
"180","Cyclotella_meneghiniana",18.7,"1.2",0.161532398044003
"181","Cyclotella_meneghiniana",29.3,"2.3",0.359037019944788
"182","Cyclotella_meneghiniana",29.3,"2.4",0.0691831260062419
"183","Cyclotella_meneghiniana",29.3,"1.1",0.185722527406039
"184","Cyclotella_meneghiniana",29.3,"1.2",0.0939305732009426
"185","Cyclotella_meneghiniana",49.2,"2.3",0.395996886532796
"186","Cyclotella_meneghiniana",49.2,"2.4",0.353440030524128
"187","Cyclotella_meneghiniana",49.2,"1.1",0.196740306223457
"188","Cyclotella_meneghiniana",49.2,"1.2",0.342474107184027
"189","Cyclotella_meneghiniana",77.3,"2.3",0.345993020766681
"190","Cyclotella_meneghiniana",77.3,"2.4",0.362602516251782
"191","Cyclotella_meneghiniana",77.3,"1.1",0.156173805073386
"192","Cyclotella_meneghiniana",77.3,"1.2",0.399459214411023
"193","Cyclotella_meneghiniana",105.5,"2.3",0.447003838357217
