"","population","population.number","nitrate.lvl","well.ID","r.exp"
"1","1",1,5,"B09_1",0.882821365848746
"2","1",1,5,"C06_1",1.12055736747967
"3","1",1,5,"E02_1",0.946828171942306
"4","1",1,5,"F11_1",0.552151619784462
"5","1",1,10,"B09_4",0.767808468919243
"6","1",1,10,"C06_4",0.805169895581851
"7","1",1,10,"E02_4",0.844019366135949
"8","1",1,10,"F11_4",0.830787499239442
"9","1",1,20,"B09_7",0.832276561860245
"10","1",1,20,"C06_7",0.889202547157047
"11","1",1,20,"E02_7",0.993353959112437
"12","1",1,20,"F11_7",0.967402319684045
"13","1",1,40,"B09_10",1.0600510657306
"14","1",1,40,"C06_10",1.09627011419297
"15","1",1,40,"E02_10",1.21438017343801
"16","1",1,40,"F11_10",1.25735105149725
"17","1",1,60,"B09_13",1.12597801869477
"18","1",1,60,"C06_13",1.1799261338113
"19","1",1,60,"E02_13",1.26889917010291
"20","1",1,60,"F11_13",1.34036565418532
"21","1",1,80,"B09_16",1.57036649252497
"22","1",1,80,"C06_16",1.36493860958973
"23","1",1,80,"E02_16",1.66695748559945
"24","1",1,80,"F11_16",1.4809681350001
"25","1",1,100,"B09_19",1.48600058432238
"26","1",1,100,"C06_19",1.57175171893932
"27","1",1,100,"E02_19",1.251151918901
"28","1",1,100,"F11_19",1.22388202262308
"29","1",1,400,"B09_22",1.86134151151221
"30","1",1,400,"C06_22",1.49393163698489
"31","1",1,400,"E02_22",1.54700592134531
"32","1",1,400,"F11_22",1.48498916802722
"33","1",1,600,"B09_25",1.28435531995572
"34","1",1,600,"C06_25",1.37808497198442
"35","1",1,600,"E02_25",1.61760326648946
"36","1",1,600,"F11_25",1.22581593794107
"37","1",1,1000,"B09_28",1.56821055942906
"38","1",1,1000,"C06_28",1.48733207764239
"39","1",1,1000,"E02_28",1.38236475386148
"40","1",1,1000,"F11_28",1.6217200409302
"41","10",2,5,"C02_3",0.955909993779241
"42","10",2,5,"D05_3",1.1258199522688
"43","10",2,5,"D11_3",0.585125851619749
"44","10",2,5,"F08_3",0.617088787832875
"45","10",2,10,"C02_6",0.785544929796089
"46","10",2,10,"D05_6",1.32588828501253
"47","10",2,10,"D11_6",0.818619708112794
"48","10",2,10,"F08_6",1.12953379344427
"49","10",2,20,"C02_9",0.690336300363854
"50","10",2,20,"D05_9",0.809884810544694
"51","10",2,20,"D11_9",0.877773219143678
"52","10",2,20,"F08_9",0.985143333129128
"53","10",2,40,"C02_12",1.10102113111706
"54","10",2,40,"D05_12",1.02719900346826
"55","10",2,40,"D11_12",1.04873086446963
"56","10",2,40,"F08_12",1.1520175626076
"57","10",2,60,"C02_15",1.18365054300036
"58","10",2,60,"D05_15",1.20755182094875
"59","10",2,60,"D11_15",1.32649238755062
"60","10",2,60,"F08_15",1.27090002932538
"61","10",2,80,"C02_18",1.50085049511668
"62","10",2,80,"D05_18",1.27577215092333
"63","10",2,80,"D11_18",1.78940478161569
"64","10",2,80,"F08_18",1.46736152416138
"65","10",2,100,"C02_21",1.82963094251458
"66","10",2,100,"D05_21",1.24534047472301
"67","10",2,100,"D11_21",1.60161818805038
"68","10",2,100,"F08_21",1.22317364605232
"69","10",2,400,"C02_24",1.49349368282345
"70","10",2,400,"D05_24",1.56702167280504
"71","10",2,400,"D11_24",1.31756823830108
"72","10",2,400,"F08_24",1.61040096898626
"73","10",2,600,"C02_27",1.32246471887512
"74","10",2,600,"D05_27",1.23213070923875
"75","10",2,600,"D11_27",1.27826346511314
"76","10",2,600,"F08_27",1.25652867707342
"77","10",2,1000,"C02_30",1.57186923484444
"78","10",2,1000,"D05_30",1.15969293491361
"79","10",2,1000,"D11_30",1.17440472960825
"80","10",2,1000,"F08_30",1.20026299063567
"81","11",3,5,"B07_1",0.836993568383445
"82","11",3,5,"C07_1",0.881607721361884
"83","11",3,5,"D11_1",0.895740106634078
"84","11",3,5,"G02_1",1.03096161798814
"85","11",3,10,"B07_4",1.05347317547072
"86","11",3,10,"C07_4",0.78033971790488
"87","11",3,10,"D11_4",0.944718487271458
"88","11",3,10,"G02_4",1.06204253158055
"89","11",3,20,"B07_7",1.04891202515141
"90","11",3,20,"C07_7",1.35396507162542
"91","11",3,20,"D11_7",1.30881413293994
"92","11",3,20,"G02_7",1.21231304806309
"93","11",3,40,"B07_10",1.09355444913024
"94","11",3,40,"C07_10",1.20992325751487
"95","11",3,40,"D11_10",1.49425532909768
"96","11",3,40,"G02_10",1.22328973733255
"97","11",3,60,"B07_13",1.31561332560539
"98","11",3,60,"C07_13",1.64467955946832
"99","11",3,60,"D11_13",1.69760408764249
"100","11",3,60,"G02_13",1.46671656351305
"101","11",3,80,"B07_16",1.83474899198865
"102","11",3,80,"C07_16",1.59898220966634
"103","11",3,80,"D11_16",1.82896479048243
"104","11",3,80,"G02_16",1.62763708551022
"105","11",3,100,"B08_19",1.68343671800289
"106","11",3,100,"C11_19",1.60605731063217
"107","11",3,100,"E07_19",1.46373273938451
"108","11",3,100,"F05_19",1.28742995649349
"109","11",3,400,"B07_22",1.90922447540956
"110","11",3,400,"C07_22",1.52862411337522
"111","11",3,400,"D11_22",1.62926364366394
"112","11",3,400,"G02_22",1.48292195529783
"113","11",3,600,"B07_25",1.29010798275829
"114","11",3,600,"C07_25",1.34727902226852
"115","11",3,600,"D11_25",1.27089495291483
"116","11",3,600,"G02_25",1.5431520048337
"117","11",3,1000,"B07_28",1.51066007162157
"118","11",3,1000,"C07_28",1.5603197737484
"119","11",3,1000,"D11_28",1.32548313214849
"120","11",3,1000,"G02_28",1.6268903340392
"121","14",4,5,"B04_1",0.622236098530473
"122","14",4,5,"D06_1",0.784426289603355
"123","14",4,5,"D09_1",0.713105266786678
"124","14",4,5,"F08_1",0.98638173255442
"125","14",4,10,"B04_4",0.717032698019698
"126","14",4,10,"D06_4",0.813356064834745
"127","14",4,10,"D09_4",0.917361294088352
"128","14",4,10,"F08_4",0.737069531267818
"129","14",4,20,"B04_7",1.04394192434568
"130","14",4,20,"D06_7",1.0635783056893
"131","14",4,20,"D09_7",0.943195831058046
"132","14",4,20,"F08_7",0.824037643320438
"133","14",4,40,"B04_10",1.09573111389897
"134","14",4,40,"D06_10",0.998309465097333
"135","14",4,40,"D09_10",1.2200747499682
"136","14",4,40,"F08_10",1.08335751546996
"137","14",4,60,"B04_13",1.18179709108116
"138","14",4,60,"D06_13",1.16822844272116
"139","14",4,60,"D09_13",1.34992546952099
"140","14",4,60,"F08_13",1.17239604250447
"141","14",4,80,"B04_16",1.50131562186869
"142","14",4,80,"D06_16",1.38620139860726
"143","14",4,80,"D09_16",1.42982392777932
"144","14",4,80,"F08_16",1.53495304701659
"145","14",4,100,"B04_19",1.80153437521165
"146","14",4,100,"D06_19",1.45809539012779
"147","14",4,100,"D09_19",1.69178846049721
"148","14",4,100,"F08_19",1.5434238137866
"149","14",4,400,"B04_22",1.66342649769898
"150","14",4,400,"D06_22",1.55997481438214
"151","14",4,400,"D09_22",1.43715257885733
"152","14",4,400,"F08_22",1.48820787847447
"153","14",4,600,"B04_25",1.43411714835811
"154","14",4,600,"D06_25",1.22657012734634
"155","14",4,600,"D09_25",1.21324081599503
"156","14",4,600,"F08_25",1.27495778552272
