"","population","population.number","nitrate.lvl","well.ID","r.exp"
"1","1",1,5,"B09_1",0.882821365834847
"2","1",1,5,"C06_1",1.12055736765952
"3","1",1,5,"E02_1",0.946828171994426
"4","1",1,5,"F11_1",0.552151619765156
"5","1",1,10,"B09_4",0.767808469404946
"6","1",1,10,"C06_4",0.805169895170956
"7","1",1,10,"E02_4",0.844019365374099
"8","1",1,10,"F11_4",0.830787499126514
"9","1",1,20,"B09_7",0.832276561910667
"10","1",1,20,"C06_7",0.889202547208329
"11","1",1,20,"E02_7",0.993353958908671
"12","1",1,20,"F11_7",0.967402320121878
"13","1",1,40,"B09_10",1.06005106564083
"14","1",1,40,"C06_10",1.09627011491346
"15","1",1,40,"E02_10",1.21438017264156
"16","1",1,40,"F11_10",1.25735105120772
"17","1",1,60,"B09_13",1.12597801927628
"18","1",1,60,"C06_13",1.17992613362617
"19","1",1,60,"E02_13",1.26889916946708
"20","1",1,60,"F11_13",1.34036565435965
"21","1",1,80,"B09_16",1.57036649178097
"22","1",1,80,"C06_16",1.36493861086714
"23","1",1,80,"E02_16",1.66695748510118
"24","1",1,80,"F11_16",1.48096813427745
"25","1",1,100,"B09_19",1.48600058336761
"26","1",1,100,"C06_19",1.57175171923574
"27","1",1,100,"E02_19",1.25115191906133
"28","1",1,100,"F11_19",1.2238820227257
"29","1",1,400,"B09_22",1.86134151219895
"30","1",1,400,"C06_22",1.49393163712277
"31","1",1,400,"E02_22",1.54700592159379
"32","1",1,400,"F11_22",1.48498916719096
"33","1",1,600,"B09_25",1.28435532001539
"34","1",1,600,"C06_25",1.37808497233718
"35","1",1,600,"E02_25",1.61760326623181
"36","1",1,600,"F11_25",1.22581593913268
"37","1",1,1000,"B09_28",1.56821055945031
"38","1",1,1000,"C06_28",1.48733207993913
"39","1",1,1000,"E02_28",1.38236475347037
"40","1",1,1000,"F11_28",1.62172004126052
"41","10",2,5,"C02_3",0.955909994270021
"42","10",2,5,"D05_3",1.1258199513011
"43","10",2,5,"D11_3",0.585125851855147
"44","10",2,5,"F08_3",0.617088786858706
"45","10",2,10,"C02_6",0.785544929094654
"46","10",2,10,"D05_6",1.32588828549536
"47","10",2,10,"D11_6",0.818619708218025
"48","10",2,10,"F08_6",1.12953379367604
"49","10",2,20,"C02_9",0.690336300750217
"50","10",2,20,"D05_9",0.809884810453151
"51","10",2,20,"D11_9",0.877773218904496
"52","10",2,20,"F08_9",0.985143333130207
"53","10",2,40,"C02_12",1.10102113099942
"54","10",2,40,"D05_12",1.02719900400573
"55","10",2,40,"D11_12",1.04873086653034
"56","10",2,40,"F08_12",1.15201756294072
"57","10",2,60,"C02_15",1.18365054043691
"58","10",2,60,"D05_15",1.20755182006828
"59","10",2,60,"D11_15",1.32649238903929
"60","10",2,60,"F08_15",1.27090002921451
"61","10",2,80,"C02_18",1.50085049420597
"62","10",2,80,"D05_18",1.27577215083241
"63","10",2,80,"D11_18",1.78940478178306
"64","10",2,80,"F08_18",1.46736152348084
"65","10",2,100,"C02_21",1.82963094504856
"66","10",2,100,"D05_21",1.24534047480965
"67","10",2,100,"D11_21",1.60161818790269
"68","10",2,100,"F08_21",1.22317364581537
"69","10",2,400,"C02_24",1.4934936833624
"70","10",2,400,"D05_24",1.56702167376114
"71","10",2,400,"D11_24",1.31756823841384
"72","10",2,400,"F08_24",1.61040096872643
"73","10",2,600,"C02_27",1.32246472022806
"74","10",2,600,"D05_27",1.23213070925903
"75","10",2,600,"D11_27",1.27826346509984
"76","10",2,600,"F08_27",1.25652867712316
"77","10",2,1000,"C02_30",1.57186923401483
"78","10",2,1000,"D05_30",1.15969293509295
"79","10",2,1000,"D11_30",1.17440472892879
"80","10",2,1000,"F08_30",1.2002629905033
"81","11",3,5,"B07_1",0.836993568232979
"82","11",3,5,"C07_1",0.881607721248414
"83","11",3,5,"D11_1",0.895740106536696
"84","11",3,5,"G02_1",1.03096161796838
"85","11",3,10,"B07_4",1.05347317455487
"86","11",3,10,"C07_4",0.78033971622399
"87","11",3,10,"D11_4",0.944718487305159
"88","11",3,10,"G02_4",1.06204253221368
"89","11",3,20,"B07_7",1.0489120251037
"90","11",3,20,"C07_7",1.35396507219564
"91","11",3,20,"D11_7",1.30881413269895
"92","11",3,20,"G02_7",1.21231304302657
"93","11",3,40,"B07_10",1.09355444982233
"94","11",3,40,"C07_10",1.20992325824004
"95","11",3,40,"D11_10",1.49425532904561
"96","11",3,40,"G02_10",1.22328973723619
"97","11",3,60,"B07_13",1.31561332529676
"98","11",3,60,"C07_13",1.64467956000239
"99","11",3,60,"D11_13",1.52590233395004
