"","population","population.number","percentage","well.ID","r.exp"
"1","1",1,0.1,"B09_1",0.386806698044783
"2","1",1,0.1,"C06_1",0.227237353044366
"3","1",1,0.1,"E02_1",0.0289892368602011
"4","1",1,0.1,"F11_1",0.183091367509929
"5","1",1,0.6,"B09_4",0.127011177342515
"6","1",1,0.6,"C06_4",0.106623900797505
"7","1",1,0.6,"E02_4",-0.0328577919293467
"8","1",1,0.6,"F11_4",0.0337557206953173
"9","1",1,2,"B09_7",0.199443095958975
"10","1",1,2,"C06_7",0.0538677771556466
"11","1",1,2,"E02_7",0.342442818358421
"12","1",1,2,"F11_7",0.00562849548442214
"13","1",1,5,"B09_10",0.242086112304926
"14","1",1,5,"C06_10",0.391160059437886
"15","1",1,5,"E02_10",0.351946064732332
"16","1",1,5,"F11_10",0.245147820488218
"17","1",1,11,"B09_13",0.85748552526021
"18","1",1,11,"C06_13",1.11763275960971
"19","1",1,11,"E02_13",1.00706221039904
"20","1",1,11,"F11_13",0.817047168246317
"21","1",1,20,"B09_16",1.24821027366487
"22","1",1,20,"C06_16",1.32055052715988
"23","1",1,20,"E02_16",1.33635801147918
"24","1",1,20,"F11_16",1.2435835613055
"25","1",1,33,"B09_19",1.34604906081709
"26","1",1,33,"C06_19",1.59514807607187
"27","1",1,33,"E02_19",1.44709311177333
"28","1",1,33,"F11_19",1.53329897271427
"29","1",1,50,"B09_22",1.47223937954308
"30","1",1,50,"C06_22",1.40009213552776
"31","1",1,50,"E02_22",1.25459737528581
"32","1",1,50,"F11_22",1.37538771223628
"33","1",1,70,"B09_25",1.60119869175381
"34","1",1,70,"C06_25",1.26648429849757
"35","1",1,70,"E02_25",1.38738244891441
"36","1",1,70,"F11_25",1.29430871760017
"37","1",1,100,"B09_28",1.21196920014216
"38","1",1,100,"C06_28",1.33730003056726
"39","1",1,100,"E02_28",1.29810317846054
"40","1",1,100,"F11_28",1.25160443627337
"41","10",2,0.1,"C02_3",-0.0120187856457448
"42","10",2,0.1,"D05_3",-0.133894603774315
"43","10",2,0.1,"D11_3",0.150268540573064
"44","10",2,0.1,"F08_3",-0.0908174193825124
"45","10",2,0.6,"C02_6",0.0833498800914222
"46","10",2,0.6,"D05_6",-0.109511233283287
"47","10",2,0.6,"D11_6",0.258886775478269
"48","10",2,0.6,"F08_6",-0.198967179334437
"49","10",2,2,"C02_9",-0.102737187383674
"50","10",2,2,"D05_9",-0.0134956511581519
"51","10",2,2,"D11_9",-0.00185920528357676
"52","10",2,2,"F08_9",0.111677309765005
"53","10",2,5,"C02_12",0.309384624084158
"54","10",2,5,"D05_12",0.448058296371056
"55","10",2,5,"D11_12",0.0859837528984681
"56","10",2,5,"F08_12",0.52912224111659
"57","10",2,11,"C02_15",0.845425920068143
"58","10",2,11,"D05_15",0.859542840316019
"59","10",2,11,"D11_15",0.751937905639423
"60","10",2,11,"F08_15",0.900411538656725
"61","10",2,20,"C02_18",1.22415215171152
"62","10",2,20,"D05_18",1.25852397225487
"63","10",2,20,"D11_18",1.28211792071546
"64","10",2,20,"F08_18",1.18184650984362
"65","10",2,33,"C02_21",1.55429563218408
"66","10",2,33,"D05_21",1.77289161974648
"67","10",2,33,"D11_21",1.75342157282279
"68","10",2,33,"F08_21",1.57358196211872
"69","10",2,50,"C02_24",1.64447677470251
"70","10",2,50,"D05_24",1.62376297573133
"71","10",2,50,"D11_24",1.46483205967924
"72","10",2,50,"F08_24",1.52428276907931
"73","10",2,70,"C02_27",1.54672174362204
"74","10",2,70,"D05_27",1.65460845146474
"75","10",2,70,"D11_27",1.615781987956
"76","10",2,70,"F08_27",1.42607044661407
"77","10",2,100,"C02_30",1.81981336075914
"78","10",2,100,"D05_30",1.52084642377316
"79","10",2,100,"D11_30",1.60230510677519
"80","10",2,100,"F08_30",1.61260030467221
"81","11",3,0.1,"B07_1",0.0115732694043402
"82","11",3,0.1,"C07_1",0.0832878641419866
"83","11",3,0.1,"D11_1",0.0428054514438545
"84","11",3,0.1,"G02_1",-0.0350105872457006
"85","11",3,0.6,"B07_4",0.183264654836149
"86","11",3,0.6,"C07_4",-0.0119361138663806
"87","11",3,0.6,"D11_4",0.0360062541272503
"88","11",3,0.6,"G02_4",0.0162459334041435
"89","11",3,2,"B07_7",0.27821853067656
"90","11",3,2,"C07_7",0.545330312739451
"91","11",3,2,"D11_7",0.662480502482095
"92","11",3,2,"G02_7",0.712180266548861
"93","11",3,5,"B07_10",0.436088062307545
"94","11",3,5,"C07_10",0.540350233293225
"95","11",3,5,"D11_10",0.649880638046381
"96","11",3,5,"G02_10",0.71649566807948
"97","11",3,11,"B07_13",1.10629667110698
"98","11",3,11,"C07_13",1.13857265303837
"99","11",3,11,"D11_13",1.10386764545453
"100","11",3,11,"G02_13",1.15219621319811
"101","11",3,20,"B07_16",1.33393921805922
"102","11",3,20,"C07_16",1.50845134522329
"103","11",3,20,"D11_16",1.5047686281525
"104","11",3,20,"G02_16",1.34922149443987
"105","11",3,33,"B07_19",1.5180429725198
"106","11",3,33,"C07_19",1.45135227452694
"107","11",3,33,"D11_19",1.39572659893115
"108","11",3,33,"G02_19",1.37632044577944
"109","11",3,50,"B07_22",1.22007765875703
"110","11",3,50,"C07_22",1.52259365748504
"111","11",3,50,"D11_22",1.48672955006679
"112","11",3,50,"G02_22",1.17920065652934
"113","11",3,70,"B07_25",1.63283978536906
"114","11",3,70,"C07_25",1.54786908519284
"115","11",3,70,"D11_25",1.77970464776021
"116","11",3,70,"G02_25",1.5614402004756
"117","11",3,100,"B07_28",1.25408947148762
"118","11",3,100,"C07_28",1.32649328583706
"119","11",3,100,"D11_28",1.17124437185562
"120","11",3,100,"G02_28",0.928806591800037
"121","14",4,0.1,"B04_1",-0.0368354109410453
"122","14",4,0.1,"D06_1",0.423917340055942
"123","14",4,0.1,"D09_1",0.0841408180293745
"124","14",4,0.1,"F08_1",0.155194003690501
"125","14",4,0.6,"B04_4",0.0167387164639818
"126","14",4,0.6,"D06_4",0.171688269181555
"127","14",4,0.6,"D09_4",0.101135136593106
"128","14",4,0.6,"F08_4",0.245632599472648
"129","14",4,2,"B04_7",0.58947719081319
"130","14",4,2,"D06_7",0.322192469781275
"131","14",4,2,"D09_7",0.337608694463899
"132","14",4,2,"F08_7",0.26385092819206
"133","14",4,5,"B04_10",0.559402729982086
"134","14",4,5,"D06_10",0.739811395883962
"135","14",4,5,"D09_10",0.910153247795701
"136","14",4,5,"F08_10",0.596274326257008
"137","14",4,11,"B04_13",1.17192654852212
"138","14",4,11,"D06_13",1.27324474434769
"139","14",4,11,"D09_13",1.4166678281141
"140","14",4,11,"F08_13",1.2953757816512
"141","14",4,20,"B04_16",1.36538420535588
"142","14",4,20,"D06_16",1.51593115506376
"143","14",4,20,"D09_16",1.58257237763508
"144","14",4,20,"F08_16",1.5689414012718
"145","14",4,33,"B04_19",1.41609622749995
"146","14",4,33,"D06_19",1.45822022425179
"147","14",4,33,"D09_19",1.8569740192532
"148","14",4,33,"F08_19",1.38427453584411
"149","14",4,50,"B04_22",1.41259149682774
"150","14",4,50,"D06_22",1.44167394394477
"151","14",4,50,"D09_22",1.46507372285624
"152","14",4,50,"F08_22",1.43319534570432
"153","14",4,70,"B04_25",1.69962486311649
"154","14",4,70,"D06_25",1.59128988785255
"155","14",4,70,"D09_25",1.45410300873141
"156","14",4,70,"F08_25",1.59163982491569
"157","14",4,100,"B04_28",1.17517334606558
"158","14",4,100,"D06_28",1.17237578363867
"159","14",4,100,"D09_28",1.22221497917439
"160","14",4,100,"F08_28",1.22148805546292
"161","15",5,0.1,"B02_3",0.031443118615252
"162","15",5,0.1,"C11_3",0.140052690119686
"163","15",5,0.1,"E07_3",-0.0501187307786395
"164","15",5,0.1,"F02_3",0.172736293406753
"165","15",5,0.6,"B02_6",0.0635023132369008
"166","15",5,0.6,"C11_6",0.180975021954392
"167","15",5,0.6,"E07_6",0.269565138004326
"168","15",5,0.6,"F02_6",0.0566236498657362
"169","15",5,2,"B02_9",0.405539312261783
"170","15",5,2,"C11_9",0.22186218064792
"171","15",5,2,"E07_9",0.221083557026943
"172","15",5,2,"F02_9",0.27936812670506
"173","15",5,5,"B02_12",0.719698033481636
"174","15",5,5,"C11_12",0.651969472487754
"175","15",5,5,"E07_12",0.900751543673555
"176","15",5,5,"F02_12",0.689742850195165
"177","15",5,11,"B02_15",1.2819218045772
"178","15",5,11,"C11_15",1.2704587721083
"179","15",5,11,"E07_15",1.35937833898976
"180","15",5,11,"F02_15",1.38066097391697
"181","15",5,20,"B02_18",1.36602316807321
"182","15",5,20,"C11_18",1.42633947081944
"183","15",5,20,"E07_18",1.274473426649
"184","15",5,20,"F02_18",1.29976347134638
"185","15",5,33,"B02_21",1.60166532030691
"186","15",5,33,"C11_21",1.63518219495758
"187","15",5,33,"E07_21",1.64866535637104
"188","15",5,33,"F02_21",1.5823624005606
"189","15",5,50,"B02_24",1.34756258022455
"190","15",5,50,"C11_24",1.65256280370195
"191","15",5,50,"E07_24",1.57018728306951
"192","15",5,50,"F02_24",1.53383632097294
"193","15",5,70,"B02_27",1.49541990996841
"194","15",5,70,"C11_27",1.27580356705897
"195","15",5,70,"E07_27",1.45678862560465
"196","15",5,70,"F02_27",1.4335036376032
