"","population","population.number","salt","well.ID","r.exp"
"1","1",1,0,"1_A2",1.12559662083888
"2","1",1,1,"8_A2",1.31258744984612
"3","1",1,2,"15_A2",0.106907244264145
"4","1",1,3,"22_A2",0.70518493462405
"5","1",1,4,"29_A2",0.133495046317996
"6","1",1,5,"36_A2",0.0745965138776203
"7","1",1,6,"43_A2",0.0447934306691569
"8","1",1,7,"50_A2",-0.060225339559047
"9","1",1,8,"57_A2",-0.115357671749158
"10","1",1,9,"64_A2",-0.214965121621674
"11","10",2,0,"6_A2",1.34647216244832
"12","10",2,1,"13_A2",1.16433716104151
"13","10",2,2,"20_A2",1.11428800416744
"14","10",2,3,"27_A2",0.76308870422415
"15","10",2,4,"34_A2",0.264312411130137
"16","10",2,5,"41_A2",0.132143305228268
"17","10",2,6,"48_A2",-0.111271167508743
"18","10",2,7,"55_A2",-0.0977151001769574
"19","10",2,8,"62_A2",-0.313999013411531
"20","10",2,9,"69_A2",-0.244357021701955
"21","11",3,0,"5_B2",1.14770309581837
"22","11",3,1,"12_B2",1.03343016521915
"23","11",3,2,"19_B2",1.29285661912048
"24","11",3,3,"26_B2",0.661593818653951
"25","11",3,4,"33_B2",0.113386196299214
"26","11",3,5,"40_B2",0.0748979587832351
"27","11",3,6,"47_B2",0.235390917729692
"28","11",3,7,"54_B2",-0.136314923758036
"29","11",3,8,"61_B2",0.338912417232397
"30","11",3,9,"68_B2",-0.0747196806982869
"31","14",4,0,"2_A1",1.19676011766828
"32","14",4,1,"9_A1",1.46727848715785
"33","14",4,2,"16_A1",1.23856370518358
"34","14",4,3,"23_A1",1.0228410908676
"35","14",4,4,"30_A1",1.17819773987478
"36","14",4,5,"37_A1",0.843602638265991
"37","14",4,6,"44_A1",0.832692397161
"38","14",4,7,"51_A1",0.674120321496824
"39","14",4,8,"58_A1",0.755216080919333
"40","14",4,9,"65_A1",0.67480426730351
"41","15",5,0,"1_B1",1.06353712851978
"42","15",5,1,"8_B1",0.990440609612046
"43","15",5,2,"15_B1",0.949152439883444
"44","15",5,3,"22_B1",0.760647780372683
"45","15",5,4,"29_B1",1.048056881516
"46","15",5,5,"36_B1",1.13988447272449
"47","15",5,6,"43_B1",1.02186699635585
"48","15",5,7,"50_B1",0.814662222696749
"49","15",5,8,"57_B1",0.782480673353109
"50","15",5,9,"64_B1",0.762405022491632
"51","16",6,0,"6_A3",1.18079718506617
"52","16",6,1,"13_A3",1.08170549394273
"53","16",6,2,"20_A3",1.31667577756184
"54","16",6,3,"27_A3",0.999740484073808
"55","16",6,4,"34_A3",0.669194464771409
