"","population","population.number","temperature","well.ID","r.exp"
"1","1",1,10,"B09_1",0.417185730391161
"2","1",1,10,"C06_1",0.372465591846216
"3","1",1,10,"E02_1",0.352301700386742
"4","1",1,10,"F11_1",0.379107671150465
"5","1",1,16,"B09_16",0.898836103182131
"6","1",1,16,"C06_16",0.844821048515211
"7","1",1,16,"E02_16",0.831965535324182
"8","1",1,16,"F11_16",0.818634530615823
"9","1",1,22,"B09_31",1.7785882135669
"10","1",1,22,"C06_31",1.5284800422459
"11","1",1,22,"E02_31",1.57896603373363
"12","1",1,22,"F11_31",1.55434119923635
"13","1",1,28,"B09_46",3.09481295875284
"14","1",1,28,"C06_46",3.25702490654558
"15","1",1,28,"E02_46",2.87780420555851
"16","1",1,28,"F11_46",2.84780146549113
"17","1",1,34,"B09_61",3.99058371805977
"18","1",1,34,"C06_61",4.16706082929828
"19","1",1,34,"E02_61",3.91279342750578
"20","1",1,34,"F11_61",4.32941188736681
"21","1",1,40,"B09_76",0.308620939905686
"22","1",1,40,"C06_76",0.373255268544184
"23","1",1,40,"E02_76",0.407156637419368
"24","1",1,40,"F11_76",0.283831471946622
"25","10",2,10,"C02_11",0.563509255027559
"26","10",2,10,"D05_11",0.526926430768506
"27","10",2,10,"D11_11",0.494305678799695
"28","10",2,10,"F08_11",0.460166917855604
"29","10",2,16,"C02_26",0.88175285011464
"30","10",2,16,"D05_26",0.831406324472856
"31","10",2,16,"D11_26",0.967872333707978
"32","10",2,16,"F08_26",0.839010141749013
"33","10",2,22,"C02_41",1.66235095278174
"34","10",2,22,"D05_41",1.75441166224666
"35","10",2,22,"D11_41",1.8082004322968
"36","10",2,22,"F08_41",1.92081412992525
"37","10",2,28,"C02_56",2.88007350460498
"38","10",2,28,"D05_56",3.02891889615541
"39","10",2,28,"D11_56",2.75810174956664
"40","10",2,28,"F08_56",2.79368073536735
"41","10",2,34,"C02_71",3.07032711328433
"42","10",2,34,"D05_71",3.63498645402073
"43","10",2,34,"D11_71",3.71737143780348
"44","10",2,34,"F08_71",3.64944040305482
"45","10",2,40,"C02_86",0.784314737291567
"46","10",2,40,"D05_86",0.0896036934866503
"47","10",2,40,"D11_86",0.329648902523117
"48","10",2,40,"F08_86",-0.130476349928612
