"","Pop.fac","Anc","Evol","T.µ.max","T.br.0","T.br.0.56","T.µ.max.L","T.µ.max.U","T.br.0.L","T.br.0.U","T.br.0.56.L","T.br.0.56.U","I.µ.max","I.comp.0.1","I.comp.0.56","I.µ.max.L","I.µ.max.U","I.comp.0.1.L","I.comp.0.1.U","I.comp.0.56.L","I.comp.0.56.U","N.µ.max","N.comp.0.1","N.comp.0.56","N.µ.max.L","N.µ.max.U","N.comp.0.1.L","N.comp.0.1.U","N.comp.0.56.L","N.comp.0.56.U","P.µ.max","P.comp.0.1","P.comp.0.56","P.µ.max.L","P.µ.max.U","P.comp.0.1.L","P.comp.0.1.U","P.comp.0.56.L","P.comp.0.56.U","S.µ.max","S.c","S.µ.max.L","S.µ.max.U","S.c.L","S.c.U","mean.N.µg.l","mean.P.µg.l","chl.a","chl.b","luthein"
"1","1","anc2","N",3.66278123020193,32.223753116995,25.8041849647704,3.40887138797489,4.00490724246389,29.9026904384223,35.2707843618082,24.4570191745202,27.4670822992207,1.33061064213197,0.722281374883572,0.0807667718313046,1.14388188026207,1.51769758500052,0.525809151262564,1.24629138555532,0.0583124548365629,0.131985236328429,1.31360696527689,1.70837958648969,0.18943629441457,1.17866515137931,1.44034879810278,1.24941459757077,3.4528945731087,0.136658026019641,0.367879757372743,1.34074500181682,13.2650396007909,1.49055224195004,1.24538562463051,1.43790566709669,9.61555819899572,19.2803927875503,1.1017852970297,2.10824443977587,1.48855897803162,3.24655626225251,0.604441078279132,3.60682978322843,0.464011591389398,5.96878948425659,518.33,102.075,3.7227,1.5001,0.3286
"2","10","anc2","L",3.16763111375775,34.5327338829105,27.7018206054683,3.00030150191064,3.30349485972622,32.3197756739323,37.5745528324675,26.4493940512923,29.1986296497965,1.55101420756516,0.67172224577863,0.0819237682208643,1.38282747767973,1.70465991878807,0.573361667496734,0.898951712497274,0.0682366967107129,0.107740638866224,1.27778279794347,2.93998814387474,0.319952413903087,1.12863527921729,1.4355540099858,1.46032778166621,13.9963403446658,0.163923152807578,1.4455923542369,1.38393273167312,8.24925986519389,0.945314769355105,1.26398041340099,1.51928918632827,5.83905234574113,12.4069223715286,0.688400993219081,1.37355852609063,1.55118255385155,3.67656151297771,1.02960388498321,3.27780089101706,1.0713648327403,4.79670433712923,326.85,70.3,13.9976,5.6665,1.0837
"3","11","anc4","N",3.65026769684443,33.716526459528,27.2731312551447,3.4037652653605,3.88166134465328,31.0002995466503,37.472568022784,25.706412426216,29.2152644321539,1.0847549555167,1.43152592728171,0.13621958874196,0.885591303367714,1.31143900681864,0.657796848291902,4.6541165564896,0.065785866064555,0.407705892667209,1.46939849922181,2.32863595931705,0.276145492220575,1.32571930213468,1.61246156379797,1.51898180476557,4.60050255697733,0.182426495151585,0.529196269225072,1.45290631594714,11.3966251707891,1.34315585158233,1.32446262758494,1.59196086140139,7.70554141709088,18.2038259145741,0.934135969695175,2.09390716005014,1.10210393992995,4.13593597925878,0.807969014999468,1.69079944824431,2.80106783777355,4.95718529685967,276.805,46.585,10.7846,4.4457,0.9211
"4","14","anc2","S",3.75605028640121,32.9035881576426,27.204870907002,3.55931390195358,3.91748941090648,30.8163790967177,35.6861160738488,25.9137435924347,28.6837333032238,1.142200329927,1.13489991555602,0.113211560726992,0.947077833175105,1.35875495332089,0.583807176202523,2.9545788836355,0.0609064939078029,0.270884138648428,1.31692453710887,2.0800073037159,0.231028611990169,1.19112052682989,1.44171867363927,1.35091207521756,4.54267283476468,0.153049995901322,0.484029413406137,1.36260185703551,11.2675447699912,1.27901312705897,1.22427326090292,1.51539748736822,7.29788547022281,19.3982597217625,0.853762668509655,2.12420946971542,2.02384622597987,5.01854209318464,1.07361188683366,3.18129314724196,0.253604992718728,9.70626753978512,543.07,125.21,10.811,4.6567,1.1109
"5","15","anc4","S",3.52778097390715,33.5495169905598,27.567259904731,3.2664234400192,3.74656990226915,30.8101421482366,37.8325615476222,25.8301770255541,29.8657635736838,1.33527969176372,0.873966295609078,0.0979489452570084,1.12730513226804,1.55650581035331,0.567272806040457,1.80196716441144,0.0642639901469911,0.18989465029528,1.32681495513224,1.4675568998264,0.163801711203855,1.21208255122822,1.43848990611297,1.21485350122443,2.18314600491359,0.131654680206261,0.236995320392553,1.42090327824549,7.75930536466579,0.903063231611019,1.27686743826511,1.58598416673068,5.31732577048998,12.3706952369679,0.632220813983944,1.3798420617684,1.76712575384548,5.99951612424202,0.958798958382054,2.46025904632013,0.334650404495052,9.95150449457608,467.4,97.91,18.0499,7.3412,1.5392
"6","16","anc5","B",3.56663659802574,34.2553542359505,28.2579477746,3.33360586344395,3.77985439112572,31.7714178133914,37.8434261111746,26.6124502851674,30.3011838682392,1.17829635767323,1.08861042942385,0.11146615323994,0.926788933391118,1.4601901841994,0.54499480097758,4.31910715660253,0.0571295325510811,0.390862437613309,1.3782460829962,1.75591070782149,0.200716864789313,1.25979759038385,1.4973482693855,1.32940727367568,3.02427954401848,0.150501849064756,0.334422325210364,1.43638155943399,7.75515517896479,0.908165964681565,1.31770875920475,1.56644611641307,5.75553771044075,11.0988284599341,0.688065343202175,1.26302453556092,1.52392572297098,4.46601263287007,0.684873001997088,3.15528146480284,0.359163717230463,8.47902915269797,297.45,56.8,10.6618,5.0694,1.1162
"7","17","anc2","P",6.1446852043701,32.4881581601136,26.9898857606287,5.17016956776711,7.58447056919908,29.2332397929265,36.8780525646613,24.8062829388607,29.767175962302,1.48081087306711,1.08436185134532,0.129128600465038,1.26717293671013,1.70456089353079,0.68091599174402,2.27457144478088,0.0836533178377485,0.256942536987491,1.46592035099725,9.13392319469929,1.08176759727328,1.37161569926238,1.56523125108907,4.77322403931102,39.5965912602882,0.572489597378679,4.64700392503966,1.38412187793732,18.3685629564869,2.10509816346608,1.26737233190102,1.51251017483927,11.7212128749913,32.9209526791041,1.37029639195267,3.63244388545517,1.27486536284239,4.86162387838372,0.824202914142707,1.72094600802394,3.9112766945567,6.52528745718313,401.065,104.365,9.696,4.2179,0.9516
"8","18","anc5","S",3.14663528296279,33.6381916160644,27.1995307724957,2.98496931305124,3.27674630049826,31.6227194018566,36.4646004125684,25.960089495622,28.6681989014137,1.4217392134069,0.596497657410781,0.0694465693494532,1.24012216197607,1.59248518809848,0.503315147724852,0.788160422508398,0.055453283823834,0.0903414730427178,1.42216448129287,2.62275678203743,0.305403938084746,1.29957177323936,1.54815674986616,1.60900044349856,5.37309177585581,0.191316874768589,0.605865038237145,1.52170202491483,7.65509585375092,0.924686579693908,1.43168721053873,1.62118911048965,6.12114879898879,9.7234466131622,0.752438213396657,1.15052490126705,2.34501538590153,3.78768472904725,1.29615445362664,3.51730805162064,0.172276709169683,8.44957697023309,511.14,94.185,11.7904,5.8381,1.1723
"9","19","anc2","B",3.42585771435195,34.8833402875001,27.9048239057571,3.08485753525859,3.76269491798267,30.8076265240192,41.9262823898798,25.5079689187454,31.4750044789913,1.13242424230907,0.677329063574736,0.0670612290336057,0.896253835962446,1.37091103250055,0.438931492608186,1.80219415811213,0.0411402769079244,0.158817639499972,1.37927461383861,2.01698990803271,0.230664847393122,1.22956539224891,1.52320504166542,1.37607480641873,4.22559374159277,0.158269668351675,0.465815923803763,1.28998449745966,10.8274281982909,1.18606808218674,1.14781376343812,1.44256509560408,6.85649697186748,19.4575785045023,0.769740133167412,2.04070978609744,1.23811677894993,3.91137676000735,0.963423170418597,1.77447199391916,2.78035795675228,4.66125800096629,305.57,58.92,12.1037,4.4552,0.8465
"10","2","anc3","BS",3.59672640900083,32.9836132981879,27.2519027283227,3.26693109605436,3.87673349090174,30.0625125987908,37.724498004584,25.2816031621102,29.783758403117,1.18204013030232,0.785721213074225,0.0806594928668673,0.942985158085395,1.42679667642621,0.486947651563127,2.14464034603815,0.0493062480732006,0.2014185518442,1.49844152850398,2.16987296925076,0.260021457613699,1.35655538513064,1.63844230095884,1.5106292972751,4.0723613899017,0.181730164028797,0.477030277286211,1.45241855427704,12.6928803990165,1.49564881632122,1.32450398548336,1.59303148105435,8.5744744375005,20.4013801236243,1.03660700225489,2.34484920105783,1.89314995341106,6.1392382277185,1.07476083667356,2.57193264290673,0.363404839560723,9.95902452180849,194.805,44.93,6.365,2.4608,0.5562
