"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,1.17116437156656,1.47391678583052,0.725,0.717627751503948
"2","10",2,1.25256565504865,1.4405269832424,0.8,0.79661018932585
"3","11",3,0.861438047645349,1.50697165783349,0.525,0.509418949015915
"4","14",4,0.956091443048608,1.49811098812164,0.575,0.570733329943468
"5","15",5,1.94826361556148,1.57196833473381,1.075,1.07812427253607
"6","16",6,1.33296547881879,1.46786681535651,0.825,0.822213848454624
"7","17",7,0.518660651868923,1.4451180372546,0.325,0.328148283981983
"8","18",8,1.37585852582894,1.46536890528825,0.85,0.851013073194624
"9","19",9,1.32924709917787,1.53840564736843,0.775,0.760807521442387
"10","2",10,0.946881971586093,1.50843888135454,0.55,0.559080732045609
"11","20",11,2.48297990714988,1.5218369924288,1.45,1.44563866741366
"12","21",12,0.638099445806848,1.47091820973643,0.4,0.392280762237951
"13","22",13,7.35817652492639,1.62977947210521,3.775,3.85180213436879
"14","23",14,2.04344591904285,1.62596973677058,1.075,1.07351050896699
"15","24",15,1.2189659614108,1.61675501046559,0.65,0.645959500196074
"16","25",16,0.767102194277239,1.5337142142621,0.45,0.441173829552026
"17","26",17,1.59713210741865,1.53290553575633,0.925,0.919301974635338
"18","27",18,1.55052201922471,1.52586183863948,0.9,0.898981920632582
"19","28",19,0.507708502347054,1.44129337745616,0.325,0.322613069140526
"20","29",20,0.62264106614915,1.41230153575212,0.425,0.409102861390281
"21","3",21,0.763178537904448,1.46269107177114,0.475,0.473450989592643
"22","30",22,1.43078449472701,1.53069610985766,0.825,0.825427555452566
"23","31",23,1.5360852667811,1.48715590383137,0.925,0.927791912711445
"24","32",24,1.35827588770742,1.53928747038006,0.775,0.776722382469521
"25","33",25,1.85993368234888,1.61870840303257,1,0.98380522826863
"26","35",26,0.224244437554735,1.35373570597996,0.175,0.158209948329857
"27","4",27,0.947909384303561,1.46818494157262,0.575,0.584494667232431
"28","5",28,1.50328661331554,1.46889842627598,0.925,0.926220663518987
"29","6",29,0.804621663661458,1.51131939163804,0.475,0.473645481855014
"30","7",30,1.07235425115393,1.40211531725865,0.725,0.713107063057673
"31","8",31,0.900568832598552,1.54515891167307,0.525,0.511915935875483
"32","9",32,1.78439033799825,1.54455576635091,1,1.0149334587543
"33","anc2",33,1.26924379109905,1.51448686128533,0.75,0.744668734421676
"34","anc3",34,1.12172808241744,1.28750557453312,0.875,0.863454175669928
"35","anc4",35,1.13890222815687,1.37244400554489,0.8,0.785020559466243
"36","anc5",36,0.633827341635017,1.5365229195298,0.375,0.363476682643063
"37","cc1690",37,1.39704763905428,1.51755286032863,0.825,0.817027143130139
