"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Phosphorous limitation","1",1,"K_s",1.17116437156656,1.00062659076091,6000
"2","Phosphorous limitation","1",1,"deviance",-35.8414067301762,1.00139845545374,3900
"3","Phosphorous limitation","1",1,"r_max",1.47391678583052,1.00084629751162,6000
"4","Phosphorous limitation","1",1,"sigma",0.157872297195025,1.00068995832081,6000
"5","Phosphorous limitation","10",2,"K_s",1.25256565504865,1.00061703019154,6000
"6","Phosphorous limitation","10",2,"deviance",-21.3545049450916,1.00101502189066,6000
"7","Phosphorous limitation","10",2,"r_max",1.4405269832424,1.00095411313015,6000
"8","Phosphorous limitation","10",2,"sigma",0.189312372627632,1.00143207495959,3800
"9","Phosphorous limitation","11",3,"K_s",0.861438047645349,1.00099659902667,6000
"10","Phosphorous limitation","11",3,"deviance",-31.6202011649509,1.00119301831019,5000
"11","Phosphorous limitation","11",3,"r_max",1.50697165783349,1.0009213499097,6000
"12","Phosphorous limitation","11",3,"sigma",0.166186970899079,1.00089390206717,6000
"13","Phosphorous limitation","14",4,"K_s",0.956091443048608,1.00086063179261,6000
"14","Phosphorous limitation","14",4,"deviance",-35.3353318431398,1.00174120530921,2800
"15","Phosphorous limitation","14",4,"r_max",1.49811098812164,1.00097684533377,6000
"16","Phosphorous limitation","14",4,"sigma",0.158368912199415,1.00080059686174,6000
"17","Phosphorous limitation","15",5,"K_s",1.94826361556148,1.00104477485049,6000
"18","Phosphorous limitation","15",5,"deviance",-14.888947689109,1.00099307476128,6000
"19","Phosphorous limitation","15",5,"r_max",1.57196833473381,1.00074700922788,6000
"20","Phosphorous limitation","15",5,"sigma",0.205201076237959,1.00066517387298,6000
"21","Phosphorous limitation","16",6,"K_s",1.33296547881879,1.00059496703872,6000
"22","Phosphorous limitation","16",6,"deviance",-47.2776494025764,1.00153560652082,3400
"23","Phosphorous limitation","16",6,"r_max",1.46786681535651,1.00069172738299,6000
"24","Phosphorous limitation","16",6,"sigma",0.136674651391819,1.00125769762504,4600
"25","Phosphorous limitation","17",7,"K_s",0.518660651868923,1.0005876370145,6000
"26","Phosphorous limitation","17",7,"deviance",-49.1837867890537,1.00069822864548,6000
"27","Phosphorous limitation","17",7,"r_max",1.4451180372546,1.00109330921909,5900
"28","Phosphorous limitation","17",7,"sigma",0.133439229316524,1.00058696410953,6000
"29","Phosphorous limitation","18",8,"K_s",1.37585852582894,1.00082140734703,6000
"30","Phosphorous limitation","18",8,"deviance",-52.6698718329291,1.00069694027695,6000
"31","Phosphorous limitation","18",8,"r_max",1.46536890528825,1.00068057162195,6000
