"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Nitrogen limitation","1",1,"K_s",6.95595952470386,1.00212038975075,2200
"2","Nitrogen limitation","1",1,"deviance",-20.432587496152,1.00131480119271,4300
"3","Nitrogen limitation","1",1,"r_max",1.47868988019632,1.00177586914292,2700
"4","Nitrogen limitation","1",1,"sigma",0.190776924837364,1.00080843270315,6000
"5","Nitrogen limitation","10",2,"K_s",4.9876888508536,1.00073152301739,6000
"6","Nitrogen limitation","10",2,"deviance",-4.6006057068683,1.00089183414596,6000
"7","Nitrogen limitation","10",2,"r_max",1.38432022016948,1.00088071996164,6000
"8","Nitrogen limitation","10",2,"sigma",0.232828770945971,1.00131967346614,4300
"9","Nitrogen limitation","11",3,"K_s",4.79748682971461,1.00086807600822,6000
"10","Nitrogen limitation","11",3,"deviance",-20.8794843196114,1.00069462510435,6000
"11","Nitrogen limitation","11",3,"r_max",1.5652778670938,1.00100436345256,6000
"12","Nitrogen limitation","11",3,"sigma",0.190157882793758,1.0014067497769,3900
"13","Nitrogen limitation","14",4,"K_s",7.24566129700093,1.00075750986036,6000
"14","Nitrogen limitation","14",4,"deviance",-27.3149209443753,1.00073659543072,6000
"15","Nitrogen limitation","14",4,"r_max",1.47009715793201,1.00083133804603,6000
"16","Nitrogen limitation","14",4,"sigma",0.175622046799646,1.00082883825196,6000
"17","Nitrogen limitation","15",5,"K_s",9.04555009763751,1.00123757415586,4700
"18","Nitrogen limitation","15",5,"deviance",-14.1780285017073,1.0007900429515,6000
"19","Nitrogen limitation","15",5,"r_max",1.48614745600359,1.00094182308588,6000
"20","Nitrogen limitation","15",5,"sigma",0.20688646392353,1.00070423844531,6000
"21","Nitrogen limitation","16",6,"K_s",5.78748397393659,1.00158248075821,3200
"22","Nitrogen limitation","16",6,"deviance",-27.9688899888712,1.00105322288904,6000
"23","Nitrogen limitation","16",6,"r_max",1.4474004180601,1.00100320565814,6000
"24","Nitrogen limitation","16",6,"sigma",0.173744378448093,1.00154724706108,3300
"25","Nitrogen limitation","17",7,"K_s",1.95540101267326,1.00199435436322,2300
"26","Nitrogen limitation","17",7,"deviance",-34.8580117478171,1.00072464302527,6000
"27","Nitrogen limitation","17",7,"r_max",1.58408468531939,1.00159302003141,3200
"28","Nitrogen limitation","17",7,"sigma",0.159393524323755,1.00084508861294,6000
"29","Nitrogen limitation","18",8,"K_s",5.65462940739747,1.00069961145189,6000
"30","Nitrogen limitation","18",8,"deviance",-16.7656117584787,1.00089328013478,6000
"31","Nitrogen limitation","18",8,"r_max",1.5225101730953,1.00068313254713,6000
"32","Nitrogen limitation","18",8,"sigma",0.20018348107165,1.00079112679022,6000
"33","Nitrogen limitation","19",9,"K_s",6.97401634507669,1.0009832359859,6000
"34","Nitrogen limitation","19",9,"deviance",6.7156900686661,1.00100575010863,6000
"35","Nitrogen limitation","19",9,"r_max",1.48899352929936,1.00125802659144,4600
"36","Nitrogen limitation","19",9,"sigma",0.268328847259483,1.0009884381112,6000
"37","Nitrogen limitation","2",10,"K_s",7.8548523954466,1.00074593348138,6000
"38","Nitrogen limitation","2",10,"deviance",-6.50115480189273,1.00061056261382,6000
"39","Nitrogen limitation","2",10,"r_max",1.58299756581809,1.00104718442492,6000
"40","Nitrogen limitation","2",10,"sigma",0.227035632549872,1.00114443307596,5400
"41","Nitrogen limitation","20",11,"K_s",8.4904594236042,1.00106176078651,6000
"42","Nitrogen limitation","20",11,"deviance",-30.9388154144628,1.00163643667893,3900
"43","Nitrogen limitation","20",11,"r_max",1.45733745718977,1.00162625683382,3100
"44","Nitrogen limitation","20",11,"sigma",0.167768058816516,1.00184223895894,2600
"45","Nitrogen limitation","21",12,"K_s",3.04630972276129,1.00087065376283,6000
"46","Nitrogen limitation","21",12,"deviance",-32.2047291191455,1.00091891115482,6000
"47","Nitrogen limitation","21",12,"r_max",1.60908468126489,1.00058704588586,6000
"48","Nitrogen limitation","21",12,"sigma",0.16512062489969,1.00106060038397,6000
"49","Nitrogen limitation","22",13,"K_s",8.48320245418961,1.00119484063434,5000
"50","Nitrogen limitation","22",13,"deviance",-27.1487249109754,1.00088141652547,6000
"51","Nitrogen limitation","22",13,"r_max",1.62775340072356,1.00090887777141,6000
"52","Nitrogen limitation","22",13,"sigma",0.175767676232204,1.00139352608315,3900
"53","Nitrogen limitation","23",14,"K_s",4.87146108863359,1.00064802856092,6000
"54","Nitrogen limitation","23",14,"deviance",-14.0271276678274,1.00089931005484,6000
"55","Nitrogen limitation","23",14,"r_max",1.57955089377834,1.00122994764312,4800
"56","Nitrogen limitation","23",14,"sigma",0.206874654116644,1.00097552827202,6000
"57","Nitrogen limitation","24",15,"K_s",9.12454967448236,1.00104988641511,6000
"58","Nitrogen limitation","24",15,"deviance",2.60964508762771,1.00176433773899,2800
"59","Nitrogen limitation","24",15,"r_max",1.50775236484179,1.00101046604089,6000
"60","Nitrogen limitation","24",15,"sigma",0.255093107649834,1.00189486724874,2500
"61","Nitrogen limitation","25",16,"K_s",6.17482781261517,1.00071277693151,6000
"62","Nitrogen limitation","25",16,"deviance",-39.1740917127845,1.00124344124503,4700
"63","Nitrogen limitation","25",16,"r_max",1.58208735955813,1.0006265483746,6000
"64","Nitrogen limitation","25",16,"sigma",0.151247790609762,1.00087133999503,6000
"65","Nitrogen limitation","26",17,"K_s",7.64616228172881,1.00143921296648,3700
"66","Nitrogen limitation","26",17,"deviance",-22.5485946190148,1.00181491637543,2700
"67","Nitrogen limitation","26",17,"r_max",1.58774242771809,1.00132927894596,4200
"68","Nitrogen limitation","26",17,"sigma",0.186198759404614,1.00144747652833,3700
"69","Nitrogen limitation","27",18,"K_s",8.96958873832447,1.00099362577757,6000
"70","Nitrogen limitation","27",18,"deviance",14.2823062438172,1.0007417251895,6000
"71","Nitrogen limitation","27",18,"r_max",1.53522180238041,1.00101468409714,6000
"72","Nitrogen limitation","27",18,"sigma",0.294643704319062,1.00065894692922,6000
"73","Nitrogen limitation","28",19,"K_s",4.80250674474906,1.00092942912013,6000
"74","Nitrogen limitation","28",19,"deviance",-19.4627902392411,1.00075213419782,6000
"75","Nitrogen limitation","28",19,"r_max",1.62560350002401,1.00063962201515,6000
"76","Nitrogen limitation","28",19,"sigma",0.193309198132984,1.00147862453749,3600
"77","Nitrogen limitation","29",20,"K_s",2.41830791932998,1.00074894299241,6000
"78","Nitrogen limitation","29",20,"deviance",-24.879320002202,1.00114371841268,5400
"79","Nitrogen limitation","29",20,"r_max",1.45666258672228,1.00062311442736,6000
"80","Nitrogen limitation","29",20,"sigma",0.180363616180828,1.00124719398332,4700
"81","Nitrogen limitation","3",21,"K_s",2.67802037762944,1.00084423283979,6000
"82","Nitrogen limitation","3",21,"deviance",-26.9655578875052,1.00066693874574,6000
"83","Nitrogen limitation","3",21,"r_max",1.43936133305038,1.0008489740198,6000
"84","Nitrogen limitation","3",21,"sigma",0.176161059506536,1.00073285255027,6000
"85","Nitrogen limitation","30",22,"K_s",2.32703569517828,1.00093478991327,6000
"86","Nitrogen limitation","30",22,"deviance",-26.0443102855514,1.00186247909365,2600
"87","Nitrogen limitation","30",22,"r_max",1.41832133252887,1.00161219027189,3100
"88","Nitrogen limitation","30",22,"sigma",0.177979980347789,1.00137450809846,4000
"89","Nitrogen limitation","31",23,"K_s",6.87259608528408,1.00055585185399,6000
"90","Nitrogen limitation","31",23,"deviance",-11.6810596121811,1.0014097585312,4200
"91","Nitrogen limitation","31",23,"r_max",1.53538304770944,1.00084417957586,6000
"92","Nitrogen limitation","31",23,"sigma",0.213603997241194,1.00103599995469,6000
"93","Nitrogen limitation","32",24,"K_s",8.00720777973807,1.00159196611193,3200
"94","Nitrogen limitation","32",24,"deviance",-19.7202863806654,1.0007587194688,6000
"95","Nitrogen limitation","32",24,"r_max",1.56212234009572,1.00143773398264,3700
"96","Nitrogen limitation","32",24,"sigma",0.19265389499515,1.00072838644135,6000
"97","Nitrogen limitation","33",25,"K_s",4.98182952156236,1.00066379670137,6000
"98","Nitrogen limitation","33",25,"deviance",-5.77052214237089,1.00173414319061,2800
"99","Nitrogen limitation","33",25,"r_max",1.45702318715368,1.00062094746026,6000
"100","Nitrogen limitation","33",25,"sigma",0.230278591918913,1.00122415462865,4800
"101","Nitrogen limitation","35",26,"K_s",5.20335356769,1.00096106632106,6000
"102","Nitrogen limitation","35",26,"deviance",-46.4813946312583,1.00077498396854,6000
"103","Nitrogen limitation","35",26,"r_max",1.48091999805942,1.00132305903734,4200
"104","Nitrogen limitation","35",26,"sigma",0.138146073571657,1.00129916772024,4400
"105","Nitrogen limitation","4",27,"K_s",9.25967527372242,1.00085393560474,6000
"106","Nitrogen limitation","4",27,"deviance",-11.2087553606139,1.00080885117126,6000
"107","Nitrogen limitation","4",27,"r_max",1.64799456721394,1.00101334230913,6000
"108","Nitrogen limitation","4",27,"sigma",0.214661864036466,1.00089871735015,6000
"109","Nitrogen limitation","5",28,"K_s",9.15090190308334,1.00107388506402,6000
"110","Nitrogen limitation","5",28,"deviance",-19.9797556799042,1.00106432952163,6000
"111","Nitrogen limitation","5",28,"r_max",1.39850716061491,1.00144403723516,3700
"112","Nitrogen limitation","5",28,"sigma",0.191980746741859,1.00086356681004,6000
"113","Nitrogen limitation","6",29,"K_s",3.67239637976812,1.00164719121722,3100
"114","Nitrogen limitation","6",29,"deviance",-27.9475157368569,1.0011436938727,5400
"115","Nitrogen limitation","6",29,"r_max",1.41299968234757,1.00105403357033,6000
"116","Nitrogen limitation","6",29,"sigma",0.17429249315201,1.00125523414608,4600
