"","Pop.fac","Pop.num","K.s","r.max","R.jag","R.mth"
"1","1",1,8.63589026229833,1.5943766342662,4.65,4.67537489409538
"2","10",2,9.48109893165658,1.80175672857592,4.3,4.27572911790595
"3","11",3,5.09452039549851,1.55689631451455,2.85,2.86181359078294
"4","14",4,4.71442856731758,1.60861010813667,2.5,2.51769459135689
"5","15",5,5.23823732077032,1.65122493400905,2.7,2.68818353412648
"6","16",6,5.82798480984333,1.6558913253578,2.95,2.97809775293796
"7","17",7,6.84323144395356,1.75934629798925,3.15,3.1952486242204
"8","18",8,9.19670040470124,1.71302028301412,4.5,4.4666622977088
"9","19",9,7.55413166704308,1.58536707539291,4.1,4.12565785957493
"10","2",10,8.23115036007428,1.6733052991273,4.15,4.14032359789794
"11","20",11,9.19739654181183,1.77984596025272,4.25,4.22228890469708
"12","21",12,4.01142017628019,1.64384448913956,2.05,2.07261772443045
"13","22",13,9.07562842787015,1.74235016337585,4.3,4.29851669753749
"14","23",14,5.61999225746098,1.72058104227068,2.7,2.71174140327215
"15","24",15,9.09830378162472,1.6360458635489,4.75,4.73497486520315
"16","25",16,4.67224629365876,1.59079531022958,2.55,2.53829048161478
"17","26",17,9.34430036120348,1.63254171940897,4.9,4.87888546205692
"18","27",18,9.03154477920146,1.80608473762514,4.05,4.05884521625071
"19","28",19,7.55739604213375,1.68053292238204,3.75,3.77690088266052
"20","29",20,8.85163926666269,1.7599284437488,4.15,4.13101132417926
"21","3",21,5.14409614256396,1.69940504490589,2.5,2.52824388720673
"22","30",22,8.46415637758301,1.8892820749452,3.55,3.56578010099314
"23","31",23,8.94448147018265,1.7469697321906,4.2,4.2199135221908
"24","32",24,9.07969230697725,1.68201043011699,4.55,4.53171160929143
"25","33",25,9.07555204063789,1.6838686824374,4.55,4.52215567724062
"26","35",26,7.58829503621145,1.75617198148212,3.55,3.5525369980771
"27","4",27,8.32936223571792,1.68080943021427,4.15,4.16167345336336
"28","5",28,9.06214758472771,1.73141051175953,4.35,4.3322153903373
"29","6",29,5.33380235796821,1.51677093965935,3.1,3.12188549698809
"30","7",30,9.31169030264058,1.62079301368245,4.95,4.91570598808611
"31","8",31,0.693660701550129,1.47881832165068,0.35,0.42277127448897
"32","9",32,7.96834420429418,1.68326843968561,3.95,3.97257912423292
"33","anc2",33,8.46076383680198,1.69397548674019,4.15,4.17824530072461
"34","anc3",34,9.1541812188955,1.67695643396139,4.6,4.58956260666359
"35","anc4",35,8.5703921812036,1.68657570489802,4.25,4.26018384792743
"36","anc5",36,4.03420492005732,1.5667594235166,2.25,2.24398669876949
"37","cc1690",37,9.42260362546944,1.82135138683893,4.2,4.18333708221206
