"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Light limitation","1",1,"K_s",8.63589026229833,1.00167464992628,3000
"2","Light limitation","1",1,"deviance",-18.2700743501921,1.00091765256016,6000
"3","Light limitation","1",1,"r_max",1.5943766342662,1.00128813482704,4400
"4","Light limitation","1",1,"sigma",0.19656536523736,1.00094699043584,6000
"5","Light limitation","10",2,"K_s",9.48109893165658,1.00083376887479,6000
"6","Light limitation","10",2,"deviance",-13.5284535229474,1.00226516990884,2400
"7","Light limitation","10",2,"r_max",1.80175672857592,1.00142015604997,3800
"8","Light limitation","10",2,"sigma",0.208467565946768,1.00080796719789,6000
"9","Light limitation","11",3,"K_s",5.09452039549851,1.001473782419,3600
"10","Light limitation","11",3,"deviance",-17.6454322589849,1.00094321510419,6000
"11","Light limitation","11",3,"r_max",1.55689631451455,1.0015317832021,3400
"12","Light limitation","11",3,"sigma",0.197570468132425,1.00066175906279,6000
"13","Light limitation","14",4,"K_s",4.71442856731758,1.00076451188625,6000
"14","Light limitation","14",4,"deviance",-14.1719337574331,1.00137692659807,4000
"15","Light limitation","14",4,"r_max",1.60861010813667,1.00071236016525,6000
"16","Light limitation","14",4,"sigma",0.207075283059518,1.00192189702615,2500
"17","Light limitation","15",5,"K_s",5.23823732077032,1.00115234116557,5400
"18","Light limitation","15",5,"deviance",-33.5053902071093,1.00149953593879,3500
"19","Light limitation","15",5,"r_max",1.65122493400905,1.00062225578902,6000
"20","Light limitation","15",5,"sigma",0.16203266437385,1.00101646815928,6000
"21","Light limitation","16",6,"K_s",5.82798480984333,1.00152656177365,3400
"22","Light limitation","16",6,"deviance",-33.7612700091692,1.00156380582967,3300
"23","Light limitation","16",6,"r_max",1.6558913253578,1.00094165700447,6000
"24","Light limitation","16",6,"sigma",0.161701410769803,1.00069896558065,6000
"25","Light limitation","17",7,"K_s",6.84323144395356,1.00121682841413,4900
"26","Light limitation","17",7,"deviance",-10.3244647286701,1.00233624119965,1900
"27","Light limitation","17",7,"r_max",1.75934629798925,1.00102268780795,6000
"28","Light limitation","17",7,"sigma",0.216822216739768,1.00088152155865,6000
"29","Light limitation","18",8,"K_s",9.19670040470124,1.00161846837665,3100
"30","Light limitation","18",8,"deviance",-8.37312045827052,1.00154816408899,3300
"31","Light limitation","18",8,"r_max",1.71302028301412,1.00108953500102,5900
"32","Light limitation","18",8,"sigma",0.222564227777891,1.00113529399477,5500
"33","Light limitation","19",9,"K_s",7.55413166704308,1.00184589534658,2600
"34","Light limitation","19",9,"deviance",-13.6622472069789,1.00126083892244,4600
"35","Light limitation","19",9,"r_max",1.58536707539291,1.00125301585007,4600
"36","Light limitation","19",9,"sigma",0.207747272267117,1.00107305303867,6000
"37","Light limitation","2",10,"K_s",8.23115036007428,1.001094168238,5900
"38","Light limitation","2",10,"deviance",-22.4958331527332,1.00104433318401,6000
"39","Light limitation","2",10,"r_max",1.6733052991273,1.00156951904517,3300
"40","Light limitation","2",10,"sigma",0.186489335208283,1.0013827186429,4000
"41","Light limitation","20",11,"K_s",9.19739654181183,1.00079109423808,6000
