"","Pop.fac","Pop.num","r.max","c.mod","c.pred"
"1","1",1,1.20982117061321,2.02738947700625,1.66
"2","10",2,1.24514687015901,3.22319456117462,3.23
"3","11",3,1.15481283138202,3.15694088413776,3.12
"4","14",4,1.5752889419346,6.89014629793791,7.055
"5","15",5,1.1213587397816,8.76525090581951,9.405
"6","16",6,1.25088153611395,4.79436959896101,4.41
"7","17",7,1.07469162816835,3.95383242101672,3.88
"8","18",8,1.55645217749035,6.50749344535186,6.625
"9","19",9,1.19648649334475,3.00355985178852,2.995
"10","2",10,1.37319044293755,8.90646637416564,9.245
"11","20",11,1.28569219118741,3.21979448492181,3.2
"12","21",12,1.62427384893869,2.82985940332279,2.865
"13","22",13,1.54650674464105,2.70223504762898,2.725
"14","23",14,1.47573741301581,3.57350745202151,3.485
"15","24",15,1.70745740622584,2.59304074065455,2.605
"16","25",16,1.25685169667761,6.45441892956346,6.58
"17","26",17,1.29964642129862,3.29953899232155,3.3
"18","27",18,1.27386679331177,2.96446370212548,2.985
"19","28",19,1.14311966780743,3.44733481381692,3.335
"20","29",20,1.08873792588822,3.8073912375588,3.685
"21","3",21,1.31852260691886,2.99282368659032,2.995
"22","30",22,1.41251388704393,2.83988929025142,2.855
"23","31",23,1.42100450739785,2.82274605221381,2.88
"24","32",24,1.05194101044542,6.93693168931195,7.11
"25","33",25,1.33228069402709,2.93550630926126,3
"26","35",26,1.37725312621169,3.8923148022197,3.75
"27","4",27,1.47846283488899,4.89979612687253,4.965
"28","5",28,1.64711929552487,3.04245228044727,3.06
"29","6",29,1.05045860137107,3.66827394547431,3.695
"30","7",30,0.898624623748646,4.03114259325452,4.015
"31","8",31,1.44369181732726,3.04347191850524,3.02
"32","9",32,1.56073512273138,6.3113138943697,6.465
"33","Anc 2",33,1.31196309072066,3.34322501870156,3.35
"34","Anc 3",34,1.42498701298765,3.15340765944504,3.175
"35","Anc 4",35,1.45653586000524,3.05235569408575,3.055
"36","Anc 5",36,1.28538449034874,2.98044384033002,2.975
"37","cc1690",37,1.20863173010976,3.04249888947402,2.99
