"","Pop.fac","Pop.num","r.max","c.mod","c.pred"
"1","1",1,1.26464057903862,2.06767539592645,1.61
"2","10",2,1.26875087276476,3.18738236921048,3.21
"3","11",3,1.16065679673777,3.14698339504035,3.115
"4","14",4,1.80722342080127,5.68544913193497,5.75
"5","15",5,1.03126748109059,11.2646115911685,10
"6","16",6,1.35572690047031,5.12181818136052,4.225
"7","17",7,1.07312167245209,3.9805477927498,3.88
"8","18",8,1.79634481141088,5.26111937239884,5.335
"9","19",9,1.19748708524634,2.99943578186008,2.995
"10","2",10,1.37829961502393,9.95944075536805,10
"11","20",11,1.2941929831911,3.20234293135887,3.19
"12","21",12,1.6404719668317,2.81020018618088,2.855
"13","22",13,1.55531621018357,2.69302308564873,2.72
"14","23",14,1.58160550897398,3.36615254014735,3.34
"15","24",15,1.70934493062778,2.58945927651919,2.605
"16","25",16,1.26157137177761,6.44945449108313,6.57
"17","26",17,1.30001254674391,3.29832616206334,3.3
"18","27",18,1.27921211478395,2.95467947167037,2.98
"19","28",19,1.15300048972997,3.43978400200154,3.35
"20","29",20,1.09339755606191,4.18799076369029,3.68
"21","3",21,1.31822629471238,2.99565121520912,2.995
"22","30",22,1.43381313293763,2.79994135823564,2.835
"23","31",23,1.44373994914251,2.7948534482564,2.875
"24","32",24,1.06647626892732,6.88672616170512,7.1
"25","33",25,1.36421350426655,2.87932255539572,2.975
"26","35",26,1.76057992498925,3.43859436768536,2.965
"27","4",27,1.58900506087723,4.45173202162504,4.52
"28","5",28,1.87414632128258,2.65112855100707,2.76
"29","6",29,1.0518384197573,3.66350411075554,3.695
"30","7",30,0.90260125160359,4.04326654833124,4.01
"31","8",31,1.47759751792658,2.99534634008551,3.005
"32","9",32,2.03212307334049,4.62266412088186,4.01
"33","Anc 2",33,1.31947841038808,3.3266996600802,3.34
"34","Anc 3",34,1.46384835172336,3.07964076693077,3.125
"35","Anc 4",35,1.53317219134594,2.90494216146742,2.93
"36","Anc 5",36,1.29651118765295,2.96320602555705,2.965
"37","cc1690",37,1.22162633812556,3.02779928379886,2.985
