"","Pop.fac","Pop.num","r.max","c.mod","c.pred"
"1","1",1,1.25633723589813,2.11746748518491,1.615
"2","10",2,1.26659009903252,3.19644937990273,3.21
"3","11",3,1.16474529124702,3.15025290294863,3.115
"4","14",4,1.79754048677637,5.94885904427859,5.835
"5","15",5,0.996463011820082,13.7082949941164,10
"6","16",6,1.29352598220658,6.147612186818,4.435
"7","17",7,1.07563317601931,4.00744350168069,3.885
"8","18",8,1.76533651721837,5.55611491770386,5.525
"9","19",9,1.19560524005782,3.00532795893157,2.995
"10","2",10,1.34683067987809,10.9443277284288,10
"11","20",11,1.29787448921649,3.20521560447637,3.195
"12","21",12,1.64129450104974,2.80545957829341,2.85
"13","22",13,1.55514986784073,2.6909788987854,2.72
"14","23",14,1.57835805405784,3.38002679742609,3.35
"15","24",15,1.7124911759644,2.58209211532681,2.6
"16","25",16,1.26664773007231,6.45616290348103,6.57
"17","26",17,1.29792474591739,3.30109051616259,3.305
"18","27",18,1.27867128080769,2.95784734951016,2.98
"19","28",19,1.15203945322302,3.43907832278457,3.335
"20","29",20,1.07482867966188,4.66384573982475,3.71
"21","3",21,1.3183924001773,2.99364343349821,2.995
"22","30",22,1.43199861218288,2.80394546149618,2.835
"23","31",23,1.44507938176216,2.78931877160746,2.865
"24","32",24,1.0627395969835,6.96443856761936,7.11
"25","33",25,1.36945825051038,2.87626281439393,2.975
"26","35",26,1.69838546040297,4.11708964446463,3.065
"27","4",27,1.5773945551682,4.49417163543614,4.56
"28","5",28,1.87981906368395,2.64193743139559,2.745
"29","6",29,1.05395349209091,3.65980165377143,3.69
"30","7",30,0.906612386529383,4.02925912024479,4.005
"31","8",31,1.47204288007507,3.00533312666053,3.005
"32","9",32,1.94651563807585,5.62277805629202,4.46
"33","Anc 2",33,1.31893490735692,3.32562860893825,3.335
"34","Anc 3",34,1.46152421605612,3.08187919596151,3.13
"35","Anc 4",35,1.53073620514192,2.91307188037079,2.935
"36","Anc 5",36,1.29632130496489,2.96957630970686,2.965
"37","cc1690",37,1.22500884281987,3.03302929156882,2.985
