"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Salt stress","1",1,"a",1.20982117061321,1.00084618527758,6000
"2","Salt stress","1",1,"b",4.66105534875807,1.00090416406506,6000
"3","Salt stress","1",1,"c",2.02738947700625,1.00092448508516,6000
"4","Salt stress","1",1,"deviance",4.87776005694564,1.0016363283061,3100
"5","Salt stress","10",2,"a",1.24514687015901,1.00076348151519,6000
"6","Salt stress","10",2,"b",3.40845135489888,1.00101647193053,6000
"7","Salt stress","10",2,"c",3.22319456117462,1.00099141487103,6000
"8","Salt stress","10",2,"deviance",-4.29676666400291,1.00122097420228,4800
"9","Salt stress","11",3,"a",1.15481283138202,1.00095893110302,6000
"10","Salt stress","11",3,"b",4.79398833382314,1.00110270684856,5800
"11","Salt stress","11",3,"c",3.15694088413776,1.00895085594544,2700
"12","Salt stress","11",3,"deviance",-3.51670732436273,1.00075842896785,6000
"13","Salt stress","14",4,"a",1.5752889419346,1.0012792145567,4500
"14","Salt stress","14",4,"b",0.348286296619343,1.00187041686083,3500
"15","Salt stress","14",4,"c",6.89014629793791,1.00097240690121,6000
"16","Salt stress","14",4,"deviance",-10.5484401187735,1.0010796200164,6000
"17","Salt stress","15",5,"a",1.1213587397816,1.0031701041726,1300
"18","Salt stress","15",5,"b",3.37201259031768,1.00417611665326,960
"19","Salt stress","15",5,"c",8.76525090581951,1.0103189805107,1500
"20","Salt stress","15",5,"deviance",-10.8321824679972,1.00123449731915,4800
"21","Salt stress","16",6,"a",1.25088153611395,1.00134179603605,4200
"22","Salt stress","16",6,"b",2.33284478236242,1.0008986207109,6000
"23","Salt stress","16",6,"c",4.79436959896101,1.00294366673312,2700
"24","Salt stress","16",6,"deviance",7.20689474779086,1.00081370716164,6000
"25","Salt stress","17",7,"a",1.07469162816835,1.00082706911232,6000
"26","Salt stress","17",7,"b",5.09242801306239,1.00175627911422,2800
"27","Salt stress","17",7,"c",3.95383242101672,1.00552477739604,6000
"28","Salt stress","17",7,"deviance",-2.4260738921061,1.00126776763498,4600
"29","Salt stress","18",8,"a",1.55645217749035,1.00092373352827,6000
"30","Salt stress","18",8,"b",0.353192114358063,1.00561970778523,3200
"31","Salt stress","18",8,"c",6.50749344535186,1.00076703227141,6000
"32","Salt stress","18",8,"deviance",-12.1167399242513,1.0016301171005,3400
"33","Salt stress","19",9,"a",1.19648649334475,1.00187914011314,2500
"34","Salt stress","19",9,"b",4.12253493700065,1.00077062719173,6000
"35","Salt stress","19",9,"c",3.00355985178852,1.00357615326152,3000
"36","Salt stress","19",9,"deviance",-11.3739059000419,1.00114916906788,5400
"37","Salt stress","2",10,"a",1.37319044293755,1.00137739351542,4000
"38","Salt stress","2",10,"b",1.41889794276222,1.00143326259465,3700
"39","Salt stress","2",10,"c",8.90646637416564,1.00228353936408,2300
"40","Salt stress","2",10,"deviance",-14.2570291812145,1.00070921190391,6000
"41","Salt stress","20",11,"a",1.28569219118741,1.00101713046737,6000
"42","Salt stress","20",11,"b",3.49150712831505,1.00123754604132,4700
"43","Salt stress","20",11,"c",3.21979448492181,1.00145461649566,6000
"44","Salt stress","20",11,"deviance",-6.19491612651161,1.0009348478669,6000
"45","Salt stress","21",12,"a",1.62427384893869,1.00107030833165,6000
"46","Salt stress","21",12,"b",2.58298319613145,1.00082839197408,6000
"47","Salt stress","21",12,"c",2.82985940332279,1.00092990045441,6000
"48","Salt stress","21",12,"deviance",-12.7573478668459,1.0010100744228,6000
"49","Salt stress","22",13,"a",1.54650674464105,1.00071040444127,6000
"50","Salt stress","22",13,"b",1.83928275056091,1.00078467535576,6000
"51","Salt stress","22",13,"c",2.70223504762898,1.00091776918995,6000
"52","Salt stress","22",13,"deviance",-15.6087635232047,1.00124933429861,4700
"53","Salt stress","23",14,"a",1.47573741301581,1.0008752070836,6000
"54","Salt stress","23",14,"b",2.25272452228483,1.00120910188047,4900
"55","Salt stress","23",14,"c",3.57350745202151,1.00074027784001,6000
"56","Salt stress","23",14,"deviance",0.679064553449583,1.00069916521686,6000
"57","Salt stress","24",15,"a",1.70745740622584,1.00078825186285,6000
"58","Salt stress","24",15,"b",2.33947171316762,1.00064632938466,6000
"59","Salt stress","24",15,"c",2.59304074065455,1.00072827175687,6000
"60","Salt stress","24",15,"deviance",-19.79127725379,1.0007553411436,6000
"61","Salt stress","25",16,"a",1.25685169667761,1.0012314857114,4800
"62","Salt stress","25",16,"b",4.22399708061703,1.00085908625475,6000
"63","Salt stress","25",16,"c",6.45441892956346,1.01491092954881,3200
"64","Salt stress","25",16,"deviance",3.95835295853283,1.00147089316507,3600
"65","Salt stress","26",17,"a",1.29964642129862,1.00082894742111,6000
"66","Salt stress","26",17,"b",1.62119293912231,1.00071201441379,6000
"67","Salt stress","26",17,"c",3.29953899232155,1.0009817294626,6000
"68","Salt stress","26",17,"deviance",-22.3242006559758,1.00093888902694,6000
"69","Salt stress","27",18,"a",1.27386679331177,1.00109399538501,5900
"70","Salt stress","27",18,"b",2.81873582254314,1.00099591397438,6000
"71","Salt stress","27",18,"c",2.96446370212548,1.00263493634215,2700
"72","Salt stress","27",18,"deviance",-16.0560851593658,1.00073829782764,6000
"73","Salt stress","28",19,"a",1.14311966780743,1.00090517453322,6000
"74","Salt stress","28",19,"b",3.52750304463933,1.00088564938082,6000
"75","Salt stress","28",19,"c",3.44733481381692,1.00077822579174,6000
"76","Salt stress","28",19,"deviance",-3.4391144416424,1.00078583586331,6000
"77","Salt stress","29",20,"a",1.08873792588822,1.00065293433914,6000
"78","Salt stress","29",20,"b",4.22645081478948,1.00098636466213,6000
"79","Salt stress","29",20,"c",3.8073912375588,1.00251097858355,6000
"80","Salt stress","29",20,"deviance",6.33510665343859,1.00115972877223,5300
"81","Salt stress","3",21,"a",1.31852260691886,1.00094997054322,6000
"82","Salt stress","3",21,"b",5.94605553836747,1.00120489969081,5000
"83","Salt stress","3",21,"c",2.99282368659032,1.001834687721,6000
"84","Salt stress","3",21,"deviance",-23.8765247169177,1.00061266687927,6000
"85","Salt stress","30",22,"a",1.41251388704393,1.00097778769088,6000
"86","Salt stress","30",22,"b",3.16320480514353,1.00106181474663,6000
"87","Salt stress","30",22,"c",2.83988929025142,1.00097280978017,6000
"88","Salt stress","30",22,"deviance",-6.05492183195283,1.00074817820856,6000
"89","Salt stress","31",23,"a",1.42100450739785,1.00113052794535,5500
"90","Salt stress","31",23,"b",3.55525874932064,1.00109504680241,5900
"91","Salt stress","31",23,"c",2.82274605221381,1.00232683523476,6000
"92","Salt stress","31",23,"deviance",-7.16724866350947,1.00136164185185,4100
"93","Salt stress","32",24,"a",1.05194101044542,1.00159180583075,3200
"94","Salt stress","32",24,"b",4.83171524939318,1.00126875173079,4500
"95","Salt stress","32",24,"c",6.93693168931195,1.01947160402687,6000
"96","Salt stress","32",24,"deviance",-0.180987576445846,1.00059005531863,6000
"97","Salt stress","33",25,"a",1.33228069402709,1.00125194244863,4600
"98","Salt stress","33",25,"b",3.19382765794408,1.0012986214206,4400
"99","Salt stress","33",25,"c",2.93550630926126,1.00148775438301,6000
"100","Salt stress","33",25,"deviance",-9.90082947518145,1.00109831949489,5800
"101","Salt stress","35",26,"a",1.37725312621169,1.00148677265413,3500
"102","Salt stress","35",26,"b",3.26535769286249,1.00154526361633,3300
"103","Salt stress","35",26,"c",3.8923148022197,1.00097591972642,6000
"104","Salt stress","35",26,"deviance",11.7107540393741,1.00242519673202,1800
"105","Salt stress","4",27,"a",1.47846283488899,1.00082729005036,6000
"106","Salt stress","4",27,"b",0.422931455066392,1.00147184345732,6000
"107","Salt stress","4",27,"c",4.89979612687253,1.00092254612525,6000
"108","Salt stress","4",27,"deviance",-18.0096103666113,1.00134313850398,4100
"109","Salt stress","5",28,"a",1.64711929552487,1.00150615940095,3500
"110","Salt stress","5",28,"b",1.5416585328029,1.000958077595,6000
"111","Salt stress","5",28,"c",3.04245228044727,1.00126241786284,4600
"112","Salt stress","5",28,"deviance",-7.78434160273814,1.00116245799261,5300
"113","Salt stress","6",29,"a",1.05045860137107,1.00153095123767,3400
"114","Salt stress","6",29,"b",4.5860779256157,1.00127212088866,4500
"115","Salt stress","6",29,"c",3.66827394547431,1.0022567654487,6000
"116","Salt stress","6",29,"deviance",-6.41590627841114,1.00137360504048,4000
"117","Salt stress","7",30,"a",0.898624623748646,1.00067694054723,6000
"118","Salt stress","7",30,"b",3.94603131553576,1.00118217574639,5100
"119","Salt stress","7",30,"c",4.03114259325452,1.0029010598467,6000
"120","Salt stress","7",30,"deviance",-3.32826470705521,1.00094640148481,6000
"121","Salt stress","8",31,"a",1.44369181732726,1.0012764459537,4500
"122","Salt stress","8",31,"b",3.38054281038781,1.00123797876503,4700
"123","Salt stress","8",31,"c",3.04347191850524,1.00527411283735,4000
"124","Salt stress","8",31,"deviance",-3.26260881393197,1.00221419061785,2000
"125","Salt stress","9",32,"a",1.56073512273138,1.00133644543411,4200
"126","Salt stress","9",32,"b",0.875204947289876,1.00096006064672,6000
"127","Salt stress","9",32,"c",6.3113138943697,1.00340708765845,4200
"128","Salt stress","9",32,"deviance",2.19212126323687,1.00103595064349,6000
"129","Salt stress","Anc 2",33,"a",1.31196309072066,1.0018330299945,2600
"130","Salt stress","Anc 2",33,"b",2.10966626026323,1.00177807804204,2700
"131","Salt stress","Anc 2",33,"c",3.34322501870156,1.00100678167993,6000
"132","Salt stress","Anc 2",33,"deviance",-10.7154598297266,1.00066757725967,6000
"133","Salt stress","Anc 3",34,"a",1.42498701298765,1.00083692911066,6000
"134","Salt stress","Anc 3",34,"b",1.9532116477864,1.00067056407395,6000
"135","Salt stress","Anc 3",34,"c",3.15340765944504,1.00400665405312,6000
"136","Salt stress","Anc 3",34,"deviance",-8.40578689813836,1.00091926929741,6000
"137","Salt stress","Anc 4",35,"a",1.45653586000524,1.00099717327785,6000
"138","Salt stress","Anc 4",35,"b",1.41329936162245,1.00097327729667,6000
"139","Salt stress","Anc 4",35,"c",3.05235569408575,1.00067565456368,6000
"140","Salt stress","Anc 4",35,"deviance",-9.12378712003911,1.00109158544771,5900
"141","Salt stress","Anc 5",36,"a",1.28538449034874,1.00067226871822,6000
"142","Salt stress","Anc 5",36,"b",3.47244464756795,1.00089158806067,6000
"143","Salt stress","Anc 5",36,"c",2.98044384033002,1.00106073369679,6000
"144","Salt stress","Anc 5",36,"deviance",-7.37977863741981,1.00120799334403,4900
"145","Salt stress","cc1690",37,"a",1.20863173010976,1.00084632725334,6000
"146","Salt stress","cc1690",37,"b",3.97207844223128,1.00135434376231,4100
"147","Salt stress","cc1690",37,"c",3.04249888947402,1.00221187421959,4200
"148","Salt stress","cc1690",37,"deviance",-0.586647091648104,1.0016729505547,3000
