"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Salt stress","1",1,"a",1.27231128692641,1.00140401494161,3900
"2","Salt stress","1",1,"b",4.41891357583011,1.00146037083432,3600
"3","Salt stress","1",1,"c",2.02188281357416,1.00170931884266,2900
"4","Salt stress","1",1,"deviance",5.15692064277662,1.00133591999501,4200
"5","Salt stress","10",2,"a",1.27375394698145,1.00073123775682,6000
"6","Salt stress","10",2,"b",3.34650843622851,1.00173986747768,2800
"7","Salt stress","10",2,"c",3.16421486924115,1.0020589191762,6000
"8","Salt stress","10",2,"deviance",-4.15499805943702,1.0005152895959,6000
"9","Salt stress","11",3,"a",1.16641524895372,1.00114685319301,5400
"10","Salt stress","11",3,"b",4.77217891913648,1.00084423219428,6000
"11","Salt stress","11",3,"c",3.13800635323483,1.00103812773918,6000
"12","Salt stress","11",3,"deviance",-3.51111921052579,1.00084494770389,6000
"13","Salt stress","14",4,"a",1.90432306196991,1.00073497286538,6000
"14","Salt stress","14",4,"b",0.234733490953546,1.00249933843148,3100
"15","Salt stress","14",4,"c",4.91439006784297,1.00060702675063,6000
"16","Salt stress","14",4,"deviance",-11.1906653967444,1.00108347511301,6000
"17","Salt stress","15",5,"a",1.70808443475891,1.00209399359534,2200
"18","Salt stress","15",5,"b",0.493273507536324,1.00247960826403,2000
"19","Salt stress","15",5,"c",5.39111995250805,1.00109227841319,5900
"20","Salt stress","15",5,"deviance",-10.1939235076173,1.00304097460748,1500
"21","Salt stress","16",6,"a",1.43420046456228,1.00094214530525,6000
"22","Salt stress","16",6,"b",2.00390406190555,1.00092914048834,6000
"23","Salt stress","16",6,"c",4.11952703705755,1.00160955035219,4600
"24","Salt stress","16",6,"deviance",6.65392607909303,1.00119830634717,5000
"25","Salt stress","17",7,"a",1.07899247617139,1.00102348957379,6000
"26","Salt stress","17",7,"b",4.99857589212286,1.00108599767011,6000
"27","Salt stress","17",7,"c",3.94787176021577,1.01813237732879,6000
"28","Salt stress","17",7,"deviance",-2.43714615525625,1.00102615565056,6000
"29","Salt stress","18",8,"a",1.82132982316157,1.00094568029948,6000
"30","Salt stress","18",8,"b",0.26547831898022,1.00086635034341,6000
