"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Salt stress","1",1,"a",1.26464057903862,1.00147375795528,3600
"2","Salt stress","1",1,"b",4.40464067794058,1.00065122823815,6000
"3","Salt stress","1",1,"c",2.06767539592645,1.00159687489697,3200
"4","Salt stress","1",1,"deviance",5.23371166075889,1.00124003516543,4700
"5","Salt stress","10",2,"a",1.26875087276476,1.00085174197657,6000
"6","Salt stress","10",2,"b",3.383036232313,1.00119984208205,5000
"7","Salt stress","10",2,"c",3.18738236921048,1.00329114022772,6000
"8","Salt stress","10",2,"deviance",-4.17311273120588,1.00142397732497,3800
"9","Salt stress","11",3,"a",1.16065679673777,1.00167177990096,6000
"10","Salt stress","11",3,"b",4.75276231424832,1.00069388986184,6000
"11","Salt stress","11",3,"c",3.14698339504035,1.01296737533623,5200
"12","Salt stress","11",3,"deviance",-3.32652779271426,1.00145461375526,3700
"13","Salt stress","14",4,"a",1.80722342080127,1.00358816583937,1100
"14","Salt stress","14",4,"b",0.537959001205277,1.01561163668821,670
"15","Salt stress","14",4,"c",5.68544913193497,1.00208524406148,2500
"16","Salt stress","14",4,"deviance",-10.0199747065038,1.00656136838234,920
"17","Salt stress","15",5,"a",1.03126748109059,1.00093569928031,6000
"18","Salt stress","15",5,"b",3.79098902102823,1.00218009587677,2100
"19","Salt stress","15",5,"c",11.2646115911685,1.00173693954766,6000
"20","Salt stress","15",5,"deviance",-10.4649505040209,1.00089228125132,6000
"21","Salt stress","16",6,"a",1.35572690047031,1.0011644634158,5300
"22","Salt stress","16",6,"b",2.24062888138005,1.00103627519014,6000
"23","Salt stress","16",6,"c",5.12181818136052,1.00290209310208,2600
"24","Salt stress","16",6,"deviance",7.3065422710963,1.00115738587193,5300
"25","Salt stress","17",7,"a",1.07312167245209,1.00121026801535,6000
"26","Salt stress","17",7,"b",5.09341118064432,1.0017987717089,2700
"27","Salt stress","17",7,"c",3.9805477927498,1.00692628757141,5500
"28","Salt stress","17",7,"deviance",-2.36190392309651,1.00115667258321,5300
"29","Salt stress","18",8,"a",1.79634481141088,1.00278004413011,1500
"30","Salt stress","18",8,"b",0.311435003127009,1.01104716436556,880
"31","Salt stress","18",8,"c",5.26111937239884,1.00181837532801,2700
"32","Salt stress","18",8,"deviance",-12.0557226494457,1.0022161433915,3800
"33","Salt stress","19",9,"a",1.19748708524634,1.00145506753277,3700
"34","Salt stress","19",9,"b",4.15906309064241,1.00118765311944,5100
"35","Salt stress","19",9,"c",2.99943578186008,1.07349207933937,6000
"36","Salt stress","19",9,"deviance",-11.2991490286812,1.00234319929466,1900
"37","Salt stress","2",10,"a",1.37829961502393,1.00082658959852,6000
"38","Salt stress","2",10,"b",1.20806589456686,1.00099301230575,6000
"39","Salt stress","2",10,"c",9.95944075536805,1.00206116709292,5400
"40","Salt stress","2",10,"deviance",-14.5683361454337,1.00170648665478,2900
"41","Salt stress","20",11,"a",1.2941929831911,1.00061756668733,6000
"42","Salt stress","20",11,"b",3.56387500820349,1.00105489608633,6000
"43","Salt stress","20",11,"c",3.20234293135887,1.00158740982396,6000
"44","Salt stress","20",11,"deviance",-6.01320725977388,1.00178635726092,2700
"45","Salt stress","21",12,"a",1.6404719668317,1.00107492051462,6000
"46","Salt stress","21",12,"b",2.56689317936509,1.00121612807053,4900
"47","Salt stress","21",12,"c",2.81020018618088,1.04196651437559,6000
"48","Salt stress","21",12,"deviance",-12.5249974447323,1.00111402510616,5700
"49","Salt stress","22",13,"a",1.55531621018357,1.00065557696608,6000
"50","Salt stress","22",13,"b",1.82187130451459,1.00116103492895,5300
"51","Salt stress","22",13,"c",2.69302308564873,1.00988990329352,6000
"52","Salt stress","22",13,"deviance",-15.3778610967299,1.00098196198741,6000
"53","Salt stress","23",14,"a",1.58160550897398,1.00083181765931,6000
"54","Salt stress","23",14,"b",2.12444757521666,1.00096525257803,6000
"55","Salt stress","23",14,"c",3.36615254014735,1.0017776852435,6000
"56","Salt stress","23",14,"deviance",0.896856274294557,1.00086208889253,6000
"57","Salt stress","24",15,"a",1.70934493062778,1.00091756566872,6000
"58","Salt stress","24",15,"b",2.37906853668307,1.00067715840238,6000
"59","Salt stress","24",15,"c",2.58945927651919,1.00310751393762,6000
"60","Salt stress","24",15,"deviance",-19.6466799503301,1.00066769885176,6000
"61","Salt stress","25",16,"a",1.26157137177761,1.00153467500313,3400
"62","Salt stress","25",16,"b",4.26661761233308,1.00065378518058,6000
"63","Salt stress","25",16,"c",6.44945449108313,1.01068635769271,6000
"64","Salt stress","25",16,"deviance",4.12885991396419,1.00112330931938,5600
"65","Salt stress","26",17,"a",1.30001254674391,1.00167465927259,4100
"66","Salt stress","26",17,"b",1.6376347309708,1.00214932649727,3000
"67","Salt stress","26",17,"c",3.29832616206334,1.05476966835901,6000
"68","Salt stress","26",17,"deviance",-22.1892439731881,1.00095324405981,6000
"69","Salt stress","27",18,"a",1.27921211478395,1.00078416878543,6000
"70","Salt stress","27",18,"b",2.78075460029115,1.00078743499731,6000
"71","Salt stress","27",18,"c",2.95467947167037,1.02146384918905,6000
"72","Salt stress","27",18,"deviance",-15.9635511370808,1.00099740462343,6000
"73","Salt stress","28",19,"a",1.15300048972997,1.00094592098382,6000
"74","Salt stress","28",19,"b",3.47799229317075,1.00175154984712,2800
"75","Salt stress","28",19,"c",3.43978400200154,1.00559053788758,6000
"76","Salt stress","28",19,"deviance",-3.35419096713532,1.00066505760787,6000
"77","Salt stress","29",20,"a",1.09339755606191,1.00298782807967,2700
"78","Salt stress","29",20,"b",4.19473282618287,1.00156183128207,3300
"79","Salt stress","29",20,"c",4.18799076369029,1.00522439938958,1800
"80","Salt stress","29",20,"deviance",6.98670971892962,1.00134995015199,4100
"81","Salt stress","3",21,"a",1.31822629471238,1.00080373784388,6000
"82","Salt stress","3",21,"b",5.9762260935349,1.00100501808561,6000
"83","Salt stress","3",21,"c",2.99565121520912,1.009077907248,6000
"84","Salt stress","3",21,"deviance",-23.9538531890281,1.00102918601912,6000
"85","Salt stress","30",22,"a",1.43381313293763,1.00120648121974,4900
"86","Salt stress","30",22,"b",3.14362440507505,1.00064631544487,6000
"87","Salt stress","30",22,"c",2.79994135823564,1.00614412912542,3500
"88","Salt stress","30",22,"deviance",-5.83026835784759,1.00065686163198,6000
"89","Salt stress","31",23,"a",1.44373994914251,1.00083934030868,6000
"90","Salt stress","31",23,"b",3.47402333550409,1.00149202164514,3500
"91","Salt stress","31",23,"c",2.7948534482564,1.00499562091152,6000
"92","Salt stress","31",23,"deviance",-7.18535040823755,1.00110330021536,5800
"93","Salt stress","32",24,"a",1.06647626892732,1.00115943497732,5300
"94","Salt stress","32",24,"b",4.76906060636084,1.00094960063075,6000
"95","Salt stress","32",24,"c",6.88672616170512,1.0104892057137,6000
"96","Salt stress","32",24,"deviance",-0.0334060048440831,1.00140100878529,3900
"97","Salt stress","33",25,"a",1.36421350426655,1.00064359995313,6000
"98","Salt stress","33",25,"b",3.11554502856649,1.00058683068306,6000
"99","Salt stress","33",25,"c",2.87932255539572,1.01460376362552,3800
"100","Salt stress","33",25,"deviance",-9.68949499051837,1.00108328416188,6000
"101","Salt stress","35",26,"a",1.76057992498925,1.00109884570088,5800
"102","Salt stress","35",26,"b",2.52972623574217,1.00054681850627,6000
"103","Salt stress","35",26,"c",3.43859436768536,1.00119739917767,5400
"104","Salt stress","35",26,"deviance",10.9934624433594,1.00097599946663,6000
"105","Salt stress","4",27,"a",1.58900506087723,1.0014770604486,3600
"106","Salt stress","4",27,"b",0.39270672820754,1.00110824501815,5700
"107","Salt stress","4",27,"c",4.45173202162504,1.00430398546731,2200
"108","Salt stress","4",27,"deviance",-17.6925714455973,1.0006339740618,6000
"109","Salt stress","5",28,"a",1.87414632128258,1.00111241586512,5700
"110","Salt stress","5",28,"b",1.30918631688303,1.00079296384326,6000
"111","Salt stress","5",28,"c",2.65112855100707,1.00130589691018,4300
"112","Salt stress","5",28,"deviance",-7.79250944383621,1.00083760767799,6000
"113","Salt stress","6",29,"a",1.0518384197573,1.00084092642148,6000
"114","Salt stress","6",29,"b",4.6058758387219,1.00079099356241,6000
"115","Salt stress","6",29,"c",3.66350411075554,1.01650891484307,6000
"116","Salt stress","6",29,"deviance",-6.33526319680789,1.00067960011248,6000
"117","Salt stress","7",30,"a",0.90260125160359,1.0011772883426,5200
"118","Salt stress","7",30,"b",3.89947015081743,1.00093341901682,6000
"119","Salt stress","7",30,"c",4.04326654833124,1.00616883781937,3500
