"","Grad","Pop.fac","Pop.num","Parameter","mean","Rhat","n.eff"
"1","Salt stress","1",1,"a",1.25633723589813,1.00104376397095,6000
"2","Salt stress","1",1,"b",4.47453660355267,1.00105404450611,6000
"3","Salt stress","1",1,"c",2.11746748518491,1.00075372981191,6000
"4","Salt stress","1",1,"deviance",5.21785265146221,1.00090685141729,6000
"5","Salt stress","10",2,"a",1.26659009903252,1.00107563132567,6000
"6","Salt stress","10",2,"b",3.34551337011307,1.00128812136457,4400
"7","Salt stress","10",2,"c",3.19644937990273,1.02868539383346,2600
"8","Salt stress","10",2,"deviance",-4.26034279068426,1.00083480163267,6000
"9","Salt stress","11",3,"a",1.16474529124702,1.00171405285673,5700
"10","Salt stress","11",3,"b",4.79600224362937,1.00081004181817,6000
"11","Salt stress","11",3,"c",3.15025290294863,1.01808137270782,3000
"12","Salt stress","11",3,"deviance",-3.41790003076874,1.00171118622453,6000
"13","Salt stress","14",4,"a",1.79754048677637,1.00162157807747,3100
"14","Salt stress","14",4,"b",0.496885201827052,1.01174283067026,880
"15","Salt stress","14",4,"c",5.94885904427859,1.00203846985955,3300
"16","Salt stress","14",4,"deviance",-9.87305502576405,1.00167179349241,3300
"17","Salt stress","15",5,"a",0.996463011820082,1.00288548854081,1800
"18","Salt stress","15",5,"b",4.25754222190918,1.0058296432475,660
"19","Salt stress","15",5,"c",13.7082949941164,1.00172147123141,6000
"20","Salt stress","15",5,"deviance",-10.0230706028343,1.00146504493994,3600
"21","Salt stress","16",6,"a",1.29352598220658,1.00111632243255,5700
"22","Salt stress","16",6,"b",2.51119239864029,1.00133334336278,4200
"23","Salt stress","16",6,"c",6.147612186818,1.00095329581964,6000
"24","Salt stress","16",6,"deviance",7.80215729696096,1.00112033518774,5600
"25","Salt stress","17",7,"a",1.07563317601931,1.00143824155858,3800
"26","Salt stress","17",7,"b",5.03702435618493,1.00181260953608,2700
"27","Salt stress","17",7,"c",4.00744350168069,1.00460233029571,6000
"28","Salt stress","17",7,"deviance",-2.32421826037879,1.00082603925821,6000
"29","Salt stress","18",8,"a",1.76533651721837,1.00132547041306,4200
"30","Salt stress","18",8,"b",0.43889610789738,1.01276107388213,1000
"31","Salt stress","18",8,"c",5.55611491770386,1.00128438156581,4500
"32","Salt stress","18",8,"deviance",-11.746612282303,1.00216636446703,4400
"33","Salt stress","19",9,"a",1.19560524005782,1.00083556123298,6000
"34","Salt stress","19",9,"b",4.15621979343875,1.00116251840878,5300
"35","Salt stress","19",9,"c",3.00532795893157,1.03144741846997,3800
"36","Salt stress","19",9,"deviance",-11.3604863736057,1.00143074245442,3800
"37","Salt stress","2",10,"a",1.34683067987809,1.00070544483184,6000
"38","Salt stress","2",10,"b",1.62001956733557,1.00122853045805,4800
"39","Salt stress","2",10,"c",10.9443277284288,1.00326393708829,6000
"40","Salt stress","2",10,"deviance",-13.6004885941085,1.00128212682753,4500
