"","Sp.id","DIC","T.min.raw","T.max.raw","T.br.raw","T.opt.raw","r.max.raw"
"1","Actinocyclus octonarius",-88.1282959348181,4.7,30.9,16.5,29.1,5.34987552800498e-06
"2","Actinoptychus senarius",-143.314228516338,-0.3,30.9,16.4,29.6,8.67880323232257e-06
"3","Gymnodinium sanguineum",-3522.44198454713,4.7,34.6,19.8,24.2,4.03539953205912e-06
"4","Alexandrium catenella",-301.099067277239,8.4,30.4,13.4,27.4,8.0650119557643e-06
"5","Alexandrium catenella ",-60.7173776331496,9.7,16.1,4.5,13.3,3.00039703489722e-06
"6","Alexandrium fundyense",-489.397513611451,1.6,24.4,14.7,17.1,3.39474775435262e-06
"7","Alexandrium minutum",-201.2472969123,7,25.7,11.8,22.7,3.93361484768427e-06
"8","Alexandrium monilatum",-189.835714283967,15.3,31.6,11.2,28.7,8.16275639575381e-06
"9","Alexandrium ostenfeldii",-547.427697717587,8.8,26.3,11.8,20.9,2.29734603581052e-06
"10","Amphidinium klebsii",-274.446635731163,16,36.5,13.7,29,3.42852902272235e-06
"11","Amphidinium",-133.807573119823,4.4,35.5,19.7,29.1,5.32300443180149e-06
"12","Amphiprora paludosa",-147.373951233491,1.1,30.7,14.1,27.5,2.15760882626935e-05
"13","Amphiprora",-278.883880386884,11,34,15.1,30.1,8.80732482055396e-06
"14","Dolichospermum flosaquae",-343.70623930432,-5,39.6,32.7,24.3,5.11337904026156e-06
"15","Aphanizomenon flosaquae",-1647.79337810244,5,35.5,19.5,25.9,7.65103873641559e-06
"16","Asterionella formosa",-1219.77414356981,-0.7,30.1,21.5,21.3,1.11869517758132e-05
"17","Asterionellopsis glacialis",-1216.74039149583,-5,37.2,26.1,25.7,1.53602017351402e-05
"18","Aulacoseira granulata",-191.383312117618,-0.5,30.8,15.7,29.2,1.03924389810142e-05
"19","Odontella aurita",-340.088543471435,-5,20.1,16.3,12.4,1.011543160779e-05
"20","Odontella regia",-45.7517682827904,4.8,25.8,14.6,17,8.34104880392175e-06
"21","Odontella sinensis",-230.097636879679,-0.7,31.1,19.6,29.3,8.54794560894217e-06
"22","Cyclococcolithus leptoporus",-279.266823450425,6.4,24.9,12.9,17,4.76747002016893e-06
"23","Ceratium furca",-1018.68834400467,5.1,33.3,18.9,23,4.36437770855371e-06
"24","Ceratium furcoides",-387.470198563905,8.8,30.1,14.5,21.7,2.3066914801614e-06
"25","Ceratium fusus",-795.867634739014,6.7,32.1,15.7,26.4,4.14969838614381e-06
"26","Chaetoceros calcitrans",-725.098934132411,4.5,29.3,15.1,25.6,2.59342656145841e-05
"27","Chaetoceros curvisetum",249.992045885783,NA,NA,NA,17.8,-0.00884202448498519
"28","Chaetoceros debilis",217.458574816313,NA,NA,NA,14.6,-0.010100804679687
"29","Chaetoceros diadema",224.633770341186,NA,NA,NA,4.8,-0.00287409578017162
"30","Chaetoceros gracilis",-883.718691885787,-0.199999999999999,36.5,20.5,30.8,2.2901172448137e-05
"31","Chaetoceros pseudocurvisetus",-214.445275940141,13.4,34.8,14.2,27.2,1.69440951244117e-05
"32","Chaetoceros simplex",-845.918831314204,6.3,26.3,10.9,25.5,2.28604227635663e-05
"33","Chaetoceros",-1296.7726226796,-2.2,41.4,25.1,30,3.27809249310374e-05
"34","Chaetoceros teres",192.131699464047,NA,NA,NA,9,-0.00395253788035792
"35","Chattonella marina",-1149.4486183962,10.4,35,17,27.9,5.77722000727059e-06
"36","Chlamydomonas alpina",-392.320969096399,0.300000000000001,19.8,13,12.7,8.02786021335556e-06
"37","Chlamydomonas globosa",-363.363954998532,-1.2,20.9,12.3,20,1.46775583348697e-05
"38","Chlamydomonas intermedia",-210.177428402552,-5,20,15.9,16.9,1.27620513155846e-05
"39","Chlamydomonas subcaudata",-408.688504324908,-5,19.3,15.7,11.8,9.38899486335705e-06
"40","Chlamydomonas",-366.208132314357,-5,30.1,33.5,18.2,4.67154071406279e-06
"41","Chlorella ellipsoidea",-40.8814070488477,16.9,28.4,8.1,23.2,5.55636556356688e-06
"42","Chlorella",-2055.73877438578,-5,39.4,39.6,19.4,6.82805640807268e-06
"43","Chlorella pyrenoidosa",-187.457955204841,12.8,39.8,14,38.9,4.77698505913252e-05
