"","Sp.id","Parameter","mean","Rhat","n.eff"
"1","Actinocyclus octonarius_Baars (1981)","cf.a",0.0182944133937717,16.3310720261626,3
"2","Actinocyclus octonarius_Baars (1981)","cf.b",-0.666673647889293,1,1
"3","Actinocyclus octonarius_Baars (1981)","cf.delta_t",6.38592405719453,7.73476072642104,3
"4","Actinocyclus octonarius_Baars (1981)","cf.sigma",3.73567771115181e-06,1.01320862222718,190
"5","Actinocyclus octonarius_Baars (1981)","cf.tmax",41.2412522127424,1.26181317433041,1300
"6","Actinocyclus octonarius_Baars (1981)","deviance",-136.276436295873,1.01851537780149,140
"7","Actinoptychus senarius_Baars (1981)","cf.a",0.0418913050138185,63.2409404680225,3
"8","Actinoptychus senarius_Baars (1981)","cf.b",-0.666666927381384,1,1
"9","Actinoptychus senarius_Baars (1981)","cf.delta_t",2.99793314787126,6.85932711993075,3
"10","Actinoptychus senarius_Baars (1981)","cf.sigma",8.198016787712e-07,1.01109257380179,230
"11","Actinoptychus senarius_Baars (1981)","cf.tmax",39.1041035530357,3.15050322274819,4
"12","Actinoptychus senarius_Baars (1981)","deviance",-179.360848073711,1.0123897421462,240
"13","Gymnodinium sanguineum_Thomas et al. (1973)","cf.a",0.0657832736868753,1,1
"14","Gymnodinium sanguineum_Thomas et al. (1973)","cf.b",-1.52467724065451e-05,1,1
"15","Gymnodinium sanguineum_Thomas et al. (1973)","cf.delta_t",15.8811970094805,1,1
"16","Gymnodinium sanguineum_Thomas et al. (1973)","cf.sigma",5.49681564720141e-07,1.02345066118484,90
"17","Gymnodinium sanguineum_Thomas et al. (1973)","cf.tmax",38.7526405875652,12.276152019342,3
"18","Gymnodinium sanguineum_Thomas et al. (1973)","deviance",-417.664402379463,1.1372914465287,19
"19","Gymnodinium sanguineum_Boyd et al. (2013)","cf.a",0.0831758793117362,1,1
"20","Gymnodinium sanguineum_Boyd et al. (2013)","cf.b",-2.98494953323766e-06,1,1
"21","Gymnodinium sanguineum_Boyd et al. (2013)","cf.delta_t",12.2475477971613,1,1
"22","Gymnodinium sanguineum_Boyd et al. (2013)","cf.sigma",6.13771681507435e-07,1.05300816838789,43
"23","Gymnodinium sanguineum_Boyd et al. (2013)","cf.tmax",36.7191898736305,12.0664281919656,3
"24","Gymnodinium sanguineum_Boyd et al. (2013)","deviance",-3170.81133802949,2.23152930331099,5
"25","Alexandrium catenella_Laabir et al. (2011)","cf.a",0.0556772171738701,371.443013395045,3
"26","Alexandrium catenella_Laabir et al. (2011)","cf.b",-2.92249450000799e-05,1,1
"27","Alexandrium catenella_Laabir et al. (2011)","cf.delta_t",17.9761519426831,371.494997024395,3
"28","Alexandrium catenella_Laabir et al. (2011)","cf.sigma",3.28246559732306e-06,1.00061035594332,3000
"29","Alexandrium catenella_Laabir et al. (2011)","cf.tmax",40.3604368434699,1.02291829994405,650
"30","Alexandrium catenella_Laabir et al. (2011)","deviance",-137.163030362187,1.00059735541327,3000
"31","Alexandrium catenella _Navarro et al. (2006)","cf.a",0.0117280654223895,1.85783540740212,6
"32","Alexandrium catenella _Navarro et al. (2006)","cf.b",-0.833395057787133,1.91972814189322,6
"33","Alexandrium catenella _Navarro et al. (2006)","cf.delta_t",3.69842283473131,1.58706819719756,7
"34","Alexandrium catenella _Navarro et al. (2006)","cf.sigma",0.000478980899188066,1.14575569073066,62
"35","Alexandrium catenella _Navarro et al. (2006)","cf.tmax",34.172613691868,1.08557092050524,44
"36","Alexandrium catenella _Navarro et al. (2006)","deviance",-90.6614949134323,1.15496933811116,59
"37","Alexandrium fundyense_Etheridge and Roesler (2005)","cf.a",0.0769323006043883,1,1
"38","Alexandrium fundyense_Etheridge and Roesler (2005)","cf.b",-7.87690476210249e-06,1,1
"39","Alexandrium fundyense_Etheridge and Roesler (2005)","cf.delta_t",13.4672808905803,1,1
"40","Alexandrium fundyense_Etheridge and Roesler (2005)","cf.sigma",1.25081717222445e-06,1.00074958855107,3000
"41","Alexandrium fundyense_Etheridge and Roesler (2005)","cf.tmax",30.0164521436144,2.83007406872813,4
"42","Alexandrium fundyense_Etheridge and Roesler (2005)","deviance",-245.619704431346,1.00376919618205,670
"43","Alexandrium minutum_Cannon (1993)","cf.a",0.125136246550603,1,1
"44","Alexandrium minutum_Cannon (1993)","cf.b",-7.79866251496717e-06,1,1
"45","Alexandrium minutum_Cannon (1993)","cf.delta_t",10.1875509994202,1,1
"46","Alexandrium minutum_Cannon (1993)","cf.sigma",4.54795318280303e-07,1.29652894036231,11
