Name,N.per,C.per,C/N Ratio
1,4.57,22.61,4.9489
2,4.66,22.63,4.8608
3,6.05,30,4.9565
4,4.03,20.56,5.1019
5,3.24,14.53,4.4816
6,2.34,11.1,4.7471
7,4.63,21.56,4.6602
8,3.36,16.54,4.9222
9,3.28,14.29,4.3506
10,2.5,13.27,5.3042
11,3.22,15.43,4.7991
12,2.57,12.53,4.8808
13,3.24,15.39,4.7495
14,2.32,12.33,5.309
15,3.97,19.68,4.9611
16,3.2,15.6,4.8813
17,7.64,36.71,4.8066
18,3.61,16.9,4.6866
19,6.82,32.57,4.7753
20,2.36,10.83,4.5998
21,5.19,25.29,4.8691
22,4.51,22.42,4.97
23,2.86,10.37,3.6211
24,1.41,7.4,5.229
25,4.69,23.64,5.038
26,6.29,30.86,4.9031
28,5.98,27.78,4.6432
30,2.65,12.98,4.8965
31,4.88,25.61,5.2535
32,2.82,14.21,5.0322
33,1.44,6.33,4.3836
34,3.09,15.8,5.1066
35,1.58,9,5.6953
36,5.59,27.73,4.9651
37,3.17,12.9,4.0736
38,5.47,24.85,4.5444
39,3.51,16.6,4.7225
40,4.35,19.98,4.5893
