"","trait","evol.p","anc.prop.var","em.B","em.BS","em.C","em.L","em.N","em.P","em.S"
"1","delta_T.br.0.56",0.172156290092386,0.115318201071187,0.0886343193164593,0.781327877457337,-0.65664085956403,0.132821251773092,-0.00593449162199346,-0.771305278763897,-0.713731895619826
"2","delta_r.max_T",0.161773831810142,0.284465061096076,0.215722923708849,0.157513050832994,0.0191831419654292,-0.0357825112051559,-0.2121203981026,0.73608626941873,-0.0177574280636418
"3","delta_r.max_I",0.871527436961531,0.620218849530216,-0.0572408625966788,0.0771885866412543,0.0193579046975947,0.0577487990113331,0.0513278783117591,0.0317928135428132,0.0392216758608791
"4","delta_I.comp",0.520775769626227,0.00603141426541309,0.0399797070601339,0.059103451600755,-0.0587860522252889,0.00103663837629449,0.0474203072043018,3.94749639764209,0.00401491145265937
"5","delta_r.max_N",0.855370320151446,0.177070085456274,-0.014327083271734,0.0398335657620798,-0.0743239569290268,-0.00406868591734004,-0.035013641835186,-0.028538008259628,0.02035769093298
"6","delta_N.comp",0.014198747854165,0,0.0175055983804155,0.0187183648678408,-0.069772780663158,0.0449413367218632,0.0671798393263946,0.319412814328097,-0.0241329718624436
"7","delta_r.max_P",0.658087531978485,0.32106504661871,-0.000251910974162139,0.0303880453396593,0.0647458902564179,0.100165012793696,0.036767317431216,0.011509372742548,0.065091691782958
"8","delta_P.comp",0.105538273127122,0.0797178883513673,0.0620503557542946,1.36988056365018,-0.334064849559779,-0.243275160652202,0.311449890167769,0.686347167679412,0.17389476541834
"9","delta_r.max_S",0.0472813067013858,0.134328605847298,-0.162900864668641,0.243287318662753,0.405604061984651,-0.065758511797,-0.265099910235802,-0.06843630916719,0.284727342360804
"10","delta_S.c.mod",0.0124963144231098,4.19188989130121e-21,0.317269800705487,1.95635811741226,-0.611255458127187,0.0135189385046219,0.0181613477491739,0.674782868959296,1.25726890249027
