"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"1","1",1,"1.B09",7.77940093805673,1.56479658593375,4.25,4.33566812059114
"2","1",1,"1.C06",7.24348099552209,1.58405829644119,3.85,3.96105316620058
"3","1",1,"1.E02",7.34646590317509,1.54376488661222,4.1,4.18191476618508
"4","1",1,"1.F11",7.91741641661078,1.50693363692914,4.6,4.682221668332
"5","2",10,"10.B10",8.32215572566759,1.62944346766017,4.35,4.3577873420185
"6","2",10,"10.C08",7.08834162426632,1.6900038603442,3.4,3.51279446813575
"7","2",10,"10.E04",7.02383916982579,1.62643751313364,3.6,3.68830792865174
"8","2",10,"10.F09",7.71016123725697,1.62014942533488,4,4.07271860898292
"9","20",11,"11.B06",7.85468812331672,1.76470178133718,3.6,3.65121511165612
"10","20",11,"11.D03",7.94524241323093,1.74568207127024,3.7,3.75255379095229
"11","20",11,"11.D08",8.4964698581322,1.712867647701,4.1,4.12711999512023
"12","20",11,"11.E09",8.45046458913284,1.71466944138594,4.1,4.09836789673269
"13","21",12,"12.C02",4.85594824610124,1.71555310526659,2.1,2.35327221693489
"14","21",12,"12.C09",5.64627278833738,1.64970859194701,2.8,2.90161313293809
"15","21",12,"12.E09",5.41229973321942,1.72685280011985,2.45,2.59748946078851
"16","21",12,"12.F04",3.71958312231609,1.63419313523941,1.65,1.93909873389089
"17","22",13,"13.B05",7.64829465068529,1.7648966360159,3.45,3.55469911389748
"18","22",13,"13.D03",7.81722458185636,1.61137884420538,4.1,4.16371871087833
"19","22",13,"13.E10",8.01579814810504,1.75789080463337,3.7,3.74729227870873
"20","22",13,"13.F06",7.41000634437105,1.59183025189131,3.95,4.02159516571812
"21","23",14,"14.B06",7.02685226957953,1.80951084478131,3.1,3.14926219920344
"22","23",14,"14.C10",5.86413514006604,1.71450492751498,2.8,2.84443626022928
"23","23",14,"14.E05",5.61355549624767,1.77694322993587,2.5,2.58318629872682
"24","23",14,"14.F10",5.43846926879642,1.64205439734564,2.75,2.81459305372903
"25","24",15,"15.B11",7.94936475742376,1.5481002653514,4.45,4.50525561044574
"26","24",15,"15.D02",8.49058865554857,1.57926161534362,4.65,4.66487658863151
"27","24",15,"15.E06",6.2264991417966,1.57253562636198,3.35,3.44367094709965
"28","24",15,"15.E11",8.32661291236395,1.6253911243793,4.35,4.37670553491838
"29","25",16,"16.B02",7.54686477845077,1.734677812081,3.55,3.59779016209171
"30","25",16,"16.C05",5.41453427550267,1.66243275607083,2.65,2.75040738547021
"31","25",16,"16.E03",4.64541247122232,1.57654412646088,2.35,2.55909302524963
"32","25",16,"16.F02",3.74856878696114,1.49829506454576,2.1,2.23724774862212
"33","26",17,"17.B09",8.1609863330708,1.58004301884922,4.45,4.48035255579276
"34","26",17,"17.C06",8.123963776798,1.64719850618168,4.15,4.18453455292611
"35","26",17,"17.E02",8.13219796784356,1.51506091399072,4.7,4.76831456012935
"36","26",17,"17.F11",8.07458109664622,1.57647527855826,4.4,4.44847554043363
"37","27",18,"18.B07",8.50042800534555,1.87853569601855,3.6,3.61024710773285
"38","27",18,"18.C07",7.43613133236232,1.84482009782428,3.15,3.24110243385406
"39","27",18,"18.D11",7.61325532919909,1.69156079939344,3.7,3.76773655170526
"40","27",18,"18.G02",7.86528115432739,1.58538378956918,4.2,4.29552084909977
"41","28",19,"19.B02",5.34718164900575,1.66880241136327,2.5,2.70059091931589
"42","28",19,"19.C05",7.32999481046915,1.67495211236528,3.6,3.68159049015543
"43","28",19,"19.E03",7.19194689445986,1.66231804241935,3.55,3.65365539337274
"44","28",19,"19.F02",7.75284393058968,1.58562372949329,4.15,4.23312417242452
"45","10",2,"2.C02",8.59694013626092,1.78661443628562,3.9,3.9248571791512
"46","10",2,"2.D05",8.33998223949972,1.78966077651637,3.75,3.79811257162406
"47","10",2,"2.D11",8.10937214629418,1.71243693347181,3.9,3.94056131839152
"48","10",2,"2.F08",8.47176912766635,1.70980154364252,4.1,4.12609527072279
"49","29",20,"20.B10",7.5161979821835,1.6354529821346,3.85,3.91376558524059
"50","29",20,"20.D02",8.01203246799992,1.75275509695361,3.7,3.76165919855587
"51","29",20,"20.E06",7.28171234413652,1.77848065550898,3.25,3.34659306594664
"52","29",20,"20.F04",8.14997405408983,1.67173982043276,4.05,4.105264007287
"53","3",21,"21.B03",6.3571617616629,1.84135075766548,2.65,2.77832636008057
"54","3",21,"21.C10",6.17772259141988,1.73495513609554,2.85,2.94438872167611
