"","Grad","Pop.fac","Pop.num","unique.id","Parameter","mean","Rhat","n.eff"
"1","Light limitation","1",1,"1.B09","K_s",7.77940093805673,1.00117568085897,5200
"2","Light limitation","1",1,"1.B09","deviance",-0.404618052091665,1.00148004809153,3600
"3","Light limitation","1",1,"1.B09","r_max",1.56479658593375,1.00081850270534,6000
"4","Light limitation","1",1,"1.B09","sigma",0.259826867537857,1.00145376670422,3700
"5","Light limitation","1",1,"1.C06","K_s",7.24348099552209,1.00079670305516,6000
"6","Light limitation","1",1,"1.C06","deviance",-1.2003549053394,1.00092419277691,6000
"7","Light limitation","1",1,"1.C06","r_max",1.58405829644119,1.00070611118949,6000
"8","Light limitation","1",1,"1.C06","sigma",0.249441518913373,1.001004411639,6000
"9","Light limitation","1",1,"1.E02","K_s",7.34646590317509,1.00142497561924,3800
"10","Light limitation","1",1,"1.E02","deviance",-7.10048130717749,1.0008027660709,6000
"11","Light limitation","1",1,"1.E02","r_max",1.54376488661222,1.00113813573511,5500
"12","Light limitation","1",1,"1.E02","sigma",0.186448270057023,1.00092097908523,6000
"13","Light limitation","1",1,"1.F11","K_s",7.91741641661078,1.00066423902144,6000
"14","Light limitation","1",1,"1.F11","deviance",-1.01778551731316,1.00150461375116,3500
"15","Light limitation","1",1,"1.F11","r_max",1.50693363692914,1.00094558131358,6000
"16","Light limitation","1",1,"1.F11","sigma",0.252635540324716,1.00117685093536,5200
"17","Light limitation","2",10,"10.B10","K_s",8.32215572566759,1.00168239261284,3000
"18","Light limitation","2",10,"10.B10","deviance",-14.7287077983693,1.00054835242732,6000
"19","Light limitation","2",10,"10.B10","r_max",1.62944346766017,1.00082306346842,6000
"20","Light limitation","2",10,"10.B10","sigma",0.125914667259828,1.001007390123,6000
"21","Light limitation","2",10,"10.C08","K_s",7.08834162426632,1.00141559961351,4700
"22","Light limitation","2",10,"10.C08","deviance",4.50705539591334,1.00126231589137,4600
"23","Light limitation","2",10,"10.C08","r_max",1.6900038603442,1.00106289121673,6000
"24","Light limitation","2",10,"10.C08","sigma",0.33151471566514,1.00084110543074,6000
"25","Light limitation","2",10,"10.E04","K_s",7.02383916982579,1.00092990739622,6000
"26","Light limitation","2",10,"10.E04","deviance",-3.0759692894892,1.0013982416066,3900
"27","Light limitation","2",10,"10.E04","r_max",1.62643751313364,1.001326899474,4200
"28","Light limitation","2",10,"10.E04","sigma",0.227773593448169,1.00128739906874,4400
"29","Light limitation","2",10,"10.F09","K_s",7.71016123725697,1.00061002497998,6000
"30","Light limitation","2",10,"10.F09","deviance",-12.07675761177,1.00151443872746,3500
"31","Light limitation","2",10,"10.F09","r_max",1.62014942533488,1.00129440781144,4400
"32","Light limitation","2",10,"10.F09","sigma",0.144648509018795,1.00098445282486,6000
"33","Light limitation","20",11,"11.B06","K_s",7.85468812331672,1.00129399325254,4400
"34","Light limitation","20",11,"11.B06","deviance",0.396965907473778,1.00098801462626,6000
"35","Light limitation","20",11,"11.B06","r_max",1.76470178133718,1.00089545096908,6000
"36","Light limitation","20",11,"11.B06","sigma",0.270636910792261,1.0009443532381,6000
"37","Light limitation","20",11,"11.D03","K_s",7.94524241323093,1.00062033945381,6000
"38","Light limitation","20",11,"11.D03","deviance",-2.45859902366351,1.0016482668817,3000
"39","Light limitation","20",11,"11.D03","r_max",1.74568207127024,1.00105947450929,6000
"40","Light limitation","20",11,"11.D03","sigma",0.233912373696092,1.00104635563685,6000
"41","Light limitation","20",11,"11.D08","K_s",8.4964698581322,1.00152380857529,4200
"42","Light limitation","20",11,"11.D08","deviance",-6.76170801084886,1.00116466147735,5300
"43","Light limitation","20",11,"11.D08","r_max",1.712867647701,1.00111244291655,5700
"44","Light limitation","20",11,"11.D08","sigma",0.188883997127415,1.00081020813199,6000
"45","Light limitation","20",11,"11.E09","K_s",8.45046458913284,1.00098144526822,6000
"46","Light limitation","20",11,"11.E09","deviance",-11.4979209466078,1.00178372339927,2700
"47","Light limitation","20",11,"11.E09","r_max",1.71466944138594,1.00152130089293,3400
"48","Light limitation","20",11,"11.E09","sigma",0.142161549349161,1.00101826348224,6000
"49","Light limitation","21",12,"12.C02","K_s",4.85594824610124,1.00108945950403,5900
"50","Light limitation","21",12,"12.C02","deviance",5.85806236039139,1.00181432637011,2700
"51","Light limitation","21",12,"12.C02","r_max",1.71555310526659,1.00112185604455,5600
"52","Light limitation","21",12,"12.C02","sigma",0.354313186075384,1.00182723178821,2600
"53","Light limitation","21",12,"12.C09","K_s",5.64627278833738,1.00119616222729,5000
"54","Light limitation","21",12,"12.C09","deviance",-4.67214183491479,1.00057728277636,6000
"55","Light limitation","21",12,"12.C09","r_max",1.64970859194701,1.00119433010072,5000
"56","Light limitation","21",12,"12.C09","sigma",0.210191540915393,1.00130129668905,4400
"57","Light limitation","21",12,"12.E09","K_s",5.41229973321942,1.00138615894154,3900
"58","Light limitation","21",12,"12.E09","deviance",0.301524342560028,1.00081071917401,6000
"59","Light limitation","21",12,"12.E09","r_max",1.72685280011985,1.00194020826632,2400
"60","Light limitation","21",12,"12.E09","sigma",0.268795478148469,1.00092323922034,6000
"61","Light limitation","21",12,"12.F04","K_s",3.71958312231609,1.00089909456272,6000
"62","Light limitation","21",12,"12.F04","deviance",3.13835481365627,1.0007723949761,6000
"63","Light limitation","21",12,"12.F04","r_max",1.63419313523941,1.00075272172502,6000
"64","Light limitation","21",12,"12.F04","sigma",0.309854630560484,1.00118443653181,5100
"65","Light limitation","22",13,"13.B05","K_s",7.64829465068529,1.00081705669871,6000
