"","Pop.fac","Pop.num","unique.id","K.s","r.max","R.jag","R.mth"
"1","1",1,"1.B09",6.97297290820006,1.49097629090655,4,4.1943762335662
"2","1",1,"1.C06",5.10372051796431,1.41902952483409,3,3.32710740135738
"3","1",1,"1.E02",5.92004825557577,1.48802103274696,3.5,3.57236194669994
"4","1",1,"1.F11",7.7110562539039,1.46263677553524,5,4.78397470524685
"5","2",10,"10.B10",6.93193795966624,1.44102553421966,4.5,4.40609846892956
"6","2",10,"10.C08",6.07996224379126,1.57077640875978,3.5,3.36847875258662
"7","2",10,"10.E04",8.67824100276138,1.67362752459522,4.5,4.36395011277475
"8","2",10,"10.F09",5.66990178918293,1.54800639707236,3,3.21368870824212
"9","20",11,"11.B06",8.24899031924736,1.55831001705072,5,4.62725456008703
"10","20",11,"11.D03",7.24804390034951,1.45654097362691,4.5,4.52729401510301
"11","20",11,"11.D08",6.65114438645039,1.34173491280991,5,4.7645829748401
"12","20",11,"11.E09",7.52725804645476,1.38358813779809,5,5.11817049391267
"13","21",12,"12.C02",3.82651195871445,1.66166004927195,2,1.94510702125962
"14","21",12,"12.C09",3.2360137143497,1.6508327424065,1.5,1.66126997255142
"15","21",12,"12.E09",4.65880396541877,1.58546764988058,2.5,2.54413702951852
"16","21",12,"12.F04",2.9098320877492,1.59881106197614,1.5,1.56862593091734
"17","22",13,"13.B05",8.4720688132087,1.6566420307009,4.5,4.32625998509706
"18","22",13,"13.D03",8.32998761993415,1.68021970029889,4.5,4.16417696092872
"19","22",13,"13.E10",7.14556093314657,1.52084228800265,4.5,4.16458993585745
"20","22",13,"13.F06",5.71788533564717,1.55496899333729,3,3.21820660684341
"21","23",14,"14.B06",5.95005327607628,1.56580023054789,3.5,3.31281474531743
"22","23",14,"14.C10",5.94133178907125,1.66498512895778,3,3.01103219825054
"23","23",14,"14.E05",5.20475013227264,1.54374169476018,3,2.9628306796361
"24","23",14,"14.F10",4.08287935074364,1.57390352080885,2,2.25505917426191
"25","24",15,"15.B11",8.02267272964379,1.55097244343501,4.5,4.53362427821652
"26","24",15,"15.D02",7.37435599999207,1.43223706777749,4.5,4.73453779087617
"27","24",15,"15.E06",7.09589328106596,1.41578173777389,4.5,4.64335713418421
"28","24",15,"15.E11",7.79053104751099,1.48443747430471,5,4.71929958257852
"29","25",16,"16.B02",7.59103828616336,1.65394033189713,4,3.88593538084418
"30","25",16,"16.C05",6.45525433743044,1.53065464317175,4,3.72423132613748
"31","25",16,"16.E03",5.53059670894707,1.53959112819531,3,3.16166007211212
"32","25",16,"16.F02",5.57025100114319,1.60481825341468,3,2.98553413519101
"33","26",17,"17.B09",7.61931906456872,1.64309118951895,4,3.93948239764889
"34","26",17,"17.C06",6.05912237723445,1.56275352553994,3.5,3.38379117582682
"35","26",17,"17.E02",6.97099988368523,1.55921517236169,4,3.90682611998078
"36","26",17,"17.F11",6.88021779883143,1.5079122576597,4,4.06463988223769
"37","27",18,"18.B07",7.41398952977962,1.54006408894709,4.5,4.23628840552358
"38","27",18,"18.C07",7.48554967448963,1.52661133400594,4.5,4.33670459908804
"39","27",18,"18.D11",6.89803949139971,1.45704557684578,4,4.30624955397105
"40","27",18,"18.G02",7.20142540976316,1.45317972422345,4.5,4.51510275042748
"41","28",19,"19.B02",4.79824237348571,1.56775299010608,2.5,2.66634359365102
"42","28",19,"19.C05",5.0587339529375,1.71899231299014,2.5,2.44427075304433
"43","28",19,"19.E03",5.90302173563452,1.66192912634757,3,2.99991359962713
"44","28",19,"19.F02",5.31157556991489,1.58566228411351,3,2.90006015159581
"45","10",2,"2.C02",6.52936610643668,1.47364979883353,4,4.00202027546309
"46","10",2,"2.D05",2.11709565883885,1.27335639660511,1.5,1.66196528774669
"47","10",2,"2.D11",6.69767432518719,1.41540749396255,4.5,4.38469109585452
"48","10",2,"2.F08",5.29131600450588,1.37839982789579,3.5,3.62064709879265
"49","29",20,"20.B10",4.53284096347034,1.52205239675662,2.5,2.63851630961173
"50","29",20,"20.D02",2.02328458269939,1.55571530938952,1.5,1.13791497994174
"51","29",20,"20.E06",2.37991485643459,1.4688096777144,1.5,1.46648121414724
"52","29",20,"20.F04",2.70339841801494,1.32463831368476,2,1.97989439842863
"53","3",21,"21.B03",6.27655296617405,1.64772618964802,3.5,3.23139195737749
"54","3",21,"21.C10",1.37056734250035,1.39075181338509,1,0.923883281906743
"55","3",21,"21.D09",2.9966747874606,1.35241576600703,2.5,2.11774923337788
"56","3",21,"21.F09",2.17072403284897,1.41505180177894,1.5,1.42167463522835
"57","30",22,"22.C03",3.53009142757706,1.5214360773494,2,2.05614418474202
"58","30",22,"22.C09",5.43419415340555,1.48229084594334,3.5,3.29955429926716
"59","30",22,"22.E03",1.81333251500932,1.392014153156,1,1.2204915079309
"60","30",22,"22.E08",2.74413321898498,1.40447304933059,2,1.8197319664017
"61","31",23,"23.B04",7.89621248453903,1.6000708301524,4.5,4.25151716897387
"62","31",23,"23.D06",5.50653374682956,1.47604684008714,3.5,3.36626770955426
"63","31",23,"23.D09",5.44526981303902,1.48868556777541,3,3.28351295757328
"64","31",23,"23.F08",5.36965253743114,1.48587487900492,3,3.24774490500616
"65","32",24,"24.C04",7.15396072787662,1.6524746075269,3.5,3.66710400407386
"66","32",24,"24.D07",5.88546346082927,1.51445913317323,3.5,3.45311750237736
"67","32",24,"24.D08",8.52229551727042,1.49642074223586,5.5,5.09651834310756
"68","32",24,"24.F07",7.15315772108884,1.4962502831421,4.5,4.2785229504724
"69","33",25,"25.C03",6.07754790367677,1.50014149978677,3.5,3.62012189317343
"70","33",25,"25.D05",2.27514674165292,1.35760025215336,1.5,1.5973943988682
"71","33",25,"25.E08",7.00438842653939,1.4471568762473,4.5,4.4213798301989
"72","33",25,"25.G03",5.27591763465419,1.51860428029859,3,3.08209960682219
"73","35",26,"26.C04",6.22707022706783,1.54297742932888,3.5,3.54754770873918
"74","35",26,"26.D07",6.20015351846109,1.52869008249254,3.5,3.58431043435914
"75","35",26,"26.D08",5.04527121336312,1.48515395797838,3,3.05392616560516
"76","35",26,"26.F07",4.63515119173578,1.38983062108306,3,3.12796925230869
"77","4",27,"27.B03",7.92755719958485,1.57610870232463,4.5,4.36905226932031
"78","4",27,"27.D04",8.30387378730511,1.68414342171115,4.5,4.13663348562096
"79","4",27,"27.D10",7.7649031230476,1.53944066401822,4.5,4.43962141725592
"80","4",27,"27.F03",7.83895907540665,1.66428464181633,4,3.97525865704999
"81","5",28,"28.B09",8.38278295202886,1.38941004669327,6,5.65987652531076
"82","5",28,"28.C04",7.12425537894314,1.33886373153127,5,5.12231196638793
"83","5",28,"28.D06",7.64986559618146,1.24610036305998,6.5,6.24387475143652
