"","Pop.fac","Pop.num","unique.id","Model","T.min","T.max","T.br","T.opt","r.max"
"1","1",1,"1.B09","Lactin 2",-0.698120096785119,40.3267353149046,17.6278426195683,33.1041485509981,10.4794708460618
"2","1",1,"1.C06","Lactin 2",4.92753391945727,40.3763023024765,18.0311148143454,32.8437662337629,5.34590368272715
"3","1",1,"1.E02","Lactin 2",1.63586838882295,40.4202055681685,17.4480317811621,33.4347406979059,8.07369495230591
"4","1",1,"1.F11","Lactin 2",5.37656843305499,40.0259564544052,16.9117409572109,33.4456510441409,4.81550071952037
"5","2",10,"10.B10","Lactin 2",7.30392302909178,39.9457921114933,18.0474779896598,31.9145279822107,4.39181712752805
"6","2",10,"10.C08","Lactin 2",6.11530955908556,40.1814769195893,18.1256664896066,32.36676406632,4.82845056175895
"7","2",10,"10.E04","Lactin 2",5.04928150370009,39.5145169743922,18.6592854882848,31.3901658726037,3.9492768429779
"8","2",10,"10.F09","Lactin 2",6.36506105442789,40.1795115560274,17.6741937198542,32.7247014572173,4.95163939604484
"9","20",11,"11.B06","Lactin 2",3.36123495848682,39.9098485661607,17.5044819086642,33.2208182135229,4.39792928554385
"10","20",11,"11.D03","Lactin 2",3.20632710538336,40.2765191502525,19.3701389635214,31.9854430946954,4.32255470010769
"11","20",11,"11.D08","Lactin 2",3.52188980095614,40.4130372488035,18.2084219351242,32.8007724501493,6.30550825545297
"12","20",11,"11.E09","Lactin 2",2.09438814401546,40.0115676827444,17.9381411542035,32.9064224900994,5.43541952873063
"13","21",12,"12.C02","Lactin 2",4.3826941105199,40.3462038639115,18.4010381919964,32.4912027563306,5.72825187729936
"14","21",12,"12.C09","Lactin 2",4.1001630595407,40.3266140852998,18.2038120975888,32.666814029821,5.93731494057674
"15","21",12,"12.E09","Lactin 2",4.32980392762175,40.4395276162889,18.4419575969051,32.5460939532198,5.89767355581237
"16","21",12,"12.F04","Lactin 2",4.23011442816305,40.4642898597548,17.5716213123435,33.2310274408845,6.9218587187193
"17","22",13,"13.B05","Lactin 2",3.61070437982281,40.0025138330924,17.4321140195899,33.1242852060617,5.38818711968176
"18","22",13,"13.D03","Lactin 2",3.2904550126045,39.9063066781756,18.6645355866346,32.066675329792,4.80777735799345
"19","22",13,"13.E10","Lactin 2",4.03717634288557,40.2305828635484,18.4792583492732,32.4628494593726,5.04398014689513
"20","22",13,"13.F06","Lactin 2",2.13787699214275,39.9198714027203,18.8649371799485,32.0074075827229,5.21718986191627
"21","23",14,"14.B06","Lactin 2",4.03598501279708,39.7288729685887,18.8745396359659,31.5654439242923,4.43209999641803
"22","23",14,"14.C10","Lactin 2",2.80217005545601,40.1115853789109,18.3737089555915,32.5543192678153,5.37062593791317
"23","23",14,"14.E05","Lactin 2",3.67026491476576,39.8919251153343,18.7018513166249,31.9475717570827,4.77930731497535
"24","23",14,"14.F10","Lactin 2",5.21885996462359,40.3943211764519,18.4903797815996,32.3800666967194,5.26138169468711
"25","24",15,"15.B11","Lactin 2",2.61468624005842,40.0522051140256,18.3366529224177,32.6566108569638,4.8373194775329
"26","24",15,"15.D02","Lactin 2",3.91089659809571,40.5808315573887,17.6726455904678,33.6619673730644,4.97668643606363
"27","24",15,"15.E06","Lactin 2",3.33362688196987,39.9913593017492,17.9299017310618,32.8626646689952,4.69037766050554
"28","24",15,"15.E11","Lactin 2",2.39025933580484,39.908064709954,19.0432713159413,32.0877709740684,3.97858612263957
"29","25",16,"16.B02","Lactin 2",7.20962840504012,40.0998341350537,17.8422201229844,32.2433314474636,5.07229797164773
"30","25",16,"16.C05","Lactin 2",5.92251925846569,40.0026417580382,18.4517980998921,31.8763215875689,4.56559312169774
"31","25",16,"16.E03","Lactin 2",4.30185310736049,40.1674517529553,18.7990668444267,32.0879497144209,4.72429380642167
"32","25",16,"16.F02","Lactin 2",4.47718485213279,39.8791301207964,18.0911411161469,32.3552505746439,4.77385594638312
"33","26",17,"17.B09","Lactin 2",4.14495753009722,39.9344368725907,17.9420202324288,32.4665605756472,5.60377903342882
"34","26",17,"17.C06","Lactin 2",2.202181849175,40.5129122285412,18.3985706414896,32.868673471533,6.75096525638458
"35","26",17,"17.E02","Lactin 2",4.96671149508985,39.9068459236815,18.3782850287059,31.9947666816994,4.90297007367676
"36","26",17,"17.F11","Lactin 2",2.20045089529746,40.194646155321,17.5642400771203,33.0785690912656,7.5676464795656
"37","27",18,"18.B07","Lactin 2",-2.04578052343868,39.0086586660096,22.3992132719185,29.1759009973636,2.32379544563261
"38","27",18,"18.C07","Lactin 2",-1.16165400003596,39.5760156549298,22.2156870567576,29.8309489068079,2.45906374174225
"39","27",18,"18.D11","Lactin 2",4.20303189440622,40.2298476700287,19.9044340556724,31.38328650704,3.31420455999271
"40","27",18,"18.G02","Lactin 2",1.3246301350985,39.5026251256129,19.5086729512282,31.5253588935641,3.41321140755687
"41","28",19,"19.B02","Lactin 2",4.42129285088393,40.3485419361832,17.7205089754129,32.9072715490788,7.13604294708937
"42","28",19,"19.C05","Lactin 2",3.56054448200295,40.1482579750664,16.9060128540271,33.7357527574107,5.5745845416436
"43","28",19,"19.E03","Lactin 2",4.78080668748854,40.476668159412,18.200800654335,32.7330398684323,5.98446436010429
"44","28",19,"19.F02","Lactin 2",4.83223545287655,40.2031333523785,18.3500020691684,32.3122710719048,5.50577934775003
"45","10",2,"2.C02","Lactin 2",1.65298285439671,40.899273084587,20.3667571197988,32.2046501735498,4.01543996819814
"46","10",2,"2.D05","Lactin 2",2.70271965426669,40.1103712779187,18.8217869064306,32.2578330333144,4.90972654980086
"47","10",2,"2.D11","Lactin 2",2.93363548911264,40.2043221422084,17.4666080620658,33.8131719542749,4.0598496194606
"48","10",2,"2.F08","Lactin 2",3.08325310083162,40.0494943497331,18.4350436844712,32.5230192321795,4.67481152053362
"49","29",20,"20.B10","Lactin 2",3.15301661395459,40.4821716421834,18.2788314425325,33.1654377277458,4.7807672223939
"50","29",20,"20.D02","Lactin 2",3.92238250873526,40.5408158099032,17.613723843798,33.6286589374656,5.13422087121
"51","29",20,"20.E06","Lactin 2",3.44695925316818,40.4841687308319,19.3948800572208,32.1492884862792,4.42755603857184
"52","29",20,"20.F04","Lactin 2",4.64874822603476,40.5509817956575,18.7547945970233,32.5149296296602,4.9049835112078
"53","3",21,"21.B03","Lactin 2",2.78188569428355,40.1600713658325,19.5050947440702,31.8098610296341,4.24203055371292
"54","3",21,"21.C10","Lactin 2",4.88474046231491,40.2398473540817,18.7708303095688,32.0718143083003,4.73769146685166
"55","3",21,"21.D09","Lactin 2",3.63398464757191,40.5106986382808,18.9799102883789,32.4419039273572,4.91811114216981
"56","3",21,"21.F09","Lactin 2",3.02911718503174,40.1349301290469,18.6026911574825,32.3490158327676,5.32421680132537
